seed,model,phase,signal_quality,irreversible_recall,false_alarm_rate,violation_rate,trajectory
16000,tdc_feedback_development,1,0.815388537043451,0.7272727272727273,0.1240126382306477,0.3776223776223776,0.693431279620853
16000,tdc_feedback_development,2,0.8935525352558296,0.8467153284671532,0.05766192733017378,0.29927007299270075,0.7744170616113758
16000,tdc_feedback_development,3,0.9051909696804437,0.8842975206611571,0.04976303317535545,0.30578512396694213,0.7962843601895745
16000,tdc_feedback_development,4,0.9103526323755882,0.8225806451612904,0.035545023696682464,0.2903225806451613,0.8046887835703016
16000,tdc_feedback_development,5,0.912229575046804,0.859504132231405,0.03475513428120063,0.30578512396694213,0.7996808846761474
16000,tdc_feedback_development,6,0.9141891280334407,0.890625,0.045023696682464455,0.21875,0.842834123222749
16000,simple_static_threshold,1,0.58,0.6637931034482759,0.21484992101105846,0.41379310344827586,0.7025434439178511
16000,simple_static_threshold,2,0.58,0.7202797202797203,0.19747235387045814,0.34265734265734266,0.7018420221169042
16000,simple_static_threshold,3,0.58,0.5983606557377049,0.20063191153238547,0.4672131147540984,0.6603601895734582
16000,simple_static_threshold,4,0.58,0.5882352941176471,0.19194312796208532,0.49264705882352944,0.6123064770932048
16000,simple_static_threshold,5,0.58,0.6544117647058824,0.1966824644549763,0.4264705882352941,0.6565055292259075
16000,simple_static_threshold,6,0.58,0.6416666666666667,0.19036334913112166,0.4583333333333333,0.6729478672985784
16000,simple_quality_schedule,1,0.6366293614219881,0.7163120567375887,0.19273301737756715,0.4326241134751773,0.6416050552922572
16000,simple_quality_schedule,2,0.6933034891375905,0.75177304964539,0.165086887835703,0.3404255319148936,0.7133459715639804
16000,simple_quality_schedule,3,0.7499776168531929,0.803030303030303,0.13033175355450238,0.3484848484848485,0.7321548183254353
16000,simple_quality_schedule,4,0.8066517445687953,0.8143712574850299,0.11295418641390205,0.2994011976047904,0.7154597156398114
16000,simple_quality_schedule,5,0.8633258722843977,0.8294573643410853,0.06951026856240126,0.3488372093023256,0.7511974723538715
16000,simple_quality_schedule,6,0.92,0.8489208633093526,0.04107424960505529,0.302158273381295,0.7726508688783588
16000,simple_online_calibration,1,0.640794232148699,0.6949152542372882,0.17535545023696683,0.3813559322033898,0.7271595576619272
16000,simple_online_calibration,2,0.6535009103369419,0.6992481203007519,0.165086887835703,0.42105263157894735,0.6734597156398099
16000,simple_online_calibration,3,0.6745961268587884,0.7593984962406015,0.1674565560821485,0.40601503759398494,0.6833428120063191
16000,simple_online_calibration,4,0.7237913303689937,0.7819548872180451,0.12559241706161137,0.3157894736842105,0.7531627172195889
16000,simple_online_calibration,5,0.7262922330629552,0.7769784172661871,0.13191153238546605,0.3597122302158273,0.711601895734597
16000,simple_online_calibration,6,0.7421393316032577,0.7981651376146789,0.11374407582938388,0.3211009174311927,0.7911911532385469
16001,tdc_feedback_development,1,0.8145005078162622,0.8226950354609929,0.15560821484992102,0.36879432624113473,0.6957093206951019
16001,tdc_feedback_development,2,0.8994642492081013,0.8389261744966443,0.05766192733017378,0.24161073825503357,0.7990268562401277
16001,tdc_feedback_development,3,0.9088637670383224,0.8854961832061069,0.04186413902053712,0.2595419847328244,0.8129573459715647
16001,tdc_feedback_development,4,0.9116258023984827,0.8367346938775511,0.04186413902053712,0.32653061224489793,0.7424012638230665
16001,tdc_feedback_development,5,0.9133219262840027,0.8721804511278195,0.035545023696682464,0.2631578947368421,0.8097030015797804
16001,tdc_feedback_development,6,0.9133494613246368,0.8689655172413793,0.0315955766192733,0.30344827586206896,0.764698262243287
16001,simple_static_threshold,1,0.58,0.696969696969697,0.17535545023696683,0.44696969696969696,0.6562969984202208
16001,simple_static_threshold,2,0.58,0.7058823529411765,0.2037914691943128,0.40441176470588236,0.6696303317535544
16001,simple_static_threshold,3,0.58,0.6785714285714286,0.20221169036334913,0.44285714285714284,0.6346003159557656
16001,simple_static_threshold,4,0.58,0.6518518518518519,0.19510268562401265,0.42962962962962964,0.6565845181674564
16001,simple_static_threshold,5,0.58,0.6074074074074074,0.1895734597156398,0.4888888888888889,0.6169447077409147
16001,simple_static_threshold,6,0.58,0.6949152542372882,0.20063191153238547,0.4322033898305085,0.690407582938387
16001,simple_quality_schedule,1,0.6366293614219881,0.6548672566371682,0.1911532385466035,0.415929203539823,0.7133048973143755
16001,simple_quality_schedule,2,0.6933034891375905,0.6666666666666666,0.15402843601895735,0.4634146341463415,0.6714533965244862
16001,simple_quality_schedule,3,0.7499776168531929,0.7671232876712328,0.13270142180094788,0.3287671232876712,0.7209921011058456
16001,simple_quality_schedule,4,0.8066517445687953,0.8492063492063492,0.11848341232227488,0.2619047619047619,0.8004170616113753
16001,simple_quality_schedule,5,0.8633258722843977,0.8926174496644296,0.0750394944707741,0.3288590604026846,0.7293112164297004
16001,simple_quality_schedule,6,0.92,0.875,0.053712480252764615,0.2734375,0.8053112164297005
16001,simple_online_calibration,1,0.5994026389368585,0.6846153846153846,0.17772511848341233,0.47692307692307695,0.6406224328593986
16001,simple_online_calibration,2,0.6244216752475884,0.6846846846846847,0.18404423380726698,0.43243243243243246,0.7097914691943126
16001,simple_online_calibration,3,0.6274420334503542,0.688,0.17377567140600317,0.472,0.6560726698262233
16001,simple_online_calibration,4,0.6704349645729137,0.7248322147651006,0.1627172195892575,0.3959731543624161,0.6588846761453393
16001,simple_online_calibration,5,0.7147455556443956,0.8115942028985508,0.13112164296998421,0.32608695652173914,0.7369289099526078
16001,simple_online_calibration,6,0.7390128661046667,0.7938931297709924,0.11374407582938388,0.32061068702290074,0.7559810426540295
16002,tdc_feedback_development,1,0.7839405542274988,0.7033898305084746,0.1627172195892575,0.3813559322033898,0.7298388625592425
16002,tdc_feedback_development,2,0.8871567382638597,0.8257575757575758,0.06635071090047394,0.29545454545454547,0.7820568720379164
16002,tdc_feedback_development,3,0.9057629856195839,0.8541666666666666,0.045813586097946286,0.2916666666666667,0.771519747235388
16002,tdc_feedback_development,4,0.9133300062390891,0.8888888888888888,0.04976303317535545,0.21568627450980393,0.816451816745657
16002,tdc_feedback_development,5,0.9145851576562616,0.9130434782608695,0.03712480252764613,0.2318840579710145,0.8248720379146938
16002,tdc_feedback_development,6,0.9146419131847794,0.8305084745762712,0.026066350710900472,0.2627118644067797,0.831797788309637
16002,simple_static_threshold,1,0.58,0.6690140845070423,0.1943127962085308,0.47183098591549294,0.610957345971562
16002,simple_static_threshold,2,0.58,0.7153284671532847,0.20300157977883096,0.40145985401459855,0.6699083728278034
16002,simple_static_threshold,3,0.58,0.7361111111111112,0.19194312796208532,0.4027777777777778,0.6573017377567137
16002,simple_static_threshold,4,0.58,0.6875,0.20537124802527645,0.3819444444444444,0.6691311216429686
16002,simple_static_threshold,5,0.58,0.6363636363636364,0.20537124802527645,0.4772727272727273,0.6291279620853064
16002,simple_static_threshold,6,0.58,0.6690647482014388,0.20774091627172195,0.4316546762589928,0.6432922590837272
16002,simple_quality_schedule,1,0.6366293614219881,0.711864406779661,0.20853080568720378,0.3644067796610169,0.7292669826224333
16002,simple_quality_schedule,2,0.6933034891375905,0.7534246575342466,0.1579778830963665,0.4041095890410959,0.6597440758293835
16002,simple_quality_schedule,3,0.7499776168531929,0.7196969696969697,0.13744075829383887,0.4015151515151515,0.6949605055292262
16002,simple_quality_schedule,4,0.8066517445687953,0.7950819672131147,0.11137440758293839,0.29508196721311475,0.7873270142180095
16002,simple_quality_schedule,5,0.8633258722843977,0.8360655737704918,0.07424960505529225,0.30327868852459017,0.7907235387045828
16002,simple_quality_schedule,6,0.92,0.864,0.045023696682464455,0.304,0.7924770932069521
16002,simple_online_calibration,1,0.6562776029590859,0.7342657342657343,0.17851500789889416,0.3706293706293706,0.6857030015797781
16002,simple_online_calibration,2,0.6886269037102709,0.7631578947368421,0.15560821484992102,0.39473684210526316,0.6554565560821469
16002,simple_online_calibration,3,0.7392580124108314,0.7947019867549668,0.1287519747235387,0.2980132450331126,0.737181674565562
16002,simple_online_calibration,4,0.7246558280914411,0.7394957983193278,0.13902053712480253,0.3865546218487395,0.7299810426540285
16002,simple_online_calibration,5,0.7343082158231314,0.8083333333333333,0.12717219589257503,0.3333333333333333,0.7630142180094782
16002,simple_online_calibration,6,0.7511314542607325,0.8045112781954887,0.12480252764612954,0.3157894736842105,0.7536271721958929
16003,tdc_feedback_development,1,0.8168068372317748,0.7622377622377622,0.13191153238546605,0.3706293706293706,0.6966856240126383
16003,tdc_feedback_development,2,0.8925318244926788,0.8790322580645161,0.05845181674565561,0.27419354838709675,0.8090015797788316
16003,tdc_feedback_development,3,0.9081594826879313,0.8863636363636364,0.044233807266982623,0.22727272727272727,0.8325908372827813
16003,tdc_feedback_development,4,0.911722394515174,0.8206896551724138,0.03949447077409163,0.32413793103448274,0.7482148499210131
16003,tdc_feedback_development,5,0.9129141222500314,0.8852459016393442,0.0315955766192733,0.30327868852459017,0.8004644549763048
16003,tdc_feedback_development,6,0.914196830996386,0.8956521739130435,0.036334913112164295,0.24347826086956523,0.8449573459715654
16003,simple_static_threshold,1,0.58,0.7421383647798742,0.20537124802527645,0.36477987421383645,0.6541737756714061
16003,simple_static_threshold,2,0.58,0.6388888888888888,0.1966824644549763,0.4652777777777778,0.6105371248025264
16003,simple_static_threshold,3,0.58,0.8201438848920863,0.18167456556082148,0.3237410071942446,0.7256176935229067
16003,simple_static_threshold,4,0.58,0.6712328767123288,0.21011058451816747,0.4520547945205479,0.6122906793048951
16003,simple_static_threshold,5,0.58,0.6099290780141844,0.18799368088467613,0.48226950354609927,0.6078672985781987
16003,simple_static_threshold,6,0.58,0.6821705426356589,0.20774091627172195,0.3953488372093023,0.6889510268562392
16003,simple_quality_schedule,1,0.6366293614219881,0.6875,0.16192733017377567,0.3888888888888889,0.6742211690363354
16003,simple_quality_schedule,2,0.6933034891375905,0.7196969696969697,0.1721958925750395,0.36363636363636365,0.7123064770932059
16003,simple_quality_schedule,3,0.7499776168531929,0.776,0.1429699842022117,0.328,0.7545560821484995
16003,simple_quality_schedule,4,0.8066517445687953,0.7777777777777778,0.11532385466034756,0.3418803418803419,0.7661990521327021
16003,simple_quality_schedule,5,0.8633258722843977,0.8571428571428571,0.05845181674565561,0.2706766917293233,0.7993459715639827
16003,simple_quality_schedule,6,0.92,0.8222222222222222,0.04107424960505529,0.2740740740740741,0.7979968404423398
16003,simple_online_calibration,1,0.6298761981987738,0.6363636363636364,0.19194312796208532,0.4214876033057851,0.6929447077409158
16003,simple_online_calibration,2,0.6398563986171287,0.640625,0.16429699842022116,0.4296875,0.6787772511848339
16003,simple_online_calibration,3,0.6828797297565615,0.7421875,0.14928909952606634,0.3515625,0.7328436018957342
16003,simple_online_calibration,4,0.7191039212280895,0.7480314960629921,0.1524486571879937,0.33858267716535434,0.7422780410742496
16003,simple_online_calibration,5,0.7233567796032077,0.7368421052631579,0.12006319115323855,0.35964912280701755,0.7602369668246448
16003,simple_online_calibration,6,0.7448331058103421,0.7608695652173914,0.11058451816745656,0.30434782608695654,0.7568909952606648
16004,tdc_feedback_development,1,0.807864060443023,0.8188976377952756,0.15323854660347552,0.33858267716535434,0.7418546603475509
16004,tdc_feedback_development,2,0.8916388824816002,0.828125,0.06714060031595577,0.2890625,0.7923507109004749
16004,tdc_feedback_development,3,0.9087946080195068,0.8851351351351351,0.05055292259083728,0.21621621621621623,0.8210616113744088
16004,tdc_feedback_development,4,0.9128492543520015,0.875,0.05134281200631911,0.27205882352941174,0.7956334913112177
16004,tdc_feedback_development,5,0.9122409151719391,0.8402777777777778,0.02764612954186414,0.3402777777777778,0.7404676145339668
16004,tdc_feedback_development,6,0.9125045384652068,0.8449612403100775,0.04186413902053712,0.32558139534883723,0.7727045813586108
16004,simple_static_threshold,1,0.58,0.7083333333333334,0.19273301737756715,0.4375,0.6318988941548185
16004,simple_static_threshold,2,0.58,0.6771653543307087,0.2037914691943128,0.4015748031496063,0.689661927330172
16004,simple_static_threshold,3,0.58,0.6796875,0.20458135860979462,0.453125,0.6546066350710891
16004,simple_static_threshold,4,0.58,0.6344827586206897,0.18641390205371247,0.4827586206896552,0.5984391785150056
16004,simple_static_threshold,5,0.58,0.6518518518518519,0.1848341232227488,0.4222222222222222,0.6637819905213255
16004,simple_static_threshold,6,0.58,0.6554054054054054,0.1872037914691943,0.43243243243243246,0.62793680884676
16004,simple_quality_schedule,1,0.6366293614219881,0.6258064516129033,0.1848341232227488,0.43870967741935485,0.608072669826224
16004,simple_quality_schedule,2,0.6933034891375905,0.7984496124031008,0.16824644549763032,0.3798449612403101,0.7085466034755127
16004,simple_quality_schedule,3,0.7499776168531929,0.6929133858267716,0.11927330173775672,0.4330708661417323,0.6889131121642975
16004,simple_quality_schedule,4,0.8066517445687953,0.7769230769230769,0.10268562401263823,0.33076923076923076,0.7538925750394961
16004,simple_quality_schedule,5,0.8633258722843977,0.824,0.07109004739336493,0.264,0.8116018957345983
16004,simple_quality_schedule,6,0.92,0.9105691056910569,0.044233807266982623,0.24390243902439024,0.8327930489731438
16004,simple_online_calibration,1,0.6106632355811352,0.6950354609929078,0.165086887835703,0.4397163120567376,0.6431627172195882
16004,simple_online_calibration,2,0.6456360327849358,0.7230769230769231,0.17614533965244866,0.4153846153846154,0.6810268562401265
16004,simple_online_calibration,3,0.6991933922699212,0.75,0.14454976303317535,0.34868421052631576,0.6930679304897319
16004,simple_online_calibration,4,0.7429820619678681,0.8244274809160306,0.12954186413902052,0.29770992366412213,0.7671342812006325
16004,simple_online_calibration,5,0.7480080609696017,0.7913669064748201,0.11611374407582939,0.3381294964028777,0.7302969984202214
16004,simple_online_calibration,6,0.7499027094145903,0.8041958041958042,0.11058451816745656,0.3146853146853147,0.7413522906793053
16005,tdc_feedback_development,1,0.8182245106858548,0.7761194029850746,0.14928909952606634,0.3358208955223881,0.7324676145339648
16005,tdc_feedback_development,2,0.8916070712977895,0.8740157480314961,0.06951026856240126,0.30708661417322836,0.7815197472353882
16005,tdc_feedback_development,3,0.9069323996297989,0.8837209302325582,0.05134281200631911,0.24806201550387597,0.8210236966824651
16005,tdc_feedback_development,4,0.9132832184994442,0.9090909090909091,0.030015797788309637,0.21678321678321677,0.8308467614533975
16005,tdc_feedback_development,5,0.9150803989354853,0.889763779527559,0.026856240126382307,0.2125984251968504,0.8522022116903633
16005,tdc_feedback_development,6,0.9163503407394533,0.9029850746268657,0.03238546603475513,0.1791044776119403,0.8656966824644546
16005,simple_static_threshold,1,0.58,0.7025316455696202,0.18246445497630331,0.4050632911392405,0.6291121642969975
16005,simple_static_threshold,2,0.58,0.6940298507462687,0.1872037914691943,0.40298507462686567,0.6782875197472353
16005,simple_static_threshold,3,0.58,0.6833333333333333,0.20458135860979462,0.425,0.6898357030015794
16005,simple_static_threshold,4,0.58,0.671875,0.19747235387045814,0.421875,0.6764960505529208
16005,simple_static_threshold,5,0.58,0.6283185840707964,0.2014218009478673,0.4424778761061947,0.6955703001579778
16005,simple_static_threshold,6,0.58,0.6557377049180327,0.1943127962085308,0.4344262295081967,0.6823949447077405
16005,simple_quality_schedule,1,0.6366293614219881,0.6598639455782312,0.16982622432859398,0.4217687074829932,0.6424644549763024
16005,simple_quality_schedule,2,0.6933034891375905,0.706766917293233,0.14375987361769352,0.44360902255639095,0.6632037914691945
16005,simple_quality_schedule,3,0.7499776168531929,0.803030303030303,0.1358609794628752,0.3181818181818182,0.7509763033175364
16005,simple_quality_schedule,4,0.8066517445687953,0.7121212121212122,0.09636650868878358,0.3939393939393939,0.7100284360189577
16005,simple_quality_schedule,5,0.8633258722843977,0.8760330578512396,0.07424960505529225,0.2644628099173554,0.815965244865719
16005,simple_quality_schedule,6,0.92,0.859504132231405,0.04660347551342812,0.23140495867768596,0.8428151658767764
16005,simple_online_calibration,1,0.6313753200074355,0.7264957264957265,0.17535545023696683,0.39316239316239315,0.7221232227488139
16005,simple_online_calibration,2,0.6385818723784749,0.656,0.17851500789889416,0.456,0.6659968404423376
16005,simple_online_calibration,3,0.6918134373960131,0.7407407407407407,0.15086887835703003,0.3333333333333333,0.7320315955766205
16005,simple_online_calibration,4,0.6979003914076372,0.7222222222222222,0.15560821484992102,0.38095238095238093,0.7162401263823074
16005,simple_online_calibration,5,0.7137044588227629,0.7611940298507462,0.15560821484992102,0.3656716417910448,0.7107456556082155
16005,simple_online_calibration,6,0.6956441146820944,0.7348484848484849,0.14218009478672985,0.42424242424242425,0.6784676145339646
16006,tdc_feedback_development,1,0.8163300571316563,0.7794117647058824,0.14533965244865718,0.34558823529411764,0.7234786729857821
16006,tdc_feedback_development,2,0.8934760244933828,0.856,0.053712480252764615,0.256,0.820783570300158
16006,tdc_feedback_development,3,0.9058836696873918,0.8623188405797102,0.04739336492890995,0.3115942028985507,0.7665845181674572
16006,tdc_feedback_development,4,0.9103125054368267,0.8623188405797102,0.04344391785150079,0.3115942028985507,0.767216429699844
16006,tdc_feedback_development,5,0.9113396951292358,0.860655737704918,0.044233807266982623,0.3360655737704918,0.7774312796208545
16006,tdc_feedback_development,6,0.9129528827078845,0.8615384615384616,0.04028436018957346,0.2692307692307692,0.8084296998420233
16006,simple_static_threshold,1,0.58,0.6363636363636364,0.1848341232227488,0.4755244755244755,0.6084202211690358
16006,simple_static_threshold,2,0.58,0.6690140845070423,0.19589257503949448,0.44366197183098594,0.6308751974723522
16006,simple_static_threshold,3,0.58,0.6692307692307692,0.19036334913112166,0.4076923076923077,0.6828309636650867
16006,simple_static_threshold,4,0.58,0.6428571428571429,0.18799368088467613,0.4714285714285714,0.6178388625592401
16006,simple_static_threshold,5,0.58,0.6888888888888889,0.17772511848341233,0.4222222222222222,0.6655608214849914
16006,simple_static_threshold,6,0.58,0.6923076923076923,0.20458135860979462,0.4358974358974359,0.6036303317535539
16006,simple_quality_schedule,1,0.6366293614219881,0.762962962962963,0.174565560821485,0.3333333333333333,0.7269763033175352
16006,simple_quality_schedule,2,0.6933034891375905,0.7062937062937062,0.15718799368088468,0.42657342657342656,0.6499526066350712
16006,simple_quality_schedule,3,0.7499776168531929,0.7686567164179104,0.14454976303317535,0.373134328358209,0.7082116903633487
16006,simple_quality_schedule,4,0.8066517445687953,0.7913669064748201,0.09320695102685624,0.2733812949640288,0.7812037914691957
16006,simple_quality_schedule,5,0.8633258722843977,0.8872180451127819,0.06714060031595577,0.22556390977443608,0.8276303317535545
16006,simple_quality_schedule,6,0.92,0.8854961832061069,0.05055292259083728,0.25190839694656486,0.8162338072669836
16006,simple_online_calibration,1,0.6477878423512834,0.704225352112676,0.19589257503949448,0.3873239436619718,0.6712733017377559
16006,simple_online_calibration,2,0.6731555219576654,0.6617647058823529,0.1500789889415482,0.39705882352941174,0.6874849921011048
16006,simple_online_calibration,3,0.6938702069739261,0.7175572519083969,0.1406003159557662,0.3816793893129771,0.7097535545023704
16006,simple_online_calibration,4,0.6897679931463455,0.7304347826086957,0.14218009478672985,0.41739130434782606,0.7194060031595583
16006,simple_online_calibration,5,0.685155672999815,0.6864406779661016,0.14454976303317535,0.423728813559322,0.7089857819905212
16006,simple_online_calibration,6,0.6680563568252862,0.6788321167883211,0.1334913112164297,0.45255474452554745,0.6507298578199046
16007,tdc_feedback_development,1,0.8171435743445893,0.7096774193548387,0.12796208530805686,0.4129032258064516,0.6411848341232218
16007,tdc_feedback_development,2,0.890252333837877,0.8467741935483871,0.0703001579778831,0.31451612903225806,0.7812290679304905
16007,tdc_feedback_development,3,0.9069135209832818,0.8776978417266187,0.04265402843601896,0.2589928057553957,0.803124802527647
16007,tdc_feedback_development,4,0.9098118156152044,0.8524590163934426,0.045813586097946286,0.3360655737704918,0.7772037914691957
16007,tdc_feedback_development,5,0.912682492358107,0.8768115942028986,0.04265402843601896,0.2826086956521739,0.7875797788309655
16007,tdc_feedback_development,6,0.9134340065677766,0.8907563025210085,0.04186413902053712,0.2605042016806723,0.8280284360189588
16007,simple_static_threshold,1,0.58,0.6495726495726496,0.19747235387045814,0.4444444444444444,0.6865813586097934
16007,simple_static_threshold,2,0.58,0.6942148760330579,0.21721958925750395,0.4214876033057851,0.6867740916271721
16007,simple_static_threshold,3,0.58,0.6524822695035462,0.1943127962085308,0.44680851063829785,0.6311879936808835
16007,simple_static_threshold,4,0.58,0.6802721088435374,0.20063191153238547,0.40816326530612246,0.6447677725118476
16007,simple_static_threshold,5,0.58,0.6304347826086957,0.1966824644549763,0.4927536231884058,0.6057630331753542
16007,simple_static_threshold,6,0.58,0.6319444444444444,0.2037914691943128,0.4861111111111111,0.5940758293838835
16007,simple_quality_schedule,1,0.6366293614219881,0.6619718309859155,0.18009478672985782,0.45774647887323944,0.6246824644549764
16007,simple_quality_schedule,2,0.6933034891375905,0.7063492063492064,0.15560821484992102,0.4126984126984127,0.6963728278041058
16007,simple_quality_schedule,3,0.7499776168531929,0.7318840579710145,0.13112164296998421,0.3695652173913043,0.7066287519747237
16007,simple_quality_schedule,4,0.8066517445687953,0.8088235294117647,0.11137440758293839,0.3088235294117647,0.7565213270142179
16007,simple_quality_schedule,5,0.8633258722843977,0.8636363636363636,0.08451816745655608,0.22727272727272727,0.8231406003159559
16007,simple_quality_schedule,6,0.92,0.8776978417266187,0.04660347551342812,0.2589928057553957,0.8019336492891009
16007,simple_online_calibration,1,0.6282710309886455,0.7131147540983607,0.1943127962085308,0.4016393442622951,0.7023949447077396
16007,simple_online_calibration,2,0.6402855265921864,0.6597938144329897,0.18088467614533965,0.4329896907216495,0.74104897314376
16007,simple_online_calibration,3,0.6720830634564032,0.7338129496402878,0.15876777251184834,0.38848920863309355,0.6849036334913104
16007,simple_online_calibration,4,0.7027546039415115,0.794392523364486,0.15560821484992102,0.3364485981308411,0.7774060031595581
16007,simple_online_calibration,5,0.7034160199100014,0.7518796992481203,0.13665086887835703,0.40601503759398494,0.6904960505529217
16007,simple_online_calibration,6,0.6857661540408265,0.7295081967213115,0.1287519747235387,0.4180327868852459,0.7076935229067934
16008,tdc_feedback_development,1,0.7833815626108613,0.706766917293233,0.1382306477093207,0.44360902255639095,0.6650774091627172
16008,tdc_feedback_development,2,0.8824434059608719,0.8362068965517241,0.0631911532385466,0.28448275862068967,0.8134344391785158
16008,tdc_feedback_development,3,0.9048069470349436,0.8484848484848485,0.04344391785150079,0.25757575757575757,0.8130521327014236
16008,tdc_feedback_development,4,0.9114280149298613,0.8785714285714286,0.036334913112164295,0.2642857142857143,0.7992037914691958
16008,tdc_feedback_development,5,0.9136864215565166,0.8805970149253731,0.04186413902053712,0.26119402985074625,0.8084139020537143
16008,tdc_feedback_development,6,0.9130318913210205,0.8968253968253969,0.037914691943127965,0.3412698412698413,0.7682148499210115
16008,simple_static_threshold,1,0.58,0.6950354609929078,0.20537124802527645,0.4326241134751773,0.6388372827804087
16008,simple_static_threshold,2,0.58,0.6934306569343066,0.20063191153238547,0.41605839416058393,0.659883096366507
16008,simple_static_threshold,3,0.58,0.6818181818181818,0.18167456556082148,0.4393939393939394,0.6597282780410736
16008,simple_static_threshold,4,0.58,0.6567164179104478,0.21642969984202212,0.4552238805970149,0.6361864139020517
16008,simple_static_threshold,5,0.58,0.7724137931034483,0.20774091627172195,0.3586206896551724,0.683728278041074
16008,simple_static_threshold,6,0.58,0.6622516556291391,0.20695102685624012,0.3973509933774834,0.6432259083728271
16008,simple_quality_schedule,1,0.6366293614219881,0.7465753424657534,0.16587677725118483,0.363013698630137,0.6880916271721952
16008,simple_quality_schedule,2,0.6933034891375905,0.75,0.18088467614533965,0.3548387096774194,0.7309225908372824
16008,simple_quality_schedule,3,0.7499776168531929,0.7983870967741935,0.13744075829383887,0.3064516129032258,0.7705402843601895
16008,simple_quality_schedule,4,0.8066517445687953,0.8,0.10031595576619273,0.36153846153846153,0.7338515007898904
16008,simple_quality_schedule,5,0.8633258722843977,0.8389261744966443,0.07819905213270142,0.28859060402684567,0.759061611374409
16008,simple_quality_schedule,6,0.92,0.86,0.04818325434439179,0.28,0.7710521327014226
16008,simple_online_calibration,1,0.5827537723280182,0.5801526717557252,0.19826224328593997,0.5190839694656488,0.6051090047393349
16008,simple_online_calibration,2,0.5749666515084166,0.5547445255474452,0.20221169036334913,0.5474452554744526,0.5693744075829368
16008,simple_online_calibration,3,0.6113369383280866,0.6614173228346457,0.19589257503949448,0.44881889763779526,0.6610742496050545
16008,simple_online_calibration,4,0.6626203901100457,0.7094017094017094,0.18404423380726698,0.37606837606837606,0.7298799368088468
16008,simple_online_calibration,5,0.6904667371242174,0.75,0.1484992101105845,0.375,0.7175165876777246
16008,simple_online_calibration,6,0.7198000451561286,0.7480916030534351,0.11848341232227488,0.3435114503816794,0.7394123222748828
16009,tdc_feedback_development,1,0.788118225810469,0.6971830985915493,0.15955766192733017,0.45774647887323944,0.6290363349131111
16009,tdc_feedback_development,2,0.8904503437251288,0.8455284552845529,0.06872037914691943,0.22764227642276422,0.8376998420221171
16009,tdc_feedback_development,3,0.9067474409888272,0.8455882352941176,0.05687203791469194,0.25735294117647056,0.8046856240126399
16009,tdc_feedback_development,4,0.9103347728055653,0.8449612403100775,0.03317535545023697,0.32558139534883723,0.774736176935231
16009,tdc_feedback_development,5,0.9143736498483408,0.9029850746268657,0.04028436018957346,0.1865671641791045,0.8586382306477092
16009,tdc_feedback_development,6,0.9159045765983687,0.8936170212765957,0.037914691943127965,0.18439716312056736,0.8542432859399697
16009,simple_static_threshold,1,0.58,0.6287425149700598,0.17851500789889416,0.47305389221556887,0.5538830963665068
16009,simple_static_threshold,2,0.58,0.6503496503496503,0.19352290679304898,0.43356643356643354,0.6362938388625585
16009,simple_static_threshold,3,0.58,0.6304347826086957,0.18641390205371247,0.45652173913043476,0.6332606635071079
16009,simple_static_threshold,4,0.58,0.6888888888888889,0.21484992101105846,0.4,0.6721579778830957
16009,simple_static_threshold,5,0.58,0.7021276595744681,0.1990521327014218,0.375886524822695,0.6805086887835698
16009,simple_static_threshold,6,0.58,0.6524822695035462,0.2037914691943128,0.475177304964539,0.609058451816744
16009,simple_quality_schedule,1,0.6366293614219881,0.7307692307692307,0.17140600315955767,0.35384615384615387,0.7229320695102687
16009,simple_quality_schedule,2,0.6933034891375905,0.7589285714285714,0.16113744075829384,0.42857142857142855,0.7153933649289098
16009,simple_quality_schedule,3,0.7499776168531929,0.7196969696969697,0.1287519747235387,0.38636363636363635,0.7074186413902054
16009,simple_quality_schedule,4,0.8066517445687953,0.8129496402877698,0.0924170616113744,0.2949640287769784,0.766148499210112
16009,simple_quality_schedule,5,0.8633258722843977,0.8451612903225807,0.07109004739336493,0.2838709677419355,0.7556587677725131
16009,simple_quality_schedule,6,0.92,0.8320610687022901,0.053712480252764615,0.32061068702290074,0.7701327014218026
16009,simple_online_calibration,1,0.592764604360752,0.6893939393939394,0.1769352290679305,0.49242424242424243,0.6258262243285928
16009,simple_online_calibration,2,0.633737254629452,0.6940298507462687,0.19273301737756715,0.417910447761194,0.6672701421800927
16009,simple_online_calibration,3,0.6704130520855046,0.7433628318584071,0.160347551342812,0.36283185840707965,0.7505624012638232
16009,simple_online_calibration,4,0.6900889999926486,0.8134328358208955,0.15718799368088468,0.373134328358209,0.7059810426540288
16009,simple_online_calibration,5,0.7159978351962959,0.7911392405063291,0.1484992101105845,0.35443037974683544,0.676903633491311
16009,simple_online_calibration,6,0.6708370401133247,0.7553956834532374,0.15481832543443919,0.4676258992805755,0.630022116903633
