seed,model,final_signal_quality,irreversible_recall_final_phase,false_alarm_rate_final_phase,irreversible_core_violation_rate_final_phase,net_vigilance_value_final_phase,long_term_trajectory_value,state_complexity_count
16000,tdc_feedback_development,0.9141891280334407,0.890625,0.045023696682464455,0.21875,0.8851548798685231,0.785222748815167,4
16000,simple_static_threshold,0.58,0.6416666666666667,0.19036334913112166,0.4583333333333333,0.646010663507109,0.6677509215376507,0
16000,simple_quality_schedule,0.92,0.8489208633093526,0.04107424960505529,0.302158273381295,0.8513678838919386,0.7210689836756191,0
16000,simple_online_calibration,0.7421393316032577,0.7981651376146789,0.11374407582938388,0.3211009174311927,0.7835262130149788,0.7233196419167981,1
16001,tdc_feedback_development,0.9133494613246368,0.8689655172413793,0.0315955766192733,0.30344827586206896,0.8610281314610477,0.7707493417588213,4
16001,simple_static_threshold,0.58,0.6949152542372882,0.20063191153238547,0.4322033898305085,0.6731448041342009,0.6540774091627164,0
16001,simple_quality_schedule,0.92,0.875,0.053712480252764615,0.2734375,0.8663200039494471,0.740131648235914,0
16001,simple_online_calibration,0.7390128661046667,0.7938931297709924,0.11374407582938388,0.32061068702290074,0.7812328857421897,0.6930468667719851,1
16002,tdc_feedback_development,0.9146419131847794,0.8305084745762712,0.026066350710900472,0.2627118644067797,0.8531694575135029,0.7927561874670891,4
16002,simple_static_threshold,0.58,0.6690647482014388,0.20774091627172195,0.4316546762589928,0.6602000181845045,0.6466197998946802,0
16002,simple_quality_schedule,0.92,0.864,0.045023696682464455,0.304,0.8569952606635071,0.7424165350184313,0
16002,simple_online_calibration,0.7511314542607325,0.8045112781954887,0.12480252764612954,0.3157894736842105,0.7865813930610117,0.7208272775144812,1
16003,tdc_feedback_development,0.914196830996386,0.8956521739130435,0.036334913112164295,0.24347826086956523,0.8842103681139817,0.7886524486571891,4
16003,simple_static_threshold,0.58,0.6821705426356589,0.20774091627172195,0.3953488372093023,0.6733587934898416,0.6499062664560287,0
16003,simple_quality_schedule,0.92,0.8222222222222222,0.04107424960505529,0.2740740740740741,0.8449703352641742,0.750770932069511,0
16003,simple_online_calibration,0.7448331058103421,0.7608695652173914,0.11058451816745656,0.30434782608695654,0.7711298013684948,0.7273285939968405,1
16004,tdc_feedback_development,0.9125045384652068,0.8449612403100775,0.04186413902053712,0.32558139534883723,0.8436191320354411,0.7773454449710383,4
16004,simple_static_threshold,0.58,0.6554054054054054,0.1872037914691943,0.43243243243243246,0.6580051876521071,0.6443875724065284,0
16004,simple_quality_schedule,0.92,0.9105691056910569,0.044233807266982623,0.24390243902439024,0.890128848302701,0.733969984202212,0
16004,simple_online_calibration,0.7499027094145903,0.8041958041958042,0.11058451816745656,0.3146853146853147,0.7893195517297461,0.709340179041601,1
16005,tdc_feedback_development,0.9163503407394533,0.9029850746268657,0.03238546603475513,0.1791044776119403,0.9014978459636686,0.813959452343339,4
16005,simple_static_threshold,0.58,0.6557377049180327,0.1943127962085308,0.4344262295081967,0.6563341620697692,0.6752827804107419,0
16005,simple_quality_schedule,0.92,0.859504132231405,0.04660347551342812,0.23140495867768596,0.8691751726659095,0.7375755660874144,0
16005,simple_online_calibration,0.6956441146820944,0.7348484848484849,0.14218009478672985,0.42424242424242425,0.7217439315783015,0.7042675092153766,1
16006,tdc_feedback_development,0.9129528827078845,0.8615384615384616,0.04028436018957346,0.2692307692307692,0.8627322142144219,0.7773206951026865,4
16006,simple_static_threshold,0.58,0.6923076923076923,0.20458135860979462,0.4358974358974359,0.6704427026370154,0.6348593996840434,0
16006,simple_quality_schedule,0.92,0.8854961832061069,0.05055292259083728,0.25190839694656486,0.8759810185352677,0.7517014218009482,0
16006,simple_online_calibration,0.6680563568252862,0.6788321167883211,0.1334913112164297,0.45255474452554745,0.688473694930142,0.6912722485518692,1
16007,tdc_feedback_development,0.9134340065677766,0.8907563025210085,0.04186413902053712,0.2605042016806723,0.8773817689793784,0.7697251184834133,4
16007,simple_static_threshold,0.58,0.6319444444444444,0.2037914691943128,0.4861111111111111,0.6333944839389152,0.6415250131648224,0
16007,simple_quality_schedule,0.92,0.8776978417266187,0.04660347551342812,0.2589928057553957,0.8718447725232137,0.7348799368088468,0
16007,simple_online_calibration,0.6857661540408265,0.7295081967213115,0.1287519747235387,0.4180327868852459,0.7217866593089572,0.7173238546603472,1
16008,tdc_feedback_development,0.9130318913210205,0.8968253968253969,0.037914691943127965,0.3412698412698413,0.8646893056269878,0.777899420747763,4
16008,simple_static_threshold,0.58,0.6622516556291391,0.20695102685624012,0.3973509933774834,0.6641528409863678,0.6535982095839904,0
16008,simple_quality_schedule,0.92,0.86,0.04818325434439179,0.28,0.8593633491311217,0.7422532912058982,0
16008,simple_online_calibration,0.7198000451561286,0.7480916030534351,0.11848341232227488,0.3435114503816794,0.7522122556066744,0.6703944181147967,1
16009,tdc_feedback_development,0.9159045765983687,0.8936170212765957,0.037914691943127965,0.18439716312056736,0.8950509750514843,0.793173249078463,4
16009,simple_static_threshold,0.58,0.6524822695035462,0.2037914691943128,0.475177304964539,0.6448232664448255,0.6308604528699305,0
16009,simple_quality_schedule,0.92,0.8320610687022901,0.053712480252764615,0.32061068702290074,0.8375628474608976,0.7396140073723019,0
16009,simple_online_calibration,0.6708370401133247,0.7553956834532374,0.15481832543443919,0.4676258992805755,0.7160647686279527,0.6760942601369135,1
16010,tdc_feedback_development,0.913958640350314,0.8716216216216216,0.03475513428120063,0.27702702702702703,0.8669670935206313,0.7692359136387582,4
16010,simple_static_threshold,0.58,0.6690140845070423,0.1895734597156398,0.43661971830985913,0.6628177024230693,0.6703349131121634,0
16010,simple_quality_schedule,0.92,0.8699186991869918,0.04344391785150079,0.3089430894308943,0.8589860131776673,0.728571879936809,0
16010,simple_online_calibration,0.7353740793925686,0.8145161290322581,0.13981042654028436,0.3467741935483871,0.7795214459556672,0.7070279094260137,1
