seed,model,final_holdout_recall,final_holdout_violation_rate,trap_capture_rate,trajectory_value,final_Q,composite
19000,PTVM,0.9361702127659575,0.2553191489361702,0.14050303555941024,0.72942833333333,0.94,0.8212777528171953
19000,FULL,0.8829787234042553,0.30851063829787234,0.1049436253252385,0.7054874999999968,0.94,0.7931491073817599
19000,simple_two_signal_learner,0.7553191489361702,0.4148936170212766,0.18386816999132696,0.65549583333333,0.8228377842782122,0.699972664760599
19001,PTVM,0.9807692307692307,0.27884615384615385,0.16739319965126417,0.7167033333333294,0.94,0.8202164241723102
19001,FULL,0.9326923076923077,0.3269230769230769,0.12292938099389712,0.6909499999999961,0.94,0.7962285468781426
19001,simple_two_signal_learner,0.875,0.375,0.2005231037489102,0.6424508333333298,0.8471107188616801,0.7392580875835504
19002,PTVM,0.956989247311828,0.16129032258064516,0.140893470790378,0.7575849999999972,0.94,0.8579917493903109
19002,FULL,0.9139784946236559,0.20430107526881722,0.10223367697594501,0.7294924999999971,0.94,0.8350446691747028
19002,simple_two_signal_learner,0.8602150537634409,0.25806451612903225,0.18642611683848798,0.6930616666666635,0.897489176970172,0.7795285803957425
19003,PTVM,0.9238095238095239,0.2857142857142857,0.153184165232358,0.7206599999999966,0.94,0.8052424526678132
19003,FULL,0.8666666666666667,0.3333333333333333,0.09896729776247848,0.701909999999997,0.94,0.7823507071141703
19003,simple_two_signal_learner,0.7904761904761904,0.3904761904761905,0.1721170395869191,0.6572008333333298,0.8738518620800381,0.7194006099397582
19004,PTVM,0.975,0.25,0.15919085312225154,0.7023508333333294,0.94,0.823749537708882
19004,FULL,0.95,0.275,0.10817941952506596,0.6672999999999963,0.94,0.8114391160949859
19004,simple_two_signal_learner,0.825,0.3875,0.21459982409850484,0.6158083333333303,0.9098989490301468,0.7116571185136316
19005,PTVM,0.9523809523809523,0.17142857142857143,0.14856646394439618,0.722072499999997,0.94,0.8436619750682628
19005,FULL,0.9142857142857143,0.2,0.0999131190269331,0.7063733333333302,0.94,0.8308964238136602
19005,simple_two_signal_learner,0.8571428571428571,0.2571428571428571,0.20938314509122502,0.665159999999997,0.860050672064567,0.7672705138388971
19006,PTVM,0.9191919191919192,0.21212121212121213,0.16593503072870938,0.74381833333333,0.94,0.8254948499148633
19006,FULL,0.8787878787878788,0.25252525252525254,0.11764705882352941,0.7318916666666637,0.94,0.8099485554070105
19006,simple_two_signal_learner,0.7878787878787878,0.3434343434343434,0.2080772607550483,0.6849233333333306,0.8215092551580979,0.7301204316873735
19007,PTVM,0.9354838709677419,0.28225806451612906,0.15398075240594924,0.7335758333333302,0.94,0.812678453013433
19007,FULL,0.9032258064516129,0.31451612903225806,0.10586176727909011,0.7104974999999968,0.94,0.7987907312216005
19007,simple_two_signal_learner,0.8145161290322581,0.3790322580645161,0.2020997375328084,0.6662624999999969,0.8365687715165253,0.7257424516869859
19008,PTVM,0.967741935483871,0.27956989247311825,0.1543859649122807,0.7376758333333306,0.94,0.8239718728777583
19008,FULL,0.8602150537634409,0.3763440860215054,0.10877192982456141,0.7047166666666637,0.94,0.7684032753254095
19008,simple_two_signal_learner,0.8172043010752689,0.41935483870967744,0.17456140350877192,0.6687149999999972,0.9201656457637912,0.7225890499434062
19009,PTVM,0.9545454545454546,0.2727272727272727,0.16326530612244897,0.7396616666666633,0.94,0.8204441736239942
19009,FULL,0.9204545454545454,0.29545454545454547,0.12074829931972789,0.7122283333333302,0.94,0.8061801507421142
19009,simple_two_signal_learner,0.8068181818181818,0.36363636363636365,0.2389455782312925,0.6531566666666628,0.8691934858933809,0.7166364146567709
19010,PTVM,0.9555555555555556,0.23333333333333334,0.1699288256227758,0.7292899999999962,0.94,0.8266700682087773
19010,FULL,0.8888888888888888,0.2777777777777778,0.12366548042704627,0.7000324999999964,0.94,0.797497251136812
19010,simple_two_signal_learner,0.8,0.36666666666666664,0.20551601423487545,0.674329166666663,0.8638846485477482,0.725812422153024
19011,PTVM,0.9375,0.28125,0.15192135835567472,0.7492758333333305,0.94,0.8178721866621976
19011,FULL,0.8854166666666666,0.3229166666666667,0.10991957104557641,0.7217733333333304,0.94,0.7933552524575507
19011,simple_two_signal_learner,0.875,0.3333333333333333,0.1903485254691689,0.6869658333333302,0.8948028187352175,0.7628384199061655
