seed,model,trap_capture_rate,final_holdout_recall,final_holdout_false_alarm,final_holdout_violation_rate,trajectory_value,integrated_score,final_quality
17000,simple_time_schedule,0.25159574468085105,0.9090909090909091,0.052222222222222225,0.20454545454545456,0.6738111111111069,0.8612716000429829,0.92
17000,simple_anticapture,0.1976558337773042,0.7435897435897436,0.11555555555555555,0.4017094017094017,0.6999451851851821,0.7636355737181385,0.79
17000,simple_frozen_core,0.16434540389972144,0.73,0.09777777777777778,0.41,0.6683133333333303,0.7659204020427111,0.8
17000,tdc_evidence_validated,0.16906666666666667,0.865979381443299,0.042222222222222223,0.28865979381443296,0.7231755555555532,0.8490848311453244,0.9104306499122009
17001,simple_time_schedule,0.25098039215686274,0.8761061946902655,0.06222222222222222,0.30973451327433627,0.6785859259259218,0.8295352654096051,0.92
17001,simple_anticapture,0.20458356623812185,0.8144329896907216,0.1388888888888889,0.29896907216494845,0.7176540740740714,0.7995967557860165,0.79
17001,simple_frozen_core,0.1488900920411478,0.7747747747747747,0.09555555555555556,0.35135135135135137,0.7229074074074053,0.7957896223104532,0.8
17001,tdc_evidence_validated,0.1532481954469739,0.875,0.06333333333333334,0.2767857142857143,0.7398955555555535,0.8536123801193825,0.9111807058782937
17002,simple_time_schedule,0.2233809001097695,0.8508771929824561,0.05333333333333334,0.2543859649122807,0.6853688888888851,0.8398959214795128,0.92
17002,simple_anticapture,0.2065519156024431,0.803921568627451,0.10555555555555556,0.30392156862745096,0.7065622222222189,0.8007935301049162,0.79
17002,simple_frozen_core,0.16803503010399562,0.7884615384615384,0.09,0.375,0.6835548148148117,0.790861366693332,0.8
17002,tdc_evidence_validated,0.16758241758241757,0.8198198198198198,0.04888888888888889,0.34234234234234234,0.7004977777777752,0.8231725814512034,0.9084974786802567
17003,simple_time_schedule,0.25321408608160983,0.797979797979798,0.04888888888888889,0.3333333333333333,0.6922192592592556,0.805664385957582,0.92
17003,simple_anticapture,0.2130242825607064,0.7768595041322314,0.11333333333333333,0.3305785123966942,0.6941451851851821,0.7848283327272321,0.79
17003,simple_frozen_core,0.1697911087305838,0.7448979591836735,0.08666666666666667,0.42857142857142855,0.6863881481481452,0.7684099728676568,0.8
17003,tdc_evidence_validated,0.13804527885146328,0.9090909090909091,0.04666666666666667,0.24545454545454545,0.7417562962962946,0.8749567894236361,0.9112709221313745
17004,simple_time_schedule,0.24042792792792791,0.8181818181818182,0.07111111111111111,0.3333333333333333,0.6627311111111077,0.8078923295113295,0.92
