model,stage,decision_accuracy,decision_accuracy_std,high_stakes_accuracy,long_term_trajectory_value,ethical_sense_reliability_realized,ethical_sensitivity,latent_integration_score,deep_path_activation_rate
emergent_nonlinear,1,0.6066171874999999,0.015365941012793899,0.607426701883354,0.2518984375,0.542977158910478,0.6667279141902341,0.2528422959029762,0.0
emergent_nonlinear,2,0.6084453125,0.015680776431920552,0.6065415141357036,0.2532890625,0.5458304796823747,0.6911187818262166,0.28641796614807824,0.0
emergent_nonlinear,3,0.60796875,0.017581727047825898,0.6083452097713079,0.257921875,0.5538353291659305,0.7292815519244068,0.3485714860010567,0.0
emergent_nonlinear,4,0.6075703124999999,0.01680114525237312,0.6129913017588943,0.24171874999999865,0.6075016652397167,0.7577233890470499,0.5170526730803298,0.32140625
emergent_nonlinear,5,0.722546875,0.018477847718260176,0.72105507781761,0.4357753906249946,0.7529039788401239,0.7917060950650696,0.7882227696422489,0.7432421875
linear_internal_map,1,0.609953125,0.015512179301855486,0.6099216335808602,0.256265625,0.6052736067546927,0.6667279141902341,0.2528422959029762,0.0
linear_internal_map,2,0.607671875,0.01616504899637233,0.6084111557614573,0.255578125,0.6229957835824672,0.6911187818262166,0.28641796614807824,0.0
linear_internal_map,3,0.6040546875,0.01689351018929303,0.6027369923962526,0.2469140625,0.6499245622634013,0.7292815519244068,0.3485714860010567,0.0
linear_internal_map,4,0.6464375,0.014174808529584927,0.6970451868501374,0.3571410156249979,0.7232764881402753,0.7577233890470499,0.5170526730803298,0.3190546875
linear_internal_map,5,0.7881015625000001,0.0159190075283912,0.787809840789443,0.5596402343749974,0.8403800520904999,0.7917060950650696,0.7882227696422489,0.7426640624999999
static_reliability,1,0.60790625,0.015443795737177234,0.6071308111115133,0.254609375,0.6173170821484609,0.6667279141902341,0.2528422959029762,0.0
static_reliability,2,0.6060859375,0.015523427732398273,0.6060377644411616,0.2514609375,0.619558592178988,0.6911187818262166,0.28641796614807824,0.0
static_reliability,3,0.60846875,0.016155220262574082,0.6098880116074299,0.25828125,0.6185968359846858,0.7292815519244068,0.3485714860010567,0.0
static_reliability,4,0.6152578125,0.01574763879001008,0.6251623157491275,0.2605644531249985,0.6208830839885915,0.7577233890470499,0.5170526730803298,0.3213671875
static_reliability,5,0.6273828125,0.014849969428505888,0.6266374822251292,0.2563601562499966,0.6233926664249085,0.7917060950650696,0.7882227696422489,0.741703125
