seed,model,stage,A_TF,I,C_T,R_C,H_self,latent_integration_score,ethical_sensitivity,target_reliability,decision_accuracy,high_stakes_accuracy,long_term_trajectory_value,ethical_sense_reliability_realized,deep_path_activation_rate
10700,static_reliability,1,0.14585662891985077,0.21199290966919973,0.3457325465619692,0.3100602964944356,0.7162103504394735,0.25787031545594297,0.669862663472192,0.62,0.614,0.6042654028436019,0.28,0.6091205211726385,0.0
10700,linear_internal_map,1,0.14585662891985077,0.21199290966919973,0.3457325465619692,0.3100602964944356,0.7162103504394735,0.25787031545594297,0.669862663472192,0.6108842356460554,0.588,0.5864197530864198,0.186,0.5809199318568995,0.0
10700,emergent_nonlinear,1,0.14585662891985077,0.21199290966919973,0.3457325465619692,0.3100602964944356,0.7162103504394735,0.25787031545594297,0.669862663472192,0.5412592504729509,0.612,0.6339066339066339,0.314,0.5721153846153846,0.0
10700,static_reliability,2,0.23464737404727273,0.21597523273297964,0.3478582101449373,0.3516130493827636,0.7431645252783827,0.29091092032366056,0.6950642458650543,0.62,0.635,0.639269406392694,0.319,0.6214511041009464,0.0
10700,linear_internal_map,2,0.23464737404727273,0.21597523273297964,0.3478582101449373,0.3516130493827636,0.7431645252783827,0.29091092032366056,0.6950642458650543,0.625091695739174,0.621,0.6279620853080569,0.307,0.6301587301587301,0.0
10700,emergent_nonlinear,2,0.23464737404727273,0.21597523273297964,0.3478582101449373,0.3516130493827636,0.7431645252783827,0.29091092032366056,0.6950642458650543,0.5465457472517857,0.608,0.6354166666666666,0.258,0.5378548895899053,0.0
10700,static_reliability,3,0.27093511377704554,0.3364322415458229,0.366913228452134,0.35090652180672666,0.8021775036546566,0.3417131278837762,0.7138245406838893,0.62,0.612,0.6217494089834515,0.292,0.6125730994152047,0.0
10700,linear_internal_map,3,0.27093511377704554,0.3364322415458229,0.366913228452134,0.35090652180672666,0.8021775036546566,0.3417131278837762,0.7138245406838893,0.6469366449900238,0.625,0.6422413793103449,0.293,0.658321060382916,0.0
10700,emergent_nonlinear,3,0.27093511377704554,0.3364322415458229,0.366913228452134,0.35090652180672666,0.8021775036546566,0.3417131278837762,0.7138245406838893,0.5546741004614042,0.615,0.6004415011037527,0.253,0.5768645357686454,0.0
10700,static_reliability,4,0.448801138420282,0.4586583744009459,0.6089453339583565,0.46636268794978436,0.7144737119626732,0.5291678218880591,0.7697412901110219,0.62,0.605,0.6040268456375839,0.2351499999999986,0.6180555555555556,0.317
10700,linear_internal_map,4,0.448801138420282,0.4586583744009459,0.6089453339583565,0.46636268794978436,0.7144737119626732,0.5291678218880591,0.7697412901110219,0.7275421634118654,0.676,0.7342047930283224,0.41554999999999737,0.764456981664316,0.329
10700,emergent_nonlinear,4,0.448801138420282,0.4586583744009459,0.6089453339583565,0.46636268794978436,0.7144737119626732,0.5291678218880591,0.7697412901110219,0.6126273794573736,0.606,0.6434782608695652,0.2620499999999985,0.6141843971631206,0.319
10700,static_reliability,5,0.6734393328992387,0.6475864125959775,0.662884972873453,0.6903621073670655,0.47147839062278585,0.7946700081350283,0.7973032269097259,0.62,0.619,0.6232558139534884,0.2593499999999952,0.6115007012622721,0.713
10700,linear_internal_map,5,0.6734393328992387,0.6475864125959775,0.662884972873453,0.6903621073670655,0.47147839062278585,0.7946700081350283,0.7973032269097259,0.8417081034980622,0.799,0.7878787878787878,0.5654999999999982,0.8546666666666667,0.75
10700,emergent_nonlinear,5,0.6734393328992387,0.6475864125959775,0.662884972873453,0.6903621073670655,0.47147839062278585,0.7946700081350283,0.7973032269097259,0.7582668173597383,0.702,0.701098901098901,0.39209999999999423,0.7440633245382586,0.758
10701,static_reliability,1,0.11550900034072568,0.22892999691054502,0.3295053865378893,0.29214614162971386,0.7423980648216983,0.2447481810528017,0.6650788124647892,0.62,0.623,0.647982062780269,0.309,0.6343402225755167,0.0
10701,linear_internal_map,1,0.11550900034072568,0.22892999691054502,0.3295053865378893,0.29214614162971386,0.7423980648216983,0.2447481810528017,0.6650788124647892,0.6052417178527048,0.597,0.6193693693693694,0.259,0.5931372549019608,0.0
10701,emergent_nonlinear,1,0.11550900034072568,0.22892999691054502,0.3295053865378893,0.29214614162971386,0.7423980648216983,0.2447481810528017,0.6650788124647892,0.5391597089684482,0.574,0.5608108108108109,0.184,0.5231481481481481,0.0
10701,static_reliability,2,0.269854936394045,0.2209594499502171,0.3540188430118702,0.23709402662831208,0.7460593540074323,0.2850560130164185,0.6935491985952215,0.62,0.609,0.6133333333333333,0.261,0.6125574272588055,0.0
