seed,model,critical_recall,critical_precision,f1_like,false_alarm_rate,review_trigger_rate,irreversible_core_violation_rate,net_vigilance_value,long_term_trajectory_value,final_threshold
14800,fixed_threshold,0.7223198594024605,0.42723492723492723,0.5369039843239712,0.1721875,0.300625,0.13532513181019332,0.693264952395785,0.8290100000000008,0.58
14800,precision_first_adaptive,0.4170403587443946,0.60625814863103,0.49415515409139216,0.0471875,0.11984375,0.22242152466367712,0.6165777123979045,0.7757596874999987,0.76
14800,recall_constrained_adaptive,0.8111587982832618,0.29466791393826003,0.4322964318389753,0.3534375,0.50109375,0.1072961373390558,0.6706208626499034,0.8148753125000066,0.3
14800,severity_weighted_detector,0.774798927613941,0.2932025701724721,0.4254170755642786,0.3265625,0.46203125,0.064343163538874,0.6667080102730286,0.8663440625000061,0.44
14801,fixed_threshold,0.7052456286427977,0.44345549738219897,0.5445194471231115,0.16609375,0.2984375,0.1440466278101582,0.6896881479520774,0.813931249999999,0.58
14801,precision_first_adaptive,0.44463818657367044,0.6042654028436019,0.5123053741838272,0.0521875,0.131875,0.22667829119442023,0.6261094584522988,0.7642787499999981,0.76
14801,recall_constrained_adaptive,0.800718132854578,0.3052703627652293,0.44202180376610506,0.3171875,0.4565625,0.11310592459605028,0.6743758049272097,0.8218893750000043,0.5280000000000001
14801,severity_weighted_detector,0.7459915611814346,0.2889833278849297,0.416588124410933,0.33984375,0.47796875,0.06329113924050633,0.6513739971101046,0.8608865625000055,0.44
14802,fixed_threshold,0.7207207207207207,0.42016806722689076,0.53085600530856,0.1725,0.2975,0.12252252252252252,0.6928894352335528,0.8444600000000001,0.58
14802,precision_first_adaptive,0.43936731107205623,0.6112469437652812,0.5112474437627812,0.0496875,0.1278125,0.22934973637961337,0.625593829333193,0.7639762499999984,0.76
14802,recall_constrained_adaptive,0.8349514563106796,0.2975778546712803,0.4387755102040816,0.34890625,0.49671875,0.09443954104148279,0.6841848452049555,0.8313115625000057,0.37199999999999966
14802,severity_weighted_detector,0.7484499557130204,0.2846076119905692,0.4123962908735969,0.331875,0.46390625,0.05225863596102746,0.6545559265234407,0.8764271875000069,0.44
14803,fixed_threshold,0.6744815148782687,0.4043243243243243,0.5055762081784386,0.1721875,0.2890625,0.1442741208295762,0.6662424647539784,0.8240156250000007,0.58
14803,precision_first_adaptive,0.43504273504273505,0.5918604651162791,0.5014778325123154,0.05484375,0.134375,0.22393162393162394,0.6190635255167959,0.7619937499999984,0.76
14803,recall_constrained_adaptive,0.828042328042328,0.33180212014134275,0.47376387487386484,0.29546875,0.4421875,0.09788359788359788,0.6985645359503243,0.8393250000000039,0.5039999999999998
14803,severity_weighted_detector,0.7580511973575558,0.29853658536585365,0.42837144190387305,0.33703125,0.48046875,0.07018992568125516,0.6581342702689774,0.8528203125000051,0.44
14804,fixed_threshold,0.7200342465753424,0.4243188698284561,0.533968253968254,0.17828125,0.3096875,0.1284246575342466,0.6916123421149938,0.8311018749999995,0.58
14804,precision_first_adaptive,0.4380610412926391,0.6455026455026455,0.5219251336898396,0.041875,0.118125,0.2289048473967684,0.6347439966800603,0.7708306249999977,0.76
14804,recall_constrained_adaptive,0.8368055555555556,0.2822840409956076,0.4221589664987957,0.38296875,0.53359375,0.08854166666666667,0.6761054615056125,0.8282796875000069,0.5520000000000002
14804,severity_weighted_detector,0.7395918367346939,0.30019880715705766,0.427056328069762,0.33,0.4715625,0.04979591836734694,0.6553089382074898,0.8749762500000052,0.44
14805,fixed_threshold,0.709487825356843,0.4435695538057743,0.5458656330749353,0.165625,0.29765625,0.12678421494542402,0.694343605171992,0.8329421874999984,0.58
14805,precision_first_adaptive,0.39431616341030196,0.5912117177097204,0.4730953649440597,0.04796875,0.11734375,0.23179396092362345,0.6017821921348799,0.7644665624999984,0.76
14805,recall_constrained_adaptive,0.8079584775086506,0.32385575589459087,0.4623762376237624,0.3046875,0.450625,0.11418685121107267,0.6839542957745635,0.8193162500000049,0.4320000000000001
14805,severity_weighted_detector,0.7281910009182736,0.2619755533531549,0.3853255587949465,0.3490625,0.47296875,0.05876951331496786,0.6364799810600372,0.8685659375000067,0.44
14806,fixed_threshold,0.7163420829805249,0.4462025316455696,0.5498862528436789,0.1640625,0.29625,0.1363251481795089,0.6966090087380357,0.8246806249999997,0.58
14806,precision_first_adaptive,0.4270833333333333,0.5963636363636363,0.4977238239757207,0.05203125,0.12890625,0.2248263888888889,0.6171644255050506,0.7652109374999979,0.76
14806,recall_constrained_adaptive,0.8093994778067886,0.3342918763479511,0.4731620452810989,0.289375,0.4346875,0.11053089643167972,0.6904053875732907,0.826898750000005,0.5160000000000001
14806,severity_weighted_detector,0.723292469352014,0.27690244720080454,0.40048484848484844,0.33703125,0.46609375,0.05253940455341506,0.6411674947274926,0.8745059375000064,0.44
14807,fixed_threshold,0.7182368193604148,0.4323621227887617,0.5397856446898344,0.17046875,0.3003125,0.12618841832324978,0.694551851668957,0.836233125,0.58
14807,precision_first_adaptive,0.4475336322869955,0.6004813477737665,0.5128468653648508,0.051875,0.12984375,0.20717488789237667,0.6295941669634617,0.7892915624999975,0.76
14807,recall_constrained_adaptive,0.8378127896200185,0.2646370023419204,0.40222469410456063,0.3925,0.53375,0.08804448563484708,0.670657134500893,0.8323868750000071,0.48000000000000015
14807,severity_weighted_detector,0.7577019150707743,0.3015241882041087,0.43138184403887175,0.329375,0.4715625,0.06078268109908409,0.6615878805228579,0.8647887500000057,0.44
14808,fixed_threshold,0.7134404057480981,0.42973523421588594,0.5363838576421989,0.175,0.306875,0.14116652578191038,0.6886947825009081,0.8171881249999998,0.58
14808,precision_first_adaptive,0.4153153153153153,0.5769712140175219,0.48297537977998956,0.0528125,0.12484375,0.23063063063063063,0.6064983728957368,0.7676896874999983,0.76
14808,recall_constrained_adaptive,0.8252427184466019,0.28213639106819555,0.42050820778052617,0.37171875,0.5178125,0.1059135039717564,0.6704591399684587,0.8152818750000074,0.6840000000000003
14808,severity_weighted_detector,0.7342657342657343,0.28426395939086296,0.40985606245425715,0.33046875,0.46171875,0.04283216783216783,0.6502774367922687,0.8853328125000054,0.44
14809,fixed_threshold,0.7344582593250444,0.43072916666666666,0.5430072225869994,0.17078125,0.3,0.13587921847246892,0.6993661689609236,0.8301593749999996,0.58
14809,precision_first_adaptive,0.43560933448573896,0.6222222222222222,0.5124555160142349,0.0478125,0.1265625,0.22039757994814174,0.628419391025641,0.7695249999999981,0.76
14809,recall_constrained_adaptive,0.8260089686098655,0.28638059701492535,0.42530593396444233,0.35859375,0.5025,0.10134529147982063,0.6748929884629543,0.8241368750000087,0.6240000000000002
14809,severity_weighted_detector,0.7375,0.28095238095238095,0.4068965517241379,0.3303125,0.459375,0.06607142857142857,0.6471508928571429,0.863912500000006,0.44
14810,fixed_threshold,0.7138964577656676,0.40704298291040913,0.5184696569920845,0.17890625,0.30171875,0.1335149863760218,0.6839613053399152,0.8336665625000008,0.58
14810,precision_first_adaptive,0.4222035323801514,0.6212871287128713,0.5027541311967951,0.0478125,0.12625,0.2321278385197645,0.6206876903275903,0.7514824999999979,0.76
14810,recall_constrained_adaptive,0.8337777777777777,0.307037643207856,0.4488038277511961,0.33078125,0.47734375,0.09244444444444444,0.6895439649254409,0.8377859375000065,0.32399999999999995
14810,severity_weighted_detector,0.7548770144189991,0.29499502817368245,0.4242135367016206,0.33234375,0.47140625,0.06022052586938083,0.6583899936785625,0.8659159375000052,0.44
14811,fixed_threshold,0.7302904564315352,0.45314109165808447,0.5592627899586909,0.1659375,0.3034375,0.12780082987551866,0.705158970919102,0.8302206249999989,0.58
14811,precision_first_adaptive,0.4427350427350427,0.6174016686531585,0.5156794425087108,0.05015625,0.13109375,0.19743589743589743,0.6335072498357324,0.7896178124999976,0.76
14811,recall_constrained_adaptive,0.8268581081081081,0.3137820512820513,0.4549256505576208,0.33453125,0.4875,0.1089527027027027,0.6849400402806651,0.8154093750000064,0.5040000000000001
14811,severity_weighted_detector,0.738243123336291,0.28079649004387447,0.4068459657701711,0.33296875,0.46296875,0.04702750665483585,0.6499944933469983,0.8813778125000072,0.44
14812,fixed_threshold,0.6888320545609549,0.41821946169772256,0.520450885668277,0.175625,0.301875,0.1466325660699062,0.6746084231518695,0.8128362500000005,0.58
14812,precision_first_adaptive,0.4360033030553262,0.6353790613718412,0.5171400587659158,0.04734375,0.12984375,0.20644095788604458,0.6340599337507117,0.7738696874999975,0.76
14812,recall_constrained_adaptive,0.8354978354978355,0.3038413098236776,0.4456245670745786,0.34546875,0.49625,0.10303030303030303,0.685161781781925,0.8216931250000061,0.36
14812,severity_weighted_detector,0.7531486146095718,0.291044776119403,0.4198455417739293,0.34140625,0.4815625,0.05373635600335852,0.6561222224441395,0.8699768750000072,0.44
14813,fixed_threshold,0.6937334510150044,0.420545746388443,0.5236508994003997,0.16921875,0.29203125,0.12444836716681378,0.6819279148128379,0.840895937500001,0.58
14813,precision_first_adaptive,0.40951571792693287,0.6055276381909548,0.4885960466294983,0.0490625,0.124375,0.25658453695836875,0.6074384587818019,0.7289149999999984,0.76
14813,recall_constrained_adaptive,0.8277385159010601,0.3042207792207792,0.44491927825261157,0.33484375,0.48125,0.09363957597173145,0.6854089565359552,0.8352000000000066,0.42000000000000004
14813,severity_weighted_detector,0.7534129692832765,0.29630872483221476,0.4253371868978805,0.32765625,0.465625,0.0537542662116041,0.6599687334648511,0.8738093750000059,0.44
14814,fixed_threshold,0.6942508710801394,0.4252934898612593,0.527465254798147,0.16828125,0.2928125,0.13937282229965156,0.6810655268524166,0.8247443749999995,0.58
14814,precision_first_adaptive,0.4359861591695502,0.6131386861313869,0.5096056622851365,0.0496875,0.1284375,0.2301038062283737,0.6245071125262042,0.7596706249999983,0.76
14814,recall_constrained_adaptive,0.8018549747048904,0.29896259038038353,0.43553927181131213,0.3484375,0.49703125,0.12141652613827993,0.6663847168852213,0.7996040625000075,0.3
14814,severity_weighted_detector,0.7384898710865562,0.27674258109040717,0.40261044176706823,0.3275,0.4528125,0.04788213627992634,0.6499728235132631,0.8834731250000065,0.44
14815,fixed_threshold,0.7125645438898451,0.4308012486992716,0.5369649805447471,0.1709375,0.3003125,0.1342512908777969,0.6904204515811128,0.8275456249999992,0.58
14815,precision_first_adaptive,0.4270833333333333,0.5843230403800475,0.4934804413239719,0.0546875,0.1315625,0.2282986111111111,0.6132410019134336,0.7612049999999982,0.76
14815,recall_constrained_adaptive,0.8324873096446701,0.3293172690763052,0.47194244604316554,0.313125,0.466875,0.10406091370558376,0.6956685684361812,0.8251356250000045,0.3
14815,severity_weighted_detector,0.7581069237510956,0.28463310299440603,0.41387559808612434,0.3396875,0.47484375,0.07449605609114812,0.653653733719534,0.852367812500005,0.44
14816,fixed_threshold,0.7177280550774526,0.4310077519379845,0.5385857281239909,0.17203125,0.30234375,0.1316695352839931,0.6928548929522074,0.8298765624999997,0.58
14816,precision_first_adaptive,0.4322638146167558,0.5885922330097088,0.49845837615621785,0.05296875,0.12875,0.2103386809269162,0.6196243741130609,0.7847912499999987,0.76
14816,recall_constrained_adaptive,0.8339285714285715,0.27238261883931175,0.4106397010331941,0.38984375,0.53578125,0.1,0.6694499535214348,0.8182803125000094,0.3
14816,severity_weighted_detector,0.7371273712737128,0.26833278526800397,0.39344262295081966,0.34765625,0.47515625,0.04787714543812105,0.6437548961291809,0.8782696875000068,0.44
14817,fixed_threshold,0.7083685545224007,0.4373695198329854,0.5408196192320104,0.1684375,0.299375,0.13693998309382924,0.690254330364312,0.8229024999999999,0.58
14817,precision_first_adaptive,0.42663273960983883,0.6149144254278729,0.5037556334501753,0.04921875,0.1278125,0.23155216284987276,0.6208574916828421,0.7537574999999979,0.76
14817,recall_constrained_adaptive,0.8135874067937034,0.31667204127700743,0.4558960074280409,0.33109375,0.48453125,0.12178956089478045,0.6786247960166724,0.8006696875000044,0.46800000000000014
14817,severity_weighted_detector,0.7634228187919463,0.2999340804218853,0.43066729768102224,0.331875,0.4740625,0.053691275167785234,0.6642936591670243,0.8719881250000051,0.44
14818,fixed_threshold,0.6919014084507042,0.41808510638297874,0.5212201591511937,0.1709375,0.29375,0.1602112676056338,0.6745364642643094,0.8052937500000007,0.58
14818,precision_first_adaptive,0.44299390774586594,0.586405529953917,0.5047099652949926,0.05609375,0.135625,0.20278503046127067,0.6242522885684005,0.7866481249999977,0.76
14818,recall_constrained_adaptive,0.8334778837814397,0.30191643103989946,0.44326568265682653,0.3471875,0.49734375,0.09019947961838681,0.6855949878988385,0.8342246875000059,0.48000000000000015
14818,severity_weighted_detector,0.7425149700598802,0.28923692102632453,0.4163069544364508,0.33328125,0.46890625,0.0641573994867408,0.6510173395535891,0.8623259375000063,0.44
14819,fixed_threshold,0.7181818181818181,0.4261057173678533,0.5348679756262694,0.16625,0.2896875,0.12818181818181817,0.6934676448955575,0.8415225000000004,0.58
14819,precision_first_adaptive,0.43429068755439515,0.6122699386503068,0.5081466395112016,0.049375,0.12734375,0.24194952132288947,0.6217474506372573,0.7494359374999979,0.76
14819,recall_constrained_adaptive,0.8359375,0.29758961681087764,0.43892433910665457,0.35515625,0.505625,0.10850694444444445,0.6812260219234995,0.8144681250000056,0.3
14819,severity_weighted_detector,0.7276746242263483,0.2814637482900137,0.4059186189889026,0.32828125,0.456875,0.04597701149425287,0.6467276949255891,0.8832600000000062,0.44
14820,fixed_threshold,0.7101576182136602,0.42416317991631797,0.5311067452521283,0.17203125,0.29875,0.1295971978984238,0.6883641861659058,0.8342237499999999,0.58
14820,precision_first_adaptive,0.39251523063533506,0.5767263427109974,0.4671154842050751,0.05171875,0.1221875,0.24194952132288947,0.5952494207058178,0.7490393749999983,0.76
14820,recall_constrained_adaptive,0.8301393728222997,0.29125916870415647,0.4312217194570135,0.36234375,0.51125,0.10801393728222997,0.6760566321092065,0.8138112500000061,0.3
14820,severity_weighted_detector,0.7479892761394102,0.28162853297442797,0.40919090686873627,0.33359375,0.464375,0.05093833780160858,0.6535493348441577,0.8777956250000059,0.44
14821,fixed_threshold,0.712457337883959,0.4342173686947478,0.5395799676898223,0.17,0.30046875,0.15699658703071673,0.6877247964730875,0.8036684374999996,0.58
14821,precision_first_adaptive,0.4153720359771055,0.6365914786967418,0.5027214250371104,0.0453125,0.1246875,0.2346688470973017,0.6215349444620341,0.7425512499999979,0.76
14821,recall_constrained_adaptive,0.8343296327924851,0.29251497005988025,0.4331633784083352,0.36921875,0.521875,0.08368915456874466,0.6807723988562158,0.8346312500000063,0.3
14821,severity_weighted_detector,0.733275412684622,0.2813333333333333,0.40664900024090583,0.336875,0.46875,0.07558644656820157,0.6427643418766289,0.8512968750000063,0.44
14822,fixed_threshold,0.6988879384088965,0.43736616702355463,0.5380309515969708,0.16421875,0.291875,0.14285714285714285,0.6860842963602468,0.8195543749999995,0.58
14822,precision_first_adaptive,0.42132867132867136,0.617157490396927,0.5007792207792208,0.04671875,0.12203125,0.20716783216783216,0.6235196115064513,0.7852759374999981,0.76
14822,recall_constrained_adaptive,0.8303495311167945,0.2848786194793799,0.4242160278745644,0.38203125,0.53421875,0.09207161125319693,0.6736205889435933,0.8233021875000069,0.72
14822,severity_weighted_detector,0.7535269709543568,0.300761841669427,0.4299242424242424,0.32984375,0.47171875,0.048132780082987554,0.6615910499882144,0.8775834375000051,0.44
14823,fixed_threshold,0.7328453796889296,0.41246138002059735,0.527841845140033,0.17828125,0.3034375,0.11070448307410796,0.6969824483824365,0.8561112500000004,0.58
14823,precision_first_adaptive,0.41517857142857145,0.5886075949367089,0.4869109947643979,0.05078125,0.1234375,0.23035714285714284,0.6096430549276672,0.7663968749999985,0.76
14823,recall_constrained_adaptive,0.8030993618960802,0.2953402614817298,0.43186274509803924,0.3284375,0.46609375,0.10209662716499544,0.6727291844055695,0.8315371875000076,0.3
14823,severity_weighted_detector,0.7612732095490716,0.2898014136654325,0.41979522184300344,0.3296875,0.46421875,0.0610079575596817,0.6601820640807647,0.8682665625000067,0.44
14824,fixed_threshold,0.7018739352640545,0.43391258557135337,0.5362837617962902,0.16796875,0.29671875,0.13798977853492334,0.6866133337824399,0.8230334375000002,0.58
14824,precision_first_adaptive,0.4233128834355828,0.5962962962962963,0.495130702203998,0.05109375,0.1265625,0.2085889570552147,0.6183314140252215,0.7834781249999986,0.76
14824,recall_constrained_adaptive,0.8191000918273645,0.3019634394041977,0.44125649270343803,0.3221875,0.4615625,0.1111111111111111,0.6807217362467228,0.8251162500000061,0.5400000000000001
14824,severity_weighted_detector,0.7470534904805077,0.27828436339074636,0.40551181102362205,0.33390625,0.46265625,0.043517679057116954,0.6534847595664536,0.8854915625000058,0.44
14825,fixed_threshold,0.6989335520918786,0.4439812402292861,0.5430210325047801,0.16671875,0.29984375,0.15996718621821165,0.6845034647387037,0.7948803124999995,0.58
14825,precision_first_adaptive,0.4186440677966102,0.6098765432098765,0.49648241206030147,0.049375,0.1265625,0.21610169491525424,0.618737107658506,0.7692124999999977,0.76
14825,recall_constrained_adaptive,0.8030954428202923,0.2923317683881064,0.4286369894446994,0.35328125,0.49921875,0.11006018916595013,0.6662594551311163,0.8123546875000067,0.3
14825,severity_weighted_detector,0.7567099567099567,0.2943752105085887,0.4238603297769156,0.32734375,0.46390625,0.05281385281385281,0.6610961408900266,0.8756146875000062,0.44
14826,fixed_threshold,0.7146714671467147,0.4259656652360515,0.533781512605042,0.1671875,0.29125,0.14401440144014402,0.6892577216278495,0.8249850000000001,0.58
14826,precision_first_adaptive,0.44849023090586143,0.6265508684863523,0.5227743271221532,0.04703125,0.1259375,0.21492007104795738,0.6358852690495131,0.7808618749999979,0.76
14826,recall_constrained_adaptive,0.8048172757475083,0.297239263803681,0.43413978494623656,0.35796875,0.509375,0.10299003322259136,0.6684478988112224,0.8147125000000073,0.3
14826,severity_weighted_detector,0.7504302925989673,0.28580793182563097,0.41395680037977695,0.34046875,0.47671875,0.06282271944922548,0.6524386164178416,0.8624978125000063,0.44
14827,fixed_threshold,0.7138989169675091,0.4252688172043011,0.5330188679245285,0.16703125,0.290625,0.14259927797833935,0.6890205517788517,0.8267437499999996,0.58
14827,precision_first_adaptive,0.4161752316764954,0.6221662468513854,0.49873801110550225,0.046875,0.1240625,0.22072451558550968,0.620360074054779,0.7637318749999983,0.76
14827,recall_constrained_adaptive,0.8300258843830889,0.3054938075579549,0.44661095636026005,0.34171875,0.49203125,0.09404659188955997,0.6853725555524769,0.8310959375000073,0.37199999999999966
14827,severity_weighted_detector,0.7230246389124894,0.2843301035750084,0.4081534772182254,0.3346875,0.46765625,0.056074766355140186,0.6426938605844251,0.8697965625000065,0.44
14828,fixed_threshold,0.7051509769094139,0.4201058201058201,0.526525198938992,0.17125,0.2953125,0.1438721136767318,0.6831442689390737,0.8223968749999996,0.58
14828,precision_first_adaptive,0.4325044404973357,0.5975460122699386,0.5018031942297785,0.05125,0.12734375,0.1989342806394316,0.6240084230513572,0.7954671874999978,0.76
14828,recall_constrained_adaptive,0.8348623853211009,0.27896995708154504,0.41819852941176466,0.3675,0.5096875,0.10275229357798166,0.6750046245619562,0.8231143750000086,0.49200000000000016
14828,severity_weighted_detector,0.7342304457527334,0.290612516644474,0.41640829954686376,0.33296875,0.469375,0.0656013456686291,0.6476932009038412,0.8598037500000061,0.44
14829,fixed_threshold,0.6967572304995618,0.40916109109624293,0.5155642023346303,0.179375,0.30359375,0.13584574934268187,0.6768138787780852,0.8266715624999995,0.58
