seed,model,is_tdc,final_holdout_recall,final_holdout_false_alarm,final_holdout_violation_rate,trap_capture_rate,capture_resistance,core_protection,gross_trajectory,avg_information_cost,net_trajectory_after_info_cost,final_quality
17400,simple_q076_a008,False,0.7428571428571429,0.11857142857142858,0.35714285714285715,0.24433497536945814,0.7556650246305419,0.6428571428571428,0.7223752380952333,0.017820000000000367,0.7045552380952329,0.76
17400,simple_q084_a008,False,0.8,0.09142857142857143,0.30666666666666664,0.18118118118118118,0.8188188188188188,0.6933333333333334,0.7141809523809481,0.03718000000000356,0.6770009523809446,0.84
17400,simple_q090_a008,False,0.8085106382978723,0.06714285714285714,0.32978723404255317,0.13484251968503938,0.8651574803149606,0.6702127659574468,0.7226714285714253,0.05631999999999951,0.6663514285714258,0.9
17400,simple_q090_a016,False,0.7833333333333333,0.06142857142857143,0.3,0.09642147117296222,0.9035785288270378,0.7,0.7623152380952353,0.05631999999999951,0.7059952380952358,0.9
17400,tdc_evidence_validated,True,0.863013698630137,0.054285714285714284,0.2328767123287671,0.17408123791102514,0.8259187620889749,0.7671232876712328,0.7463095238095203,0.013350964311289655,0.7329585594982306,0.9077187151913735
17401,simple_q076_a008,False,0.7294117647058823,0.12428571428571429,0.4470588235294118,0.24107142857142858,0.7589285714285714,0.5529411764705883,0.7111371428571387,0.017820000000000367,0.6933171428571383,0.76
17401,simple_q084_a008,False,0.7910447761194029,0.08428571428571428,0.31343283582089554,0.19264278799612777,0.8073572120038722,0.6865671641791045,0.7263790476190436,0.03718000000000356,0.68919904761904,0.84
17401,simple_q090_a008,False,0.8461538461538461,0.06428571428571428,0.3076923076923077,0.12607449856733524,0.8739255014326648,0.6923076923076923,0.7547238095238067,0.05631999999999951,0.6984038095238072,0.9
17401,simple_q090_a016,False,0.96,0.06142857142857143,0.14666666666666667,0.11746987951807229,0.8825301204819277,0.8533333333333333,0.7571780952380923,0.05631999999999951,0.7008580952380928,0.9
17401,tdc_evidence_validated,True,0.8666666666666667,0.045714285714285714,0.24,0.1982421875,0.8017578125,0.76,0.7652914285714252,0.014187966792939738,0.7511034617784854,0.9104355101431982
17402,simple_q076_a008,False,0.7654320987654321,0.13285714285714287,0.345679012345679,0.23246492985971945,0.7675350701402806,0.654320987654321,0.6708171428571384,0.017820000000000367,0.6529971428571381,0.76
17402,simple_q084_a008,False,0.8941176470588236,0.08857142857142856,0.3176470588235294,0.17782217782217782,0.8221778221778222,0.6823529411764706,0.7048219047619008,0.03718000000000356,0.6676419047618972,0.84
