quality,seed,irreversible_recall,reversible_recall,critical_precision,false_alarm_rate,probe_rate,irreversible_core_violation_rate,net_vigilance_value,long_term_trajectory_value
0.6,15400,0.6477832512315271,0.5962962962962963,0.3449292452830189,0.21365384615384617,0.08961538461538461,0.458128078817734,0.6140487901138357,0.6176934615384592
0.6,15401,0.6166666666666667,0.5142348754448398,0.3366093366093366,0.2076923076923077,0.0948076923076923,0.4642857142857143,0.5862309091745035,0.5845544230769202
0.6,15402,0.623342175066313,0.5586080586080586,0.3229665071770335,0.21769230769230768,0.10076923076923076,0.46153846153846156,0.5931963139099256,0.6185176923076887
0.6,15403,0.6461916461916462,0.5339449541284403,0.3307462686567164,0.21557692307692308,0.09903846153846153,0.44471744471744473,0.6022700683068888,0.6081298076923052
0.6,15404,0.67828418230563,0.5342205323193916,0.31504424778761064,0.22326923076923078,0.09846153846153846,0.4128686327077748,0.6166819851201844,0.6423211538461508
0.6,15405,0.6030534351145038,0.5522648083623694,0.33393610608800484,0.2125,0.10115384615384615,0.47837150127226463,0.5836720560164887,0.5951199999999971
0.6,15406,0.615979381443299,0.5497076023391813,0.3125374925014997,0.22038461538461537,0.10038461538461538,0.45618556701030927,0.587615999027889,0.6177715384615361
0.6,15407,0.6459948320413437,0.5529411764705883,0.3114754098360656,0.22615384615384615,0.09961538461538462,0.4289405684754522,0.6033297991603458,0.6315265384615347
0.6,15408,0.6596858638743456,0.5355191256830601,0.32326820603907636,0.21980769230769232,0.11,0.4293193717277487,0.6079095779438863,0.6279719230769182
0.6,15409,0.6547314578005116,0.5342205323193916,0.32271634615384615,0.21673076923076923,0.10076923076923076,0.4219948849104859,0.6072841689503669,0.6277315384615337
0.6,15410,0.6444444444444445,0.5439856373429084,0.3268173488087966,0.21192307692307694,0.1,0.42777777777777776,0.6049331564491225,0.6368619230769186
0.6,15411,0.6430446194225722,0.5240549828178694,0.3339404978749241,0.21096153846153845,0.09576923076923077,0.42782152230971127,0.6024983167413557,0.6129023076923034
0.6,15412,0.6171875,0.5380530973451327,0.3165593914569924,0.2246153846153846,0.09,0.4557291666666667,0.5870765219176617,0.6083026923076894
0.6,15413,0.6865671641791045,0.5699588477366255,0.33719512195121953,0.20903846153846153,0.1026923076923077,0.4079601990049751,0.630738333170273,0.6456711538461503
0.6,15414,0.6347607052896725,0.5602094240837696,0.33198146002317497,0.22173076923076923,0.10711538461538461,0.43828715365239296,0.6015159500400229,0.6192521153846114
