seed,model,irreversible_recall,reversible_recall,critical_precision,false_alarm_rate,probe_rate,review_trigger_rate,irreversible_core_violation_rate,reversible_miss_rate,net_vigilance_value,long_term_trajectory_value,final_threshold_irreversible,final_threshold_reversible
15200,hierarchical_no_probe,0.8278008298755186,0.5991847826086957,0.3901532745006967,0.19308823529411764,0.0,0.3166176470588235,0.2676348547717842,0.48641304347826086,0.7267423660931809,0.7167732352941195,0.28,0.5679999999999998
15200,hierarchical_boundary_probe,0.8386454183266933,0.6052998605299861,0.42389687654933067,0.17088235294117646,0.06132352941176471,0.29661764705882354,0.26693227091633465,0.4700139470013947,0.7356250965301314,0.7229613235294123,0.28,0.74
15200,hierarchical_recall_guard_probe,0.8678861788617886,0.6092436974789915,0.442051282051282,0.16,0.3013235294117647,0.2867647058823529,0.2459349593495935,0.49159663865546216,0.7402867593191121,0.7258051470588284,0.28,0.74
15200,global_probe,0.851024208566108,0.6019151846785226,0.4339622641509434,0.17205882352941176,0.24205882352941177,0.3039705882352941,0.2532588454376164,0.46785225718194257,0.7323708409102413,0.7145752941176492,0.28,0.44999999999999973
15201,hierarchical_no_probe,0.8506876227897839,0.5993975903614458,0.3672116659301812,0.21058823529411766,0.0,0.3327941176470588,0.2770137524557957,0.4789156626506024,0.7303015754356585,0.7165761764705908,0.28,0.5799999999999998
15201,hierarchical_boundary_probe,0.8646034816247582,0.6088888888888889,0.42686567164179107,0.16941176470588235,0.060588235294117644,0.29558823529411765,0.23984526112185686,0.4725925925925926,0.7509589766116134,0.7384647058823542,0.28,0.74
15201,hierarchical_recall_guard_probe,0.882466281310212,0.6038291605301914,0.42156386595434675,0.1751470588235294,0.31308823529411767,0.3027941176470588,0.2350674373795761,0.48159057437407954,0.741759352583179,0.7298454411764759,0.28,0.74
15201,global_probe,0.8652094717668488,0.6053811659192825,0.46659597030752914,0.14794117647058824,0.23411764705882354,0.2773529411764706,0.25136612021857924,0.47384155455904337,0.7465672896353979,0.7270288235294129,0.28,0.74
15202,hierarchical_no_probe,0.8429423459244533,0.6002928257686676,0.3797814207650273,0.20029411764705882,0.0,0.32294117647058823,0.28429423459244535,0.47144948755490484,0.7291073164025617,0.7155964705882376,0.28,0.28
15202,hierarchical_boundary_probe,0.8264299802761341,0.6159217877094972,0.43544303797468353,0.16397058823529412,0.06323529411764706,0.29044117647058826,0.29191321499013806,0.4664804469273743,0.7313893407965468,0.7130882352941185,0.28,0.74
15202,hierarchical_recall_guard_probe,0.8666666666666667,0.6101928374655647,0.44696969696969696,0.1610294117647059,0.3044117647058823,0.2911764705882353,0.2235294117647059,0.46005509641873277,0.7430154350996597,0.7376367647058867,0.28,0.74
15202,global_probe,0.8609022556390977,0.616551724137931,0.419953596287703,0.18382352941176472,0.24411764705882352,0.31691176470588234,0.2631578947368421,0.4593103448275862,0.7344123675776416,0.7116367647058821,0.28,0.74
15203,hierarchical_no_probe,0.8426966292134831,0.611716621253406,0.4305555555555556,0.1748529411764706,0.0,0.3070588235294118,0.23782771535580524,0.47002724795640327,0.746060401487642,0.7269070588235289,0.28,0.74
15203,hierarchical_boundary_probe,0.8150943396226416,0.6162464985994398,0.45774278215223096,0.15191176470588236,0.06529411764705882,0.2801470588235294,0.3113207547169811,0.47058823529411764,0.7285557378232825,0.6998867647058827,0.28,0.74
15203,hierarchical_recall_guard_probe,0.8686868686868687,0.6051873198847262,0.43301069791136015,0.16367647058823528,0.2944117647058824,0.2886764705882353,0.23636363636363636,0.4783861671469741,0.7399039644328186,0.7354511764705919,0.28,0.5599999999999998
15203,global_probe,0.889943074003795,0.609353507565337,0.4382508409418549,0.17191176470588235,0.24558823529411763,0.3060294117647059,0.20872865275142316,0.4896836313617607,0.7556538611055015,0.7324876470588271,0.28,0.74
15204,hierarchical_no_probe,0.8463035019455253,0.6068965517241379,0.36519198664440733,0.22367647058823528,0.0,0.3523529411764706,0.27431906614785995,0.463448275862069,0.7283918622266328,0.7073317647058837,0.28,0.74
15204,hierarchical_boundary_probe,0.8627049180327869,0.6024930747922438,0.41776476329917034,0.17544117647058824,0.06485294117647059,0.3013235294117647,0.26844262295081966,0.48337950138504154,0.743573615530668,0.7203072058823557,0.28,0.74
15204,hierarchical_recall_guard_probe,0.8212180746561886,0.6012176560121766,0.45854483925549916,0.1411764705882353,0.2973529411764706,0.26073529411764707,0.30648330058939094,0.4794520547945205,0.7165658742131787,0.7118570588235297,0.28,0.74
15204,global_probe,0.8697478991596639,0.6020260492040521,0.4076620825147348,0.1773529411764706,0.24294117647058824,0.2994117647058824,0.22478991596638656,0.48480463096960924,0.7394044224499213,0.7416170588235342,0.28,0.74
