seed,model,phase,TF,R,I,Align,H
12402,ethicalsense_plus_idealgap,6,0.5039930023669419,0.9385,0.8926914589485322,0.9154223130536793,0.3060788339550298
12403,static_baseline,1,0.24,0.56,0.32,0.4,0.64
12403,static_baseline,2,0.24,0.56,0.32,0.4,0.64
12403,static_baseline,3,0.24,0.56,0.32,0.4,0.64
12403,static_baseline,4,0.24,0.56,0.32,0.4,0.64
12403,static_baseline,5,0.24,0.56,0.32,0.4,0.64
12403,static_baseline,6,0.24,0.56,0.32,0.4,0.64
12403,success_fed_thirdfactor,1,0.95,0.8220000000000094,0.32,0.4,0.64
12403,success_fed_thirdfactor,2,0.95,0.9335000000000002,0.32,0.4,0.64
12403,success_fed_thirdfactor,3,0.95,0.9380000000000001,0.32,0.4,0.64
12403,success_fed_thirdfactor,4,0.95,0.94,0.32,0.4,0.64
12403,success_fed_thirdfactor,5,0.95,0.9300000000000002,0.32,0.4,0.64
12403,success_fed_thirdfactor,6,0.95,0.94,0.32,0.4,0.64
12403,ethicalsense_fed_thirdfactor,1,0.95,0.5027999999999997,0.32,0.4,0.64
12403,ethicalsense_fed_thirdfactor,2,0.95,0.5013399999999999,0.32,0.4,0.64
12403,ethicalsense_fed_thirdfactor,3,0.95,0.5,0.32,0.4,0.64
12403,ethicalsense_fed_thirdfactor,4,0.95,0.5,0.32,0.4,0.64
12403,ethicalsense_fed_thirdfactor,5,0.95,0.5,0.32,0.4,0.64
12403,ethicalsense_fed_thirdfactor,6,0.95,0.5038999999999998,0.32,0.4,0.64
12403,ethicalsense_plus_idealgap,1,0.4403948757924294,0.6083932861813147,0.7493109543404707,0.7863798589064238,0.39085470748876716
12403,ethicalsense_plus_idealgap,2,0.4698535963026832,0.6398655874865239,0.81314459599959,0.8438301363996311,0.3536507214604147
12403,ethicalsense_plus_idealgap,3,0.4891442806845223,0.6995683843834082,0.8567037173894416,0.8830333456504976,0.32788139346939876
12403,ethicalsense_plus_idealgap,4,0.49462569866531114,0.7579739951602729,0.8696011714618855,0.8946410543156973,0.32014292102593234
12403,ethicalsense_plus_idealgap,5,0.5001138666997627,0.8500450450335676,0.8809081519965809,0.9048173367969232,0.31368000390850614
12403,ethicalsense_plus_idealgap,6,0.5057252549925166,0.94,0.8924873816185234,0.9152386434566717,0.30705727352518936
12404,static_baseline,1,0.24,0.56,0.32,0.4,0.64
12404,static_baseline,2,0.24,0.56,0.32,0.4,0.64
12404,static_baseline,3,0.24,0.56,0.32,0.4,0.64
12404,static_baseline,4,0.24,0.56,0.32,0.4,0.64
12404,static_baseline,5,0.24,0.56,0.32,0.4,0.64
12404,static_baseline,6,0.24,0.56,0.32,0.4,0.64
12404,success_fed_thirdfactor,1,0.95,0.9295000000000091,0.32,0.4,0.64
12404,success_fed_thirdfactor,2,0.95,0.9375,0.32,0.4,0.64
12404,success_fed_thirdfactor,3,0.95,0.94,0.32,0.4,0.64
12404,success_fed_thirdfactor,4,0.95,0.94,0.32,0.4,0.64
12404,success_fed_thirdfactor,5,0.95,0.94,0.32,0.4,0.64
12404,success_fed_thirdfactor,6,0.95,0.94,0.32,0.4,0.64
12404,ethicalsense_fed_thirdfactor,1,0.95,0.50128,0.32,0.4,0.64
12404,ethicalsense_fed_thirdfactor,2,0.95,0.5103599999999995,0.32,0.4,0.64
12404,ethicalsense_fed_thirdfactor,3,0.95,0.5039599999999997,0.32,0.4,0.64
12404,ethicalsense_fed_thirdfactor,4,0.95,0.5038399999999998,0.32,0.4,0.64
12404,ethicalsense_fed_thirdfactor,5,0.95,0.5025599999999999,0.32,0.4,0.64
12404,ethicalsense_fed_thirdfactor,6,0.95,0.50128,0.32,0.4,0.64
12404,ethicalsense_plus_idealgap,1,0.4271391192276403,0.5261647874105754,0.7388289386487455,0.7769460447838705,0.3930023169528348
12404,ethicalsense_plus_idealgap,2,0.44633525443950733,0.5168529397938582,0.7819316083035318,0.8157384474731783,0.36755365662282574
12404,ethicalsense_plus_idealgap,3,0.4596266218753817,0.5018688102264475,0.8114683710745914,0.8423215339671318,0.350179007552272
12404,ethicalsense_plus_idealgap,4,0.4609954676626044,0.5088785399004356,0.8146891846915859,0.845220266222427,0.3482465193820753
12404,ethicalsense_plus_idealgap,5,0.46235933091268644,0.5109292625314611,0.8178982746917789,0.8481084472226007,0.3463210653819595
12404,ethicalsense_plus_idealgap,6,0.46235933091268644,0.5,0.8178982746917789,0.8481084472226007,0.3463210653819595
12405,static_baseline,1,0.24,0.56,0.32,0.4,0.64
12405,static_baseline,2,0.24,0.56,0.32,0.4,0.64
12405,static_baseline,3,0.24,0.56,0.32,0.4,0.64
12405,static_baseline,4,0.24,0.56,0.32,0.4,0.64
12405,static_baseline,5,0.24,0.56,0.32,0.4,0.64
12405,static_baseline,6,0.24,0.56,0.32,0.4,0.64
12405,success_fed_thirdfactor,1,0.95,0.7850000000000099,0.32,0.4,0.64
12405,success_fed_thirdfactor,2,0.95,0.94,0.32,0.4,0.64
12405,success_fed_thirdfactor,3,0.95,0.9390000000000002,0.32,0.4,0.64
12405,success_fed_thirdfactor,4,0.95,0.94,0.32,0.4,0.64
12405,success_fed_thirdfactor,5,0.95,0.94,0.32,0.4,0.64
12405,success_fed_thirdfactor,6,0.95,0.9305000000000002,0.32,0.4,0.64
12405,ethicalsense_fed_thirdfactor,1,0.95,0.5026799999999998,0.32,0.4,0.64
12405,ethicalsense_fed_thirdfactor,2,0.95,0.5102999999999995,0.32,0.4,0.64
12405,ethicalsense_fed_thirdfactor,3,0.95,0.50128,0.32,0.4,0.64
12405,ethicalsense_fed_thirdfactor,4,0.95,0.5155999999999992,0.32,0.4,0.64
12405,ethicalsense_fed_thirdfactor,5,0.95,0.5,0.32,0.4,0.64
12405,ethicalsense_fed_thirdfactor,6,0.95,0.5079199999999995,0.32,0.4,0.64
12405,ethicalsense_plus_idealgap,1,0.43982677379315416,0.5753396444229164,0.7464722055306129,0.783824984977552,0.3928583644193473
12405,ethicalsense_plus_idealgap,2,0.459727063905809,0.5744371961025155,0.7899650511857724,0.8229685460671953,0.367428930301175
12405,ethicalsense_plus_idealgap,3,0.4741009335765139,0.5298664334855646,0.822123354432928,0.8519110189896351,0.3484664616661351
12405,ethicalsense_plus_idealgap,4,0.4741009335765139,0.5158229522154588,0.822123354432928,0.8519110189896351,0.3484664616661351
12405,ethicalsense_plus_idealgap,5,0.4741009335765139,0.508794033387096,0.822123354432928,0.8519110189896351,0.3484664616661351
12405,ethicalsense_plus_idealgap,6,0.4741009335765139,0.503165925158247,0.822123354432928,0.8519110189896351,0.3484664616661351
12406,static_baseline,1,0.24,0.56,0.32,0.4,0.64
12406,static_baseline,2,0.24,0.56,0.32,0.4,0.64
12406,static_baseline,3,0.24,0.56,0.32,0.4,0.64
12406,static_baseline,4,0.24,0.56,0.32,0.4,0.64
12406,static_baseline,5,0.24,0.56,0.32,0.4,0.64
12406,static_baseline,6,0.24,0.56,0.32,0.4,0.64
12406,success_fed_thirdfactor,1,0.95,0.8680000000000085,0.32,0.4,0.64
12406,success_fed_thirdfactor,2,0.95,0.9375,0.32,0.4,0.64
12406,success_fed_thirdfactor,3,0.95,0.94,0.32,0.4,0.64
12406,success_fed_thirdfactor,4,0.95,0.935,0.32,0.4,0.64
12406,success_fed_thirdfactor,5,0.95,0.94,0.32,0.4,0.64
12406,success_fed_thirdfactor,6,0.95,0.94,0.32,0.4,0.64
12406,ethicalsense_fed_thirdfactor,1,0.95,0.50128,0.32,0.4,0.64
12406,ethicalsense_fed_thirdfactor,2,0.95,0.50006,0.32,0.4,0.64
12406,ethicalsense_fed_thirdfactor,3,0.95,0.50128,0.32,0.4,0.64
12406,ethicalsense_fed_thirdfactor,4,0.95,0.5117599999999993,0.32,0.4,0.64
12406,ethicalsense_fed_thirdfactor,5,0.95,0.50006,0.32,0.4,0.64
12406,ethicalsense_fed_thirdfactor,6,0.95,0.5015199999999997,0.32,0.4,0.64
12406,ethicalsense_plus_idealgap,1,0.4392222235609318,0.5592778586248508,0.7486377683577978,0.785773991522018,0.3908414199306708
12406,ethicalsense_plus_idealgap,2,0.45817035039066756,0.5794829858591137,0.7890789771411986,0.8221710794270789,0.3674052184708848
12406,ethicalsense_plus_idealgap,3,0.47141327839726876,0.5971660573466364,0.8182549033479718,0.8484294130131748,0.3502964436262198
12406,ethicalsense_plus_idealgap,4,0.4821367690121525,0.6131712193023662,0.8417080482139903,0.8695372433925914,0.33658027625805625
12406,ethicalsense_plus_idealgap,5,0.4821367690121525,0.6074461958388976,0.8417080482139903,0.8695372433925914,0.33658027625805625
12406,ethicalsense_plus_idealgap,6,0.4841807268727385,0.633857636876658,0.8465173608271338,0.8738656247444205,0.3336946886901702
12407,static_baseline,1,0.24,0.56,0.32,0.4,0.64
12407,static_baseline,2,0.24,0.56,0.32,0.4,0.64
12407,static_baseline,3,0.24,0.56,0.32,0.4,0.64
12407,static_baseline,4,0.24,0.56,0.32,0.4,0.64
12407,static_baseline,5,0.24,0.56,0.32,0.4,0.64
12407,static_baseline,6,0.24,0.56,0.32,0.4,0.64
12407,success_fed_thirdfactor,1,0.95,0.7040000000000095,0.32,0.4,0.64
12407,success_fed_thirdfactor,2,0.95,0.94,0.32,0.4,0.64
12407,success_fed_thirdfactor,3,0.95,0.94,0.32,0.4,0.64
12407,success_fed_thirdfactor,4,0.95,0.94,0.32,0.4,0.64
12407,success_fed_thirdfactor,5,0.95,0.9380000000000004,0.32,0.4,0.64
12407,success_fed_thirdfactor,6,0.95,0.94,0.32,0.4,0.64
12407,ethicalsense_fed_thirdfactor,1,0.95,0.5025599999999999,0.32,0.4,0.64
12407,ethicalsense_fed_thirdfactor,2,0.95,0.5,0.32,0.4,0.64
12407,ethicalsense_fed_thirdfactor,3,0.95,0.5001199999999999,0.32,0.4,0.64
12407,ethicalsense_fed_thirdfactor,4,0.95,0.5026199999999998,0.32,0.4,0.64
12407,ethicalsense_fed_thirdfactor,5,0.95,0.5,0.32,0.4,0.64
12407,ethicalsense_fed_thirdfactor,6,0.95,0.5,0.32,0.4,0.64
12407,ethicalsense_plus_idealgap,1,0.44723812199724744,0.6116316159906426,0.7691998103642301,0.8042798293278074,0.37816397382496725
12407,ethicalsense_plus_idealgap,2,0.4671173307341616,0.5529278953100066,0.814156178421851,0.8447405605796664,0.3515538011374183
12407,ethicalsense_plus_idealgap,3,0.4692580059362912,0.5,0.819193061250391,0.8492737551253525,0.34853167144029423
12407,ethicalsense_plus_idealgap,4,0.4692580059362912,0.5053636877562678,0.819193061250391,0.8492737551253525,0.34853167144029423
12407,ethicalsense_plus_idealgap,5,0.4692580059362912,0.5,0.819193061250391,0.8492737551253525,0.34853167144029423
12407,ethicalsense_plus_idealgap,6,0.4692580059362912,0.5134061085725163,0.819193061250391,0.8492737551253525,0.34853167144029423
12408,static_baseline,1,0.24,0.56,0.32,0.4,0.64
12408,static_baseline,2,0.24,0.56,0.32,0.4,0.64
12408,static_baseline,3,0.24,0.56,0.32,0.4,0.64
12408,static_baseline,4,0.24,0.56,0.32,0.4,0.64
12408,static_baseline,5,0.24,0.56,0.32,0.4,0.64
12408,static_baseline,6,0.24,0.56,0.32,0.4,0.64
12408,success_fed_thirdfactor,1,0.95,0.7655000000000097,0.32,0.4,0.64
12408,success_fed_thirdfactor,2,0.95,0.94,0.32,0.4,0.64
12408,success_fed_thirdfactor,3,0.95,0.94,0.32,0.4,0.64
12408,success_fed_thirdfactor,4,0.95,0.9385000000000001,0.32,0.4,0.64
12408,success_fed_thirdfactor,5,0.95,0.9370000000000003,0.32,0.4,0.64
12408,success_fed_thirdfactor,6,0.95,0.9390000000000002,0.32,0.4,0.64
12408,ethicalsense_fed_thirdfactor,1,0.95,0.5,0.32,0.4,0.64
12408,ethicalsense_fed_thirdfactor,2,0.95,0.5040799999999996,0.32,0.4,0.64
12408,ethicalsense_fed_thirdfactor,3,0.95,0.5069999999999992,0.32,0.4,0.64
12408,ethicalsense_fed_thirdfactor,4,0.95,0.5015199999999997,0.32,0.4,0.64
12408,ethicalsense_fed_thirdfactor,5,0.95,0.5,0.32,0.4,0.64
12408,ethicalsense_fed_thirdfactor,6,0.95,0.50128,0.32,0.4,0.64
12408,ethicalsense_plus_idealgap,1,0.449901175185723,0.6380659557498625,0.780054566363342,0.8140491097270067,0.37073337052613803
12408,ethicalsense_plus_idealgap,2,0.4695482217881512,0.6626945165532632,0.8246633310772294,0.8541969979695059,0.3442920277444059
12408,ethicalsense_plus_idealgap,3,0.48171316853638957,0.6881366770573253,0.8532867351907312,0.8799580616716575,0.3271179852763049
12408,ethicalsense_plus_idealgap,4,0.4851454481693227,0.7076085839209245,0.8613626872682211,0.8872264185413982,0.32227241402981105
12408,ethicalsense_plus_idealgap,5,0.49483743502279093,0.828618918398346,0.8809337573806336,0.9048403816425696,0.31117649292974836
12408,ethicalsense_plus_idealgap,6,0.5003148116568817,0.94,0.8922204154643432,0.9149983739179084,0.3047247554670586
12409,static_baseline,1,0.24,0.56,0.32,0.4,0.64
12409,static_baseline,2,0.24,0.56,0.32,0.4,0.64
12409,static_baseline,3,0.24,0.56,0.32,0.4,0.64
12409,static_baseline,4,0.24,0.56,0.32,0.4,0.64
12409,static_baseline,5,0.24,0.56,0.32,0.4,0.64
12409,static_baseline,6,0.24,0.56,0.32,0.4,0.64
12409,success_fed_thirdfactor,1,0.95,0.7715000000000091,0.32,0.4,0.64
12409,success_fed_thirdfactor,2,0.95,0.94,0.32,0.4,0.64
12409,success_fed_thirdfactor,3,0.95,0.94,0.32,0.4,0.64
12409,success_fed_thirdfactor,4,0.95,0.9375,0.32,0.4,0.64
12409,success_fed_thirdfactor,5,0.95,0.9250000000000009,0.32,0.4,0.64
12409,success_fed_thirdfactor,6,0.95,0.94,0.32,0.4,0.64
12409,ethicalsense_fed_thirdfactor,1,0.95,0.5,0.32,0.4,0.64
12409,ethicalsense_fed_thirdfactor,2,0.95,0.5040799999999996,0.32,0.4,0.64
12409,ethicalsense_fed_thirdfactor,3,0.95,0.50128,0.32,0.4,0.64
12409,ethicalsense_fed_thirdfactor,4,0.95,0.5,0.32,0.4,0.64
12409,ethicalsense_fed_thirdfactor,5,0.95,0.5,0.32,0.4,0.64
12409,ethicalsense_fed_thirdfactor,6,0.95,0.5,0.32,0.4,0.64
12409,ethicalsense_plus_idealgap,1,0.45099267626026274,0.6400138017159326,0.7869412146356094,0.8202470931720487,0.36573769947281193
12409,ethicalsense_plus_idealgap,2,0.46463492262697,0.6557783585084807,0.8190406178513908,0.8491365560662522,0.34647805754334304
12409,ethicalsense_plus_idealgap,3,0.4794327462987199,0.6908728071850697,0.8519454439033584,0.8787508995130231,0.3271178784296513
12409,ethicalsense_plus_idealgap,4,0.4843242711037673,0.7139872791122869,0.8634549140328815,0.8891094226295939,0.3202121963519374
12409,ethicalsense_plus_idealgap,5,0.4884149132301834,0.7778933098179014,0.8730799543303311,0.8977719588972988,0.31443717217346756
12409,ethicalsense_plus_idealgap,6,0.4952556069025888,0.9025586721379963,0.8891757041477557,0.9122581337329808,0.30477972228301287
12410,static_baseline,1,0.24,0.56,0.32,0.4,0.64
12410,static_baseline,2,0.24,0.56,0.32,0.4,0.64
12410,static_baseline,3,0.24,0.56,0.32,0.4,0.64
12410,static_baseline,4,0.24,0.56,0.32,0.4,0.64
12410,static_baseline,5,0.24,0.56,0.32,0.4,0.64
12410,static_baseline,6,0.24,0.56,0.32,0.4,0.64
12410,success_fed_thirdfactor,1,0.95,0.824500000000009,0.32,0.4,0.64
12410,success_fed_thirdfactor,2,0.95,0.935,0.32,0.4,0.64
12410,success_fed_thirdfactor,3,0.95,0.9375,0.32,0.4,0.64
12410,success_fed_thirdfactor,4,0.95,0.94,0.32,0.4,0.64
12410,success_fed_thirdfactor,5,0.95,0.94,0.32,0.4,0.64
12410,success_fed_thirdfactor,6,0.95,0.94,0.32,0.4,0.64
12410,ethicalsense_fed_thirdfactor,1,0.95,0.50128,0.32,0.4,0.64
12410,ethicalsense_fed_thirdfactor,2,0.95,0.50128,0.32,0.4,0.64
12410,ethicalsense_fed_thirdfactor,3,0.95,0.5,0.32,0.4,0.64
12410,ethicalsense_fed_thirdfactor,4,0.95,0.5,0.32,0.4,0.64
12410,ethicalsense_fed_thirdfactor,5,0.95,0.5013399999999999,0.32,0.4,0.64
12410,ethicalsense_fed_thirdfactor,6,0.95,0.5013399999999999,0.32,0.4,0.64
12410,ethicalsense_plus_idealgap,1,0.440258619562589,0.5430124561225785,0.744034936720492,0.7816314430484429,0.3950114010060005
12410,ethicalsense_plus_idealgap,2,0.4606184240826159,0.5059784644511555,0.7859325604350569,0.8193393043915513,0.3710743865143613
12410,ethicalsense_plus_idealgap,3,0.4724997765570365,0.5008158458347128,0.812122910159893,0.8429106191439036,0.3557133314283375
12410,ethicalsense_plus_idealgap,4,0.47386523679928444,0.5009460072733661,0.8153357577887116,0.8458021820098404,0.3537856228510463
12410,ethicalsense_plus_idealgap,5,0.47386523679928444,0.5017300363668308,0.8153357577887116,0.8458021820098404,0.3537856228510463
12410,ethicalsense_plus_idealgap,6,0.47386523679928444,0.5033450545502461,0.8153357577887116,0.8458021820098404,0.3537856228510463
12411,static_baseline,1,0.24,0.56,0.32,0.4,0.64
12411,static_baseline,2,0.24,0.56,0.32,0.4,0.64
12411,static_baseline,3,0.24,0.56,0.32,0.4,0.64
12411,static_baseline,4,0.24,0.56,0.32,0.4,0.64
12411,static_baseline,5,0.24,0.56,0.32,0.4,0.64
12411,static_baseline,6,0.24,0.56,0.32,0.4,0.64
12411,success_fed_thirdfactor,1,0.95,0.8560000000000092,0.32,0.4,0.64
12411,success_fed_thirdfactor,2,0.95,0.94,0.32,0.4,0.64
12411,success_fed_thirdfactor,3,0.95,0.9375,0.32,0.4,0.64
12411,success_fed_thirdfactor,4,0.95,0.94,0.32,0.4,0.64
12411,success_fed_thirdfactor,5,0.95,0.94,0.32,0.4,0.64
12411,success_fed_thirdfactor,6,0.95,0.9375,0.32,0.4,0.64
12411,ethicalsense_fed_thirdfactor,1,0.95,0.5,0.32,0.4,0.64
12411,ethicalsense_fed_thirdfactor,2,0.95,0.5026199999999998,0.32,0.4,0.64
12411,ethicalsense_fed_thirdfactor,3,0.95,0.50128,0.32,0.4,0.64
12411,ethicalsense_fed_thirdfactor,4,0.95,0.5,0.32,0.4,0.64
12411,ethicalsense_fed_thirdfactor,5,0.95,0.5,0.32,0.4,0.64
12411,ethicalsense_fed_thirdfactor,6,0.95,0.5013399999999999,0.32,0.4,0.64
12411,ethicalsense_plus_idealgap,1,0.44702131723866545,0.6019514866509825,0.7685319190423995,0.8036787271381597,0.378596261113687
12411,ethicalsense_plus_idealgap,2,0.462365029789587,0.6003888585443551,0.8026579254642029,0.8343921329177827,0.35851602658844267
12411,ethicalsense_plus_idealgap,3,0.47325481777273865,0.5987484551953062,0.828280956012795,0.8574528604115156,0.34314220825928743
12411,ethicalsense_plus_idealgap,4,0.47744746191528875,0.5944305325609183,0.8381460010540895,0.8663314009486807,0.3372231812345108
12411,ethicalsense_plus_idealgap,5,0.4781314921503734,0.6043822735682166,0.8397554839601711,0.8677799355641541,0.3362574914908618
12411,ethicalsense_plus_idealgap,6,0.4781314921503734,0.5790492855303361,0.8397554839601711,0.8677799355641541,0.3362574914908618
12412,static_baseline,1,0.24,0.56,0.32,0.4,0.64
12412,static_baseline,2,0.24,0.56,0.32,0.4,0.64
12412,static_baseline,3,0.24,0.56,0.32,0.4,0.64
12412,static_baseline,4,0.24,0.56,0.32,0.4,0.64
12412,static_baseline,5,0.24,0.56,0.32,0.4,0.64
12412,static_baseline,6,0.24,0.56,0.32,0.4,0.64
