model,is_tdc,final_holdout_recall,final_holdout_false_alarm,final_holdout_violation_rate,trap_capture_rate,capture_resistance,core_protection,trajectory_value,final_quality,pareto_frontier,dominated_by_tdc
simple_q060_a000,False,0.6451839879561725,0.20816666666666667,0.46233528019360537,0.33201786380230836,0.6679821361976916,0.5376647198063946,0.6002916203703674,0.6,False,True
simple_q068_a000,False,0.7046416344330475,0.17024999999999998,0.4207659667330532,0.27752467886052445,0.7224753211394755,0.5792340332669468,0.644949259259256,0.68,False,True
simple_q076_a000,False,0.7577220911183526,0.1309861111111111,0.3751786972057086,0.23022198265240326,0.7697780173475967,0.6248213027942914,0.6838799351851818,0.76,False,True
simple_q076_a008,False,0.7630939535013886,0.12756944444444446,0.3658886421724386,0.22860984284997807,0.7713901571500219,0.6341113578275615,0.6888550092592559,0.76,False,True
simple_q076_a016,False,0.7563449557227593,0.13275,0.379123900031394,0.17700793188196018,0.8229920681180398,0.620876099968606,0.682748435185182,0.76,False,False
simple_q084_a000,False,0.8089668420302653,0.08926388888888888,0.333149213387617,0.17560467539694857,0.8243953246030514,0.666850786612383,0.7235109907407374,0.84,False,False
simple_q084_a008,False,0.8076220304346342,0.09125,0.3318050086839074,0.176819152424236,0.8231808475757639,0.6681949913160926,0.7277108148148115,0.84,False,False
simple_q084_a016,False,0.8116779693418782,0.09119444444444444,0.32282177169410703,0.1397132456857722,0.8602867543142277,0.677178228305893,0.7241501388888859,0.84,False,False
simple_q090_a008,False,0.8382895174706779,0.06116666666666667,0.3082228935383238,0.1378882678941665,0.8621117321058336,0.6917771064616762,0.7505292592592562,0.9,True,False
simple_q090_a016,False,0.8371057389959428,0.060236111111111115,0.3017154460940132,0.1098673443258167,0.8901326556741833,0.6982845539059869,0.7515985555555528,0.9,True,False
tdc_evidence_validated,True,0.8398814767704129,0.05740277777777778,0.30062186731501817,0.19071939575606492,0.809280604243935,0.699378132684982,0.7123857129629598,0.9050195881513432,True,False
