seed,model,final_holdout_recall,final_holdout_false_alarm,final_holdout_violation_rate,trap_capture_rate,capture_resistance,core_protection,trajectory_value,final_quality,is_tdc
17200,simple_q060_a000,0.6949152542372882,0.19166666666666668,0.4745762711864407,0.31441543700340524,0.6855845629965948,0.5254237288135593,0.5899122222222196,0.6,False
17200,simple_q068_a000,0.7837837837837838,0.17833333333333334,0.32432432432432434,0.2853881278538813,0.7146118721461188,0.6756756756756757,0.6590499999999964,0.68,False
17200,simple_q076_a000,0.7301587301587301,0.13,0.3968253968253968,0.23468208092485549,0.7653179190751445,0.6031746031746033,0.7118033333333296,0.76,False
17200,simple_q084_a000,0.8656716417910447,0.085,0.23880597014925373,0.18742857142857142,0.8125714285714286,0.7611940298507462,0.7459933333333294,0.84,False
17200,simple_q076_a008,0.7397260273972602,0.11666666666666667,0.3287671232876712,0.2327113062568606,0.7672886937431393,0.6712328767123288,0.665858888888886,0.76,False
17200,simple_q076_a016,0.7164179104477612,0.14666666666666667,0.4626865671641791,0.17824074074074073,0.8217592592592593,0.5373134328358209,0.6788944444444409,0.76,False
17200,simple_q084_a008,0.7948717948717948,0.10166666666666667,0.3717948717948718,0.17132867132867133,0.8286713286713286,0.6282051282051282,0.7260822222222195,0.84,False
17200,simple_q084_a016,0.7534246575342466,0.105,0.410958904109589,0.1317016317016317,0.8682983682983683,0.589041095890411,0.7153444444444418,0.84,False
17200,simple_q090_a008,0.7777777777777778,0.058333333333333334,0.36507936507936506,0.14285714285714285,0.8571428571428572,0.6349206349206349,0.7512977777777752,0.9,False
17200,simple_q090_a016,0.8611111111111112,0.043333333333333335,0.2361111111111111,0.1103448275862069,0.8896551724137931,0.7638888888888888,0.7482888888888861,0.9,False
17200,tdc_evidence_validated,0.8070175438596491,0.07333333333333333,0.3684210526315789,0.20677966101694914,0.7932203389830509,0.631578947368421,0.7241688888888854,0.9031831716729972,True
17201,simple_q060_a000,0.5967741935483871,0.205,0.5483870967741935,0.3162100456621005,0.6837899543378996,0.4516129032258065,0.5881099999999972,0.6,False
17201,simple_q068_a000,0.6956521739130435,0.165,0.463768115942029,0.26869158878504673,0.7313084112149533,0.536231884057971,0.6652466666666634,0.68,False
17201,simple_q076_a000,0.855072463768116,0.11333333333333333,0.3188405797101449,0.2166105499438833,0.7833894500561167,0.6811594202898551,0.7019644444444406,0.76,False
17201,simple_q084_a000,0.7580645161290323,0.095,0.3064516129032258,0.1864801864801865,0.8135198135198135,0.6935483870967742,0.7089744444444415,0.84,False
17201,simple_q076_a008,0.7647058823529411,0.12166666666666667,0.3088235294117647,0.23344947735191637,0.7665505226480837,0.6911764705882353,0.7175677777777739,0.76,False
17201,simple_q076_a016,0.7761194029850746,0.12166666666666667,0.373134328358209,0.1772885283893395,0.8227114716106605,0.6268656716417911,0.6946677777777747,0.76,False
17201,simple_q084_a008,0.6956521739130435,0.1,0.4492753623188406,0.17312072892938496,0.826879271070615,0.5507246376811594,0.7243277777777744,0.84,False
17201,simple_q084_a016,0.7733333333333333,0.09166666666666666,0.38666666666666666,0.15083798882681565,0.8491620111731844,0.6133333333333333,0.7117499999999971,0.84,False
17201,simple_q090_a008,0.8823529411764706,0.075,0.3088235294117647,0.13568985176738882,0.8643101482326112,0.6911764705882353,0.7538877777777748,0.9,False
17201,simple_q090_a016,0.8554216867469879,0.05,0.2891566265060241,0.10586881472957423,0.8941311852704258,0.7108433734939759,0.7277033333333306,0.9,False
17201,tdc_evidence_validated,0.7058823529411765,0.06,0.39705882352941174,0.18556701030927836,0.8144329896907216,0.6029411764705883,0.7400555555555521,0.9044752893945822,True
17202,simple_q060_a000,0.5873015873015873,0.21333333333333335,0.6190476190476191,0.3321718931475029,0.6678281068524972,0.38095238095238093,0.6059722222222187,0.6,False
