seed,model,final_holdout_recall,final_holdout_violation_rate,trap_capture_rate,trajectory_value,final_Q,mean_Q
18600,tdc_full,0.8045977011494253,0.3448275862068966,0.1691762621789194,0.7062599999999967,0.9049755283557511,0.8180909704096212
18600,simple_success_learner,0.6091954022988506,0.5172413793103449,0.34189548272807796,0.6099424999999937,0.5686328704578566,0.613593855237254
18600,simple_calibrated_learner,0.7701149425287356,0.3793103448275862,0.19486271036315322,0.7139708333333297,0.7530435787636286,0.8259268095213316
18600,simple_two_signal_learner,0.7816091954022989,0.367816091954023,0.1612046058458813,0.7281016666666638,0.8164450729423327,0.8753087670423493
18601,tdc_full,0.8829787234042553,0.2765957446808511,0.1650902837489252,0.7026458333333301,0.9063844525395126,0.8370202709519052
18601,simple_success_learner,0.5851063829787234,0.5531914893617021,0.3473774720550301,0.597400833333328,0.5341754539420924,0.6209699251057731
18601,simple_calibrated_learner,0.776595744680851,0.3723404255319149,0.2055030094582975,0.6836591666666632,0.7841222621550702,0.8140874391038877
18601,simple_two_signal_learner,0.8829787234042553,0.2765957446808511,0.16251074806534824,0.7178408333333304,0.8889677730856412,0.8744036312905977
18602,tdc_full,0.782608695652174,0.33695652173913043,0.19764279238440616,0.6899291666666628,0.9076877230497473,0.8247810138658095
18602,simple_success_learner,0.5978260869565217,0.4891304347826087,0.35086128739800543,0.5803658333333275,0.5949095151361075,0.6168010660552563
18602,simple_calibrated_learner,0.7391304347826086,0.3804347826086957,0.20036264732547598,0.6960408333333299,0.8390493414164523,0.8373309519835443
18602,simple_two_signal_learner,0.7717391304347826,0.34782608695652173,0.17407071622846781,0.7138491666666638,0.884627431665668,0.88278824905795
18603,tdc_full,0.8495575221238938,0.336283185840708,0.17447916666666666,0.6800841666666633,0.908227236470326,0.8432405855946091
18603,simple_success_learner,0.6991150442477876,0.4778761061946903,0.3663194444444444,0.5317649999999949,0.5706172781239813,0.6149733223932704
