seed,model,is_tdc,final_holdout_recall,final_holdout_false_alarm,final_holdout_violation_rate,trap_capture_rate,capture_resistance,core_protection,gross_trajectory,avg_information_cost,net_trajectory_after_info_cost,final_quality
17800,simple_q076_a008,False,0.8020833333333334,0.104,0.375,0.20591133004926107,0.7940886699507389,0.625,0.678418666666662,0.01782000000000037,0.6605986666666616,0.76
17800,simple_q084_a008,False,0.7901234567901234,0.084,0.3333333333333333,0.17775571002979146,0.8222442899702085,0.6666666666666667,0.7014453333333291,0.03718000000000375,0.6642653333333254,0.84
17800,simple_q090_a008,False,0.8072289156626506,0.056,0.37349397590361444,0.14525691699604742,0.8547430830039526,0.6265060240963856,0.7311351111111081,0.05631999999999951,0.6748151111111086,0.9
17800,simple_q090_a016,False,0.863013698630137,0.064,0.3561643835616438,0.12313803376365443,0.8768619662363456,0.6438356164383562,0.7009519999999966,0.05631999999999951,0.6446319999999971,0.9
17800,tdc_evidence_validated,True,0.8297872340425532,0.050666666666666665,0.30851063829787234,0.16045845272206305,0.839541547277937,0.6914893617021276,0.7194959999999965,0.04137105907430766,0.6781249409256889,0.9081257810411009
17801,simple_q076_a008,False,0.72,0.13866666666666666,0.41,0.23917322834645668,0.7608267716535433,0.5900000000000001,0.634545777777773,0.01782000000000037,0.6167257777777726,0.76
17801,simple_q084_a008,False,0.8,0.084,0.34444444444444444,0.19552529182879377,0.8044747081712063,0.6555555555555556,0.7245084444444405,0.03718000000000375,0.6873284444444367,0.84
17801,simple_q090_a008,False,0.8709677419354839,0.05733333333333333,0.2903225806451613,0.14021421616358326,0.8597857838364167,0.7096774193548387,0.7439128888888865,0.05631999999999951,0.687592888888887,0.9
17801,simple_q090_a016,False,0.8764044943820225,0.056,0.24719101123595505,0.10803059273422562,0.8919694072657743,0.752808988764045,0.7403413333333307,0.05631999999999951,0.6840213333333313,0.9
17801,tdc_evidence_validated,True,0.8641975308641975,0.06266666666666666,0.2839506172839506,0.16407766990291262,0.8359223300970874,0.7160493827160495,0.70812533333333,0.04036809878690962,0.6677572345464204,0.9103945544616027
17802,simple_q076_a008,False,0.7075471698113207,0.14933333333333335,0.41509433962264153,0.2376425855513308,0.7623574144486692,0.5849056603773585,0.6672088888888839,0.01782000000000037,0.6493888888888835,0.76
17802,simple_q084_a008,False,0.8804347826086957,0.09333333333333334,0.29347826086956524,0.1601525262154433,0.8398474737845567,0.7065217391304348,0.7483599999999966,0.03718000000000375,0.7111799999999928,0.84
17802,simple_q090_a008,False,0.7938144329896907,0.068,0.3402061855670103,0.14341463414634145,0.8565853658536585,0.6597938144329897,0.7099413333333298,0.05631999999999951,0.6536213333333303,0.9
17802,simple_q090_a016,False,0.7422680412371134,0.07333333333333333,0.4020618556701031,0.1436893203883495,0.8563106796116505,0.5979381443298969,0.7162968888888859,0.05631999999999951,0.6599768888888864,0.9
17802,tdc_evidence_validated,True,0.8191489361702128,0.050666666666666665,0.32978723404255317,0.15072463768115943,0.8492753623188406,0.6702127659574468,0.6708871111111071,0.04150691078705242,0.6293802003240547,0.9068386758183961
17803,simple_q076_a008,False,0.6842105263157895,0.14,0.43157894736842106,0.24881291547958215,0.7511870845204178,0.5684210526315789,0.6299893333333291,0.01782000000000037,0.6121693333333287,0.76
17803,simple_q084_a008,False,0.851063829787234,0.07866666666666666,0.23404255319148937,0.18371212121212122,0.8162878787878788,0.7659574468085106,0.7050977777777737,0.03718000000000375,0.66791777777777,0.84
17803,simple_q090_a008,False,0.8571428571428571,0.06133333333333333,0.31868131868131866,0.15048543689320387,0.8495145631067962,0.6813186813186813,0.7342888888888859,0.05631999999999951,0.6779688888888864,0.9
17803,simple_q090_a016,False,0.8552631578947368,0.06,0.3026315789473684,0.11867704280155641,0.8813229571984436,0.6973684210526316,0.7067848888888855,0.05631999999999951,0.650464888888886,0.9
17803,tdc_evidence_validated,True,0.803030303030303,0.05333333333333334,0.3333333333333333,0.15860735009671179,0.8413926499032882,0.6666666666666667,0.6854817777777746,0.04216334358529915,0.6433184341924755,0.9079582981181349
17804,simple_q076_a008,False,0.7469879518072289,0.12133333333333333,0.42168674698795183,0.2275390625,0.7724609375,0.5783132530120482,0.6624666666666619,0.01782000000000037,0.6446466666666615,0.76
17804,simple_q084_a008,False,0.759493670886076,0.084,0.35443037974683544,0.18236472945891782,0.8176352705410822,0.6455696202531646,0.6949173333333294,0.03718000000000375,0.6577373333333256,0.84
17804,simple_q090_a008,False,0.8571428571428571,0.056,0.32142857142857145,0.14271938283510124,0.8572806171648988,0.6785714285714286,0.726812444444441,0.05631999999999951,0.6704924444444416,0.9
17804,simple_q090_a016,False,0.8117647058823529,0.06266666666666666,0.36470588235294116,0.12696850393700787,0.8730314960629921,0.6352941176470588,0.6913777777777745,0.05631999999999951,0.6350577777777751,0.9
17804,tdc_evidence_validated,True,0.8494623655913979,0.04666666666666667,0.34408602150537637,0.18298714144411474,0.8170128585558852,0.6559139784946236,0.6937946666666623,0.03702343175330867,0.6567712349133537,0.9068957581625108
17805,simple_q076_a008,False,0.7978723404255319,0.14266666666666666,0.30851063829787234,0.23596574690770694,0.764034253092293,0.6914893617021276,0.6593644444444401,0.01782000000000037,0.6415444444444397,0.76
17805,simple_q084_a008,False,0.8243243243243243,0.09333333333333334,0.35135135135135137,0.17618586640851888,0.8238141335914811,0.6486486486486487,0.72833333333333,0.03718000000000375,0.6911533333333262,0.84
17805,simple_q090_a008,False,0.845360824742268,0.056,0.31958762886597936,0.12297426120114395,0.877025738798856,0.6804123711340206,0.7182284444444411,0.05631999999999951,0.6619084444444416,0.9
17805,simple_q090_a016,False,0.8271604938271605,0.06,0.2962962962962963,0.11400966183574879,0.8859903381642512,0.7037037037037037,0.7251226666666638,0.05631999999999951,0.6688026666666643,0.9
17805,tdc_evidence_validated,True,0.8282828282828283,0.056,0.36363636363636365,0.17943743937924345,0.8205625606207565,0.6363636363636364,0.6468204444444409,0.03706092318320717,0.6097595212612337,0.9056324548766719
17806,simple_q076_a008,False,0.6593406593406593,0.128,0.4835164835164835,0.2213359920239282,0.7786640079760718,0.5164835164835164,0.6517991111111066,0.01782000000000037,0.6339791111111062,0.76
