seed,model,ethical_detection_accuracy,transformation_decision_accuracy,false_consolidation_rate,anti_core_capture_rate,overall_component_score
13200,full_loop,0.8416666666666667,0.8644444444444445,0.051666666666666666,0.08166666666666667,0.889361111111111
13200,ablate_ethicalsense,0.5872222222222222,0.8633333333333333,0.06333333333333334,0.07722222222222222,0.8107222222222222
13200,ablate_idealgap,0.8511111111111112,0.6072222222222222,0.07666666666666666,0.07222222222222222,0.8235277777777779
13200,ablate_shadow_validation,0.8438888888888889,0.8588888888888889,0.3761111111111111,0.07777777777777778,0.8083055555555556
13200,ablate_core_constraint,0.8355555555555556,0.8533333333333334,0.057777777777777775,0.32666666666666666,0.8342222222222222
13201,full_loop,0.8311111111111111,0.8522222222222222,0.06944444444444445,0.07611111111111112,0.8798055555555556
13201,ablate_ethicalsense,0.5777777777777777,0.8694444444444445,0.058333333333333334,0.06944444444444445,0.8122222222222222
13201,ablate_idealgap,0.8455555555555555,0.5916666666666667,0.07333333333333333,0.06833333333333333,0.8195833333333333
13201,ablate_shadow_validation,0.8344444444444444,0.8494444444444444,0.39666666666666667,0.08333333333333333,0.796861111111111
13201,ablate_core_constraint,0.845,0.8683333333333333,0.06166666666666667,0.35,0.8351666666666667
13202,full_loop,0.8216666666666667,0.8727777777777778,0.06666666666666667,0.07,0.8840277777777776
13202,ablate_ethicalsense,0.5766666666666667,0.8594444444444445,0.075,0.08,0.8031111111111112
13202,ablate_idealgap,0.855,0.5922222222222222,0.07222222222222222,0.07777777777777778,0.8209444444444445
13202,ablate_shadow_validation,0.8483333333333334,0.8588888888888889,0.37555555555555553,0.07722222222222222,0.8098888888888889
13202,ablate_core_constraint,0.8372222222222222,0.8605555555555555,0.075,0.34,0.8295555555555555
13203,full_loop,0.8288888888888889,0.85,0.0661111111111111,0.08555555555555555,0.8775277777777777
13203,ablate_ethicalsense,0.5977777777777777,0.8566666666666667,0.07,0.07611111111111112,0.8107777777777777
13203,ablate_idealgap,0.8411111111111111,0.5994444444444444,0.06444444444444444,0.08055555555555556,0.8199722222222222
13203,ablate_shadow_validation,0.8477777777777777,0.8688888888888889,0.39,0.07944444444444444,0.8081666666666666
13203,ablate_core_constraint,0.8366666666666667,0.8638888888888889,0.07055555555555555,0.3322222222222222,0.8328888888888889
13204,full_loop,0.8411111111111111,0.8511111111111112,0.06111111111111111,0.0811111111111111,0.8836111111111111
13204,ablate_ethicalsense,0.5638888888888889,0.8694444444444445,0.06111111111111111,0.075,0.8062500000000001
13204,ablate_idealgap,0.8383333333333334,0.5855555555555556,0.06277777777777778,0.08166666666666667,0.8158611111111111
13204,ablate_shadow_validation,0.8483333333333334,0.8588888888888889,0.39166666666666666,0.07444444444444444,0.8064166666666667
13204,ablate_core_constraint,0.8438888888888889,0.8644444444444445,0.058888888888888886,0.3388888888888889,0.8367777777777778
13205,full_loop,0.8377777777777777,0.8694444444444445,0.06388888888888888,0.08222222222222222,0.8862777777777778
13205,ablate_ethicalsense,0.6044444444444445,0.855,0.06722222222222222,0.07722222222222222,0.8128333333333334
13205,ablate_idealgap,0.8455555555555555,0.585,0.07444444444444444,0.08055555555555556,0.8151944444444444
13205,ablate_shadow_validation,0.8311111111111111,0.8611111111111112,0.375,0.06888888888888889,0.8070833333333334
13205,ablate_core_constraint,0.8377777777777777,0.8477777777777777,0.07277777777777777,0.3522222222222222,0.8246388888888888
13206,full_loop,0.8422222222222222,0.8544444444444445,0.06222222222222222,0.07777777777777778,0.8851666666666667
13206,ablate_ethicalsense,0.5683333333333334,0.8561111111111112,0.07611111111111112,0.07611111111111112,0.8002777777777779
13206,ablate_idealgap,0.8355555555555556,0.6211111111111111,0.06722222222222222,0.08611111111111111,0.8219166666666667
13206,ablate_shadow_validation,0.8361111111111111,0.8588888888888889,0.365,0.07666666666666666,0.8089722222222223
13206,ablate_core_constraint,0.8333333333333334,0.865,0.075,0.3622222222222222,0.8250555555555555
13207,full_loop,0.8338888888888889,0.8594444444444445,0.07055555555555555,0.07388888888888889,0.882611111111111
13207,ablate_ethicalsense,0.5772222222222222,0.8638888888888889,0.06944444444444445,0.06444444444444444,0.8088888888888889
13207,ablate_idealgap,0.8583333333333333,0.6066666666666667,0.07333333333333333,0.08666666666666667,0.8234999999999999
13207,ablate_shadow_validation,0.8422222222222222,0.8538888888888889,0.38166666666666665,0.07833333333333334,0.8050555555555555
13207,ablate_core_constraint,0.8394444444444444,0.8572222222222222,0.06777777777777778,0.33666666666666667,0.8318611111111112
13208,full_loop,0.8466666666666667,0.855,0.07111111111111111,0.08277777777777778,0.8834166666666666
13208,ablate_ethicalsense,0.5761111111111111,0.8511111111111112,0.06444444444444444,0.09166666666666666,0.8011666666666667
13208,ablate_idealgap,0.8344444444444444,0.6122222222222222,0.06555555555555556,0.07777777777777778,0.8214444444444444
13208,ablate_shadow_validation,0.8405555555555555,0.8666666666666667,0.36833333333333335,0.07388888888888889,0.8119722222222221
13208,ablate_core_constraint,0.8427777777777777,0.8588888888888889,0.07166666666666667,0.3616666666666667,0.8273055555555555
13209,full_loop,0.8522222222222222,0.8722222222222222,0.07166666666666667,0.07777777777777778,0.89025
13209,ablate_ethicalsense,0.5794444444444444,0.8366666666666667,0.07777777777777778,0.07888888888888888,0.7977777777777779
13209,ablate_idealgap,0.8427777777777777,0.59,0.06444444444444444,0.07944444444444444,0.8183333333333334
13209,ablate_shadow_validation,0.8477777777777777,0.8561111111111112,0.37722222222222224,0.07388888888888889,0.8092777777777778
13209,ablate_core_constraint,0.8338888888888889,0.8533333333333334,0.07555555555555556,0.3516666666666667,0.8242777777777778
13210,full_loop,0.8533333333333334,0.8711111111111111,0.06777777777777778,0.06944444444444445,0.8929444444444444
