seed,model,irreversible_core_violation_rate,false_alarm_rate,review_trigger_rate,unnecessary_abstention_rate,review_steps_per_episode,decision_accuracy,long_term_trajectory_value,net_vigilance_value,integrated_score
14400,no_emergency,0.16294227188081936,0.0,0.0,0.0,0.0,0.7668333333333334,0.4403333333333342,0.6415270018621974,0.8473394320297952
14400,conservative_review,0.16358595194085027,0.0705,0.15116666666666667,0.0003333333333333333,0.659,0.8297765921973992,0.5468261666666695,0.4619975723967961,0.8599151188406741
14400,balanced_review,0.13944603629417382,0.1155,0.20983333333333334,0.0018333333333333333,0.9301666666666667,0.8727667390215395,0.6338846666666725,0.4180653868194842,0.8762265292995854
14400,hypersensitive_review,0.09767441860465116,0.29483333333333334,0.42916666666666664,0.004166666666666667,1.88,0.9310460251046025,0.7185500000000112,0.14258294573643415,0.8744031195468854
14401,no_emergency,0.16380952380952382,0.0,0.0,0.0,0.0,0.7555,0.4192666666666672,0.6396190476190475,0.842142619047619
14401,conservative_review,0.13542600896860987,0.077,0.16733333333333333,0.0015,0.746,0.8357536304456685,0.5679000833333372,0.5032427802690582,0.8689120931415484
14401,balanced_review,0.14420358152686144,0.12333333333333334,0.21566666666666667,0.0028333333333333335,0.954,0.8738091258565936,0.6279107500000066,0.3927721206409049,0.8732351486252632
14401,hypersensitive_review,0.08166969147005444,0.29633333333333334,0.431,0.0031666666666666666,1.8961666666666666,0.9234241765591038,0.7118518333333447,0.174753345432547,0.8754153842668851
14402,no_emergency,0.14663023679417123,0.0,0.0,0.0,0.0,0.7653333333333333,0.44480000000000064,0.6774134790528232,0.8513024408014572
14402,conservative_review,0.14579256360078277,0.08516666666666667,0.167,0.0006666666666666666,0.7138333333333333,0.8367244829886591,0.5693217083333371,0.4736963600782779,0.8651683321214023
14402,balanced_review,0.16619981325863678,0.12283333333333334,0.21533333333333332,0.0015,0.934,0.8726422967785011,0.6134345000000061,0.34881374416433236,0.866533656552225
14402,hypersensitive_review,0.09586466165413533,0.30716666666666664,0.44,0.004,1.9516666666666667,0.9303882195448461,0.7132543750000149,0.12086441102756892,0.8718110452415878
14403,no_emergency,0.12878133102852204,0.0,0.0,0.0,0.0,0.7585,0.43753333333333333,0.7166810717372515,0.8531696672428694
14403,conservative_review,0.1503957783641161,0.0825,0.1725,0.0011666666666666668,0.7593333333333333,0.8288002669781411,0.5421286250000034,0.46134262093227796,0.8600841157107468
14403,balanced_review,0.1324376199616123,0.12816666666666668,0.2215,0.0016666666666666668,0.97,0.8739565943238731,0.6374097916666736,0.4111372360844529,0.8760833076817593
14403,hypersensitive_review,0.11344922232387923,0.3011666666666667,0.43566666666666665,0.0033333333333333335,1.9208333333333334,0.9239130434782609,0.6930197916666779,0.094945044220799,0.8652214251708427
14404,no_emergency,0.143796992481203,0.0,0.0,0.0,0.0,0.7675,0.45340000000000086,0.6836466165413533,0.8533057518796993
14404,conservative_review,0.12985865724381626,0.07933333333333334,0.1735,0.0006666666666666666,0.7668333333333334,0.8382254836557705,0.5754782083333372,0.5105576207302708,0.871230513077444
14404,balanced_review,0.14784205693296604,0.11733333333333333,0.214,0.002,0.9358333333333333,0.8749164996659987,0.6285418750000055,0.39618080808080797,0.8739884096248918
14404,hypersensitive_review,0.0979631425800194,0.29933333333333334,0.4266666666666667,0.0028333333333333335,1.8815,0.9292996824335618,0.7155515833333466,0.13680108632395732,0.8728154878350647
14405,no_emergency,0.1543921916592724,0.0,0.0,0.0,0.0,0.7718333333333334,0.45086666666666747,0.6603371783496007,0.8517669520851818
14405,conservative_review,0.15706806282722513,0.07733333333333334,0.1655,0.001,0.728,0.8203203203203203,0.5231483750000034,0.45782359511343806,0.8554985418476234
14405,balanced_review,0.15743440233236153,0.1195,0.20633333333333334,0.001,0.897,0.8755422088755422,0.6314910000000067,0.37770431486880457,0.8716658870795727
14405,hypersensitive_review,0.10299295774647887,0.296,0.4345,0.004833333333333334,1.9105,0.9289901189080556,0.7052250416666792,0.12492215962441319,0.8711573410274646
