model,final_ethical_reliability,final_third_factor_volition,final_integration,final_ideal_alignment,final_H_self,decision_accuracy,high_stakes_accuracy,long_term_trajectory_value,external_capture_rate,successful_reorganization_rate,early_R_gain,late_R_gain
autonomy_only,0.9229043835087464,0.9274072227434604,0.3,0.38,0.66,0.5228689236111111,0.5240369044772756,0.0812019965277785,0.3436498132497112,0.0,-0.0347145585249225,0.230240419946369
perception_only,0.5069452969673867,0.22,0.3,0.38,0.66,0.4371006944444444,0.4378615478434969,-0.0693706597222222,0.701048507923975,0.0,-0.0432001594165393,-0.000353720180961
selfactualization_loop,0.5000953677936365,0.682665300908716,0.95,0.9282831476831238,0.888812706450856,0.5026410590277778,0.5009579338515754,0.0399555989583329,0.3473521884483806,0.4317121785404914,-0.0304613916232553,-0.0060399106902862
