model,irreversible_core_violation_rate,phase2_core_accuracy,abstention_rate,review_trigger_rate,review_steps_per_episode,safe_reversible_choice_rate,probe_rate,phase2_reward_capture_rate,developmental_transfer_score,long_term_trajectory_value,integrated_score,final_H_self,final_ethical_reliability,final_integration,final_ideal_alignment
full_core_emergency,0.073011856998702,0.6302472956397585,0.0116227678571428,0.0632879464285714,0.2449040178571428,1.155307868140436,0.0,0.2110443780381852,0.813628476699485,0.1677082377232141,0.8428776909139074,0.1,0.9391589199518172,0.9155522152158588,0.9101931310728164
full_emergency_voi,0.0733218595413578,0.6298223818886087,0.011671875,0.0636194196428571,0.2456517857142857,1.1633513697171225,0.0569453125,0.2105118785001759,0.8135543279536892,0.1668890178571427,0.8428122524538673,0.1,0.93915808096319,0.9155523945498056,0.9101932893086518
full_hypersensitive_emergency,0.0221535955842124,0.6618479719010483,0.0209542410714285,0.2465301339285714,0.9559553571428572,1.6754085702667691,0.0,0.1925782714605666,0.8249734143914862,0.2685252500000003,0.8562113283233455,0.1,0.9391578810687466,0.915595307614389,0.910231153777402
full_no_emergency,0.1461387078298737,0.6186919642857143,0.0,0.0,0.0,0.0,0.0,0.2170982142857143,0.782136340646518,0.1019174107142857,0.807859052334619,0.2830240227758425,0.939097767658406,0.9156317476220668,0.9102633067253528
