model,trap_capture_rate,final_holdout_recall,final_holdout_false_alarm,final_holdout_violation_rate,trajectory_value,integrated_score,final_quality
simple_anticapture,0.2059083124979829,0.7849741918731833,0.115125,0.3469999856618256,0.7034610462962931,0.7850979989072637,0.79
simple_frozen_core,0.1574823959260663,0.7377673407492442,0.0870625,0.3897580390626375,0.689487277777775,0.7762291781379791,0.8
simple_time_schedule,0.2396424847584183,0.8369811270475525,0.062,0.3083622592945093,0.6794838935185149,0.8207536608289917,0.9200000000000002
tdc_evidence_validated,0.1545032690533633,0.8461507704671526,0.0549097222222222,0.3022922831494402,0.7252923009259236,0.8409594611572475,0.9104420007321838
