model,stage,decision_accuracy,decision_accuracy_std,high_stakes_accuracy,long_term_trajectory_value,ethical_sense_reliability_realized,ethical_sensitivity,joint_maturity_product,joint_interaction,deep_path_activation_rate
linear_internal_map,1,0.6080255681818182,0.0136485792934889,0.6060931246483774,0.252840909090909,0.6029092837362828,0.6656596971240153,0.2417789937050417,0.0484263584333467,0.0
linear_internal_map,2,0.6070241477272728,0.0142506428103518,0.606257908057061,0.2528480113636364,0.6126377570515847,0.6901507073521365,0.2630429916553564,0.0624145930621328,0.0
linear_internal_map,3,0.6079758522727273,0.0142453904521606,0.6081133045774308,0.2547372159090909,0.6367136495516819,0.7282044948028255,0.2987553663728583,0.0935297619920434,0.0
linear_internal_map,4,0.6363991477272727,0.0157700344033127,0.6773648341742902,0.3304083806818161,0.6991941949563012,0.7585977855498134,0.4325152271385314,0.1971927495143872,0.3121448863636363
linear_internal_map,5,0.7402627840909091,0.015233439746814,0.7402275405487563,0.4691274857954499,0.7767081984497878,0.7894627559165179,0.6276506510998229,0.4107425581190459,0.7414559659090909
multiplicative_threshold,1,0.6090198863636364,0.0141009428681307,0.6107224412908028,0.25890625,0.565382041238764,0.6656596971240153,0.2417789937050417,0.0484263584333467,0.0
multiplicative_threshold,2,0.6072088068181818,0.0147388642637723,0.6091595518003986,0.2568821022727273,0.5723862889951296,0.6901507073521365,0.2630429916553564,0.0624145930621328,0.0
multiplicative_threshold,3,0.6063423295454545,0.0159779020481075,0.6047178093723387,0.2510866477272727,0.5935704663279772,0.7282044948028255,0.2987553663728583,0.0935297619920434,0.0
multiplicative_threshold,4,0.6269673295454545,0.0155581090806964,0.6528092469745376,0.2970646306818163,0.6634455835107866,0.7585977855498134,0.4325152271385314,0.1971927495143872,0.3148153409090909
multiplicative_threshold,5,0.7450639204545455,0.0188856896362398,0.7450448622598626,0.4777990056818141,0.78413371789621,0.7894627559165179,0.6276506510998229,0.4107425581190459,0.7407528409090909
static_reliability,1,0.6089417613636363,0.0144172848690965,0.6088109330427236,0.255703125,0.619931991671497,0.6656596971240153,0.2417789937050417,0.0484263584333467,0.0
static_reliability,2,0.6093181818181819,0.014824629379296,0.607844949188217,0.2580397727272727,0.6193197250280459,0.6901507073521365,0.2630429916553564,0.0624145930621328,0.0
static_reliability,3,0.6059303977272728,0.0149304649953559,0.6054699852276928,0.2506747159090909,0.6186421524592793,0.7282044948028255,0.2987553663728583,0.0935297619920434,0.0
static_reliability,4,0.6141832386363636,0.0175054360729234,0.6217486223215314,0.2594374999999984,0.6198803456145267,0.7585977855498134,0.4325152271385314,0.1971927495143872,0.3119602272727272
static_reliability,5,0.6252840909090909,0.0139842291411092,0.6226254715303174,0.2474076704545418,0.6201036788169861,0.7894627559165179,0.6276506510998229,0.4107425581190459,0.7382102272727272
