model,ethical_detection_accuracy,transformation_decision_accuracy,false_consolidation_rate,anti_core_capture_rate,overall_component_score
ablate_core_constraint,0.839837962962963,0.8595679012345678,0.0685802469135802,0.3434837962962963,0.8310015432098765
ablate_ethicalsense,0.5802430555555556,0.8603163580246913,0.068233024691358,0.0760956790123456,0.8068746141975309
ablate_idealgap,0.8399421296296297,0.5994405864197531,0.0681558641975308,0.0755169753086419,0.8197004243827161
ablate_shadow_validation,0.8400810185185185,0.860042438271605,0.3787268518518518,0.0762307098765432,0.8071070601851852
full_loop,0.839483024691358,0.8604475308641976,0.0677893518518518,0.0764699074074074,0.8847154706790124
