model,final_holdout_recall,final_holdout_violation_rate,trap_capture_rate,trajectory_value,anticapture_activation_rate,final_Q,composite
FULL,0.902648632049042,0.2693594077221612,0.0965630231356839,0.7100982977777764,0.5315822222222222,0.94,0.7995826815014796
PTVM,0.9442469521230248,0.2350633813540014,0.1394055868891788,0.7303288888888875,0.0,0.94,0.8426929006983488
PTVM_conditional_A,0.9442469521230248,0.2350633813540014,0.1394055868891788,0.7303288888888875,0.3698877777777778,0.94,0.8241985118094599
