model,phase1_external_reward,phase2_external_reward,phase1_core_accuracy,phase2_core_accuracy,final_third_factor_volition,final_ethical_reliability,final_integration,final_ideal_alignment,final_H_self,phase2_reward_capture_rate,developmental_transfer_score,long_term_trajectory_value
ethicalsense_plus_idealgap,0.54830078125,0.4705989583333333,0.5767545572916667,0.6262369791666667,0.4848315406357574,0.9387984943778614,0.8928329433916061,0.9155496490524456,0.3041494156045938,0.2327962239583333,0.7764230599549102,0.2040894205729221
hybrid_reward_and_ethics,0.5328841145833333,0.4827897135416666,0.5528938802083333,0.5670182291666667,0.95,0.7346921661746725,0.8661741649347541,0.8915567484412786,0.3122955010391475,0.267548828125,0.7426302808788984,0.1211315429687541
static_baseline,0.4712955729166667,0.5093782552083334,0.4551302083333333,0.4570279947916666,0.24,0.56,0.32,0.4,0.64,0.3362076822916666,0.4214876302083333,-0.0687055664062506
success_fed_thirdfactor,0.96447265625,1.0,0.7975,0.3795052083333333,0.95,0.7066406250000428,0.32,0.4,0.64,0.6204947916666667,0.3698020833333333,0.1765919108073111
