seed,condition,A_TF,I,C_T,R_C,H_self,joint_maturity_product,joint_interaction,target_reliability,ethical_sensitivity,decision_accuracy,high_stakes_accuracy,long_term_trajectory_value,ethical_sense_reliability_realized,deep_path_activation_rate
11207,ablate_low_Hself,0.82,0.86,0.79,0.81,0.65,0.6913508348669833,0.5793519996185321,0.8677709901158405,0.8788250000000001,0.8314285714285714,0.835725677830941,0.6429642857142969,0.8582541054451167,0.8264285714285714
11207,single_superpower_A_TF,0.95,0.42,0.45,0.43,0.58,0.5037100675367299,0.3583897130523833,0.7411914916386123,0.82355,0.7164285714285714,0.7085987261146497,0.41625000000000006,0.743778801843318,0.775
11208,full_D5,0.82,0.86,0.79,0.81,0.22,0.811528550296579,0.6800609251485332,0.9317007276157682,0.8078750000000001,0.86,0.8525121555915721,0.6923214285714417,0.9327014218009478,0.7535714285714286
11208,ablate_A_TF,0.35,0.86,0.79,0.81,0.22,0.6844703526060364,0.3966505693351981,0.7897979025898697,0.7174,0.7421428571428571,0.7312977099236642,0.45775000000000154,0.7995666305525461,0.6592857142857143
11208,ablate_I,0.82,0.35,0.79,0.81,0.22,0.6779813102181979,0.41255162726777345,0.7953083192917405,0.8078750000000001,0.7492857142857143,0.7507552870090635,0.4747857142857182,0.7918968692449355,0.7757142857142857
11208,ablate_C_T,0.82,0.86,0.35,0.81,0.22,0.6895916496278887,0.5778778023881708,0.8668351739360516,0.759475,0.7921428571428571,0.770516717325228,0.5404642857142916,0.8639523336643495,0.7192857142857143
11208,ablate_R_C,0.82,0.86,0.79,0.35,0.22,0.6861521182245927,0.5749954750722087,0.8650054808107543,0.769925,0.8092857142857143,0.8019639934533551,0.6005000000000104,0.8667992047713717,0.7185714285714285
11208,ablate_low_Hself,0.82,0.86,0.79,0.81,0.65,0.6913508348669833,0.5793519996185321,0.8677709901158405,0.8788250000000001,0.8321428571428572,0.8314238952536824,0.6437500000000117,0.8701298701298701,0.825
11208,single_superpower_A_TF,0.95,0.42,0.45,0.43,0.58,0.5037100675367299,0.3583897130523833,0.7411914916386123,0.82355,0.735,0.740506329113924,0.46146428571428777,0.7525022747952684,0.785
11209,full_D5,0.82,0.86,0.79,0.81,0.22,0.811528550296579,0.6800609251485332,0.9317007276157682,0.8078750000000001,0.8428571428571429,0.8504823151125402,0.6722500000000124,0.9214758751182592,0.755
11209,ablate_A_TF,0.35,0.86,0.79,0.81,0.22,0.6844703526060364,0.3966505693351981,0.7897979025898697,0.7174,0.7407142857142858,0.760586319218241,0.4979285714285759,0.7973856209150327,0.6557142857142857
11209,ablate_I,0.82,0.35,0.79,0.81,0.22,0.6779813102181979,0.41255162726777345,0.7953083192917405,0.8078750000000001,0.77,0.7855946398659966,0.5491785714285785,0.8137347130761995,0.7592857142857142
11209,ablate_C_T,0.82,0.86,0.35,0.81,0.22,0.6895916496278887,0.5778778023881708,0.8668351739360516,0.759475,0.8042857142857143,0.7953125,0.5811785714285803,0.8649453823237339,0.7192857142857143
11209,ablate_R_C,0.82,0.86,0.79,0.35,0.22,0.6861521182245927,0.5749954750722087,0.8650054808107543,0.769925,0.7971428571428572,0.8336106489184693,0.6188214285714397,0.8700906344410876,0.7092857142857143
11209,ablate_low_Hself,0.82,0.86,0.79,0.81,0.65,0.6913508348669833,0.5793519996185321,0.8677709901158405,0.8788250000000001,0.8357142857142857,0.847571189279732,0.6642857142857277,0.8836206896551724,0.8285714285714286
11209,single_superpower_A_TF,0.95,0.42,0.45,0.43,0.58,0.5037100675367299,0.3583897130523833,0.7411914916386123,0.82355,0.7207142857142858,0.7350157728706624,0.44182142857142803,0.7419651056014692,0.7778571428571428
11210,full_D5,0.82,0.86,0.79,0.81,0.22,0.811528550296579,0.6800609251485332,0.9317007276157682,0.8078750000000001,0.8564285714285714,0.8429237947122862,0.673678571428584,0.9220055710306406,0.7692857142857142
11210,ablate_A_TF,0.35,0.86,0.79,0.81,0.22,0.6844703526060364,0.3966505693351981,0.7897979025898697,0.7174,0.7571428571428571,0.7786499215070644,0.52221428571429,0.8123667377398721,0.67
11210,ablate_I,0.82,0.35,0.79,0.81,0.22,0.6779813102181979,0.41255162726777345,0.7953083192917405,0.8078750000000001,0.7821428571428571,0.7915309446254072,0.5609285714285803,0.8147113594040968,0.7671428571428571
