seed,condition,A_TF,I,C_T,R_C,H_self,joint_maturity_product,joint_interaction,target_reliability,ethical_sensitivity,decision_accuracy,high_stakes_accuracy,long_term_trajectory_value,ethical_sense_reliability_realized,deep_path_activation_rate
11220,single_superpower_A_TF,0.95,0.42,0.45,0.43,0.58,0.5037100675367299,0.3583897130523833,0.7411914916386123,0.82355,0.7342857142857143,0.7408026755852842,0.47439285714285995,0.7493036211699164,0.7692857142857142
11221,full_D5,0.82,0.86,0.79,0.81,0.22,0.811528550296579,0.6800609251485332,0.9317007276157682,0.8078750000000001,0.86,0.8620689655172413,0.6969285714285841,0.9311663479923518,0.7471428571428571
11221,ablate_A_TF,0.35,0.86,0.79,0.81,0.22,0.6844703526060364,0.3966505693351981,0.7897979025898697,0.7174,0.735,0.7365079365079366,0.4648928571428582,0.781148429035753,0.6592857142857143
11221,ablate_I,0.82,0.35,0.79,0.81,0.22,0.6779813102181979,0.41255162726777345,0.7953083192917405,0.8078750000000001,0.7521428571428571,0.75,0.47517857142857495,0.7916279069767442,0.7678571428571429
11221,ablate_C_T,0.82,0.86,0.35,0.81,0.22,0.6895916496278887,0.5778778023881708,0.8668351739360516,0.759475,0.8107142857142857,0.8165584415584416,0.6138571428571526,0.8820564516129032,0.7085714285714285
11221,ablate_R_C,0.82,0.86,0.79,0.35,0.22,0.6861521182245927,0.5749954750722087,0.8650054808107543,0.769925,0.8114285714285714,0.8259541984732824,0.6120357142857248,0.8826979472140762,0.7307142857142858
11221,ablate_low_Hself,0.82,0.86,0.79,0.81,0.65,0.6913508348669833,0.5793519996185321,0.8677709901158405,0.8788250000000001,0.8228571428571428,0.8163265306122449,0.6154285714285834,0.8617021276595744,0.8057142857142857
11221,single_superpower_A_TF,0.95,0.42,0.45,0.43,0.58,0.5037100675367299,0.3583897130523833,0.7411914916386123,0.82355,0.7342857142857143,0.7199367088607594,0.441892857142857,0.7678410117434508,0.7907142857142857
11222,full_D5,0.82,0.86,0.79,0.81,0.22,0.811528550296579,0.6800609251485332,0.9317007276157682,0.8078750000000001,0.8742857142857143,0.8691588785046729,0.7160357142857288,0.9337068160597572,0.765
11222,ablate_A_TF,0.35,0.86,0.79,0.81,0.22,0.6844703526060364,0.3966505693351981,0.7897979025898697,0.7174,0.7492857142857143,0.7402799377916018,0.476857142857146,0.7985232067510548,0.6771428571428572
