seed,model,irreversible_core_violation_rate,critical_scenario_accuracy,review_steps_per_critical_event,safe_reversible_choice_rate,long_term_trajectory_value,final_H_self
14000,no_emergency_loop,0.08608058608058608,0.7847985347985348,0.0,0.0,0.30583333333333335,0.58
14000,brute_critical_rumination,0.07727690892364306,0.7635694572217111,8.0,0.0,0.31983666666666666,0.95
14000,structured_critical_review,0.006679389312977099,0.9885496183206107,3.6956106870229006,0.8459915611814346,0.46781416666666664,0.1
14001,no_emergency_loop,0.0856610800744879,0.7700186219739292,0.0,0.0,0.33166666666666667,0.58
14001,brute_critical_rumination,0.085824493731919,0.7675988428158148,8.0,0.0,0.3153783333333333,0.95
14001,structured_critical_review,0.0018587360594795538,0.9934944237918215,3.759293680297398,0.8500986193293886,0.4678791666666667,0.1
14002,no_emergency_loop,0.08787010506208214,0.7535816618911175,0.0,0.0,0.31125,0.58
14002,brute_critical_rumination,0.07234886025768088,0.777998017839445,8.0,0.0,0.32723166666666664,0.95
14002,structured_critical_review,0.0018656716417910447,0.9944029850746269,3.6968283582089554,0.825,0.4491975,0.1
14003,no_emergency_loop,0.09896324222431668,0.7445805843543827,0.0,0.0,0.2939583333333333,0.58
14003,brute_critical_rumination,0.086,0.764,8.0,0.0,0.32208333333333333,0.95
14003,structured_critical_review,0.0028957528957528956,0.9932432432432432,3.7548262548262548,0.8265524625267666,0.4678,0.1
14004,no_emergency_loop,0.08936970837253057,0.7582314205079962,0.0,0.0,0.326875,0.58
14004,brute_critical_rumination,0.0847926267281106,0.7649769585253456,8.0,0.0,0.2952666666666667,0.95
14004,structured_critical_review,0.003766478342749529,0.9896421845574388,3.652542372881356,0.8436293436293436,0.4588508333333333,0.1
14005,no_emergency_loop,0.08891013384321224,0.7609942638623327,0.0,0.0,0.3072916666666667,0.58
14005,brute_critical_rumination,0.07989464442493416,0.7611940298507462,8.0,0.0,0.31553166666666665,0.95
14005,structured_critical_review,0.005660377358490566,0.9905660377358491,3.810377358490566,0.8721649484536083,0.4849675,0.1
14006,no_emergency_loop,0.07758620689655173,0.7816091954022989,0.0,0.0,0.3335416666666667,0.58
14006,brute_critical_rumination,0.08139534883720931,0.7692307692307693,8.0,0.0,0.31942166666666666,0.95
14006,structured_critical_review,0.0054694621695533276,0.9890610756608933,3.7784867821330903,0.8274428274428275,0.4640458333333333,0.1
14007,no_emergency_loop,0.07317073170731707,0.7833020637898687,0.0,0.0,0.3258333333333333,0.58
14007,brute_critical_rumination,0.09844054580896686,0.753411306042885,8.0,0.0,0.31211833333333333,0.95
14007,structured_critical_review,0.005628517823639775,0.9896810506566605,3.7392120075046904,0.8428571428571429,0.46292833333333333,0.1
