seed,model,final_holdout_recall,final_holdout_violation_rate,trap_capture_rate,trajectory_value,mean_Q,final_Q
18400,tdc_full,0.863013698630137,0.2602739726027397,0.20232333010648595,0.708249777777774,0.8198673483312656,0.9061372406343491
18400,simple_matched_Q,0.863013698630137,0.2602739726027397,0.20232333010648595,0.708249777777774,0.8198673483312656,0.9061372406343491
18400,simple_matched_Q_anticapture,0.863013698630137,0.2602739726027397,0.20232333010648595,0.708249777777774,0.8198673483312656,0.9061372406343491
18400,simple_static_q084,0.821917808219178,0.3013698630136986,0.18393030009680542,0.7181502222222185,0.84,0.84
18401,tdc_full,0.8817204301075269,0.26881720430107525,0.17578125,0.7164755555555522,0.82163434415905,0.9071274916045522
18401,simple_matched_Q,0.8817204301075269,0.26881720430107525,0.17578125,0.7164755555555522,0.82163434415905,0.9071274916045522
18401,simple_matched_Q_anticapture,0.8817204301075269,0.26881720430107525,0.17578125,0.7164755555555522,0.82163434415905,0.9071274916045522
18401,simple_static_q084,0.8279569892473119,0.3225806451612903,0.1611328125,0.7211439999999969,0.84,0.84
18402,tdc_full,0.8255813953488372,0.4418604651162791,0.19961977186311788,0.6803493333333294,0.8266072234163029,0.9015569359297833
18402,simple_matched_Q,0.8255813953488372,0.4418604651162791,0.19961977186311788,0.6803493333333294,0.8266072234163029,0.9015569359297833
18402,simple_matched_Q_anticapture,0.8255813953488372,0.4418604651162791,0.19961977186311788,0.6803493333333294,0.8266072234163029,0.9015569359297833
18402,simple_static_q084,0.8023255813953488,0.46511627906976744,0.19486692015209126,0.6893386666666624,0.84,0.84
18403,tdc_full,0.7922077922077922,0.35064935064935066,0.1916583912611718,0.6949191111111075,0.8221760322126173,0.9059904014444087
18403,simple_matched_Q,0.7922077922077922,0.35064935064935066,0.1916583912611718,0.6949191111111075,0.8221760322126173,0.9059904014444087
18403,simple_matched_Q_anticapture,0.7922077922077922,0.35064935064935066,0.1916583912611718,0.6949191111111075,0.8221760322126173,0.9059904014444087
18403,simple_static_q084,0.7402597402597403,0.38961038961038963,0.1807348560079444,0.7036755555555517,0.84,0.84
18404,tdc_full,0.9240506329113924,0.17721518987341772,0.2013752455795678,0.713078222222219,0.8184330372818831,0.9079633849196238
18404,simple_matched_Q,0.9240506329113924,0.17721518987341772,0.2013752455795678,0.713078222222219,0.8184330372818831,0.9079633849196238
18404,simple_matched_Q_anticapture,0.9240506329113924,0.17721518987341772,0.2013752455795678,0.713078222222219,0.8184330372818831,0.9079633849196238
18404,simple_static_q084,0.8227848101265823,0.26582278481012656,0.1944990176817289,0.7429182222222189,0.84,0.84
18405,tdc_full,0.8804347826086957,0.2826086956521739,0.18586640851887706,0.6886817777777737,0.8297326793897158,0.9068010616619469
18405,simple_matched_Q,0.8804347826086957,0.2826086956521739,0.18586640851887706,0.6886817777777737,0.8297326793897158,0.9068010616619469
18405,simple_matched_Q_anticapture,0.8804347826086957,0.2826086956521739,0.18586640851887706,0.6886817777777737,0.8297326793897158,0.9068010616619469
18405,simple_static_q084,0.8478260869565217,0.30434782608695654,0.1819941916747338,0.7019839999999963,0.84,0.84
18406,tdc_full,0.8333333333333334,0.2777777777777778,0.15688161693936478,0.6907199999999963,0.8322836122460292,0.907287350787784
18406,simple_matched_Q,0.8333333333333334,0.2777777777777778,0.15688161693936478,0.6907199999999963,0.8322836122460292,0.907287350787784
18406,simple_matched_Q_anticapture,0.8333333333333334,0.2777777777777778,0.15688161693936478,0.6907199999999963,0.8322836122460292,0.907287350787784
18406,simple_static_q084,0.8222222222222222,0.28888888888888886,0.15591915303176132,0.7109955555555515,0.84,0.84
18407,tdc_full,0.7951807228915663,0.3132530120481928,0.19320388349514564,0.7332577777777746,0.8446258092148827,0.9052413852346974
18407,simple_matched_Q,0.7951807228915663,0.3132530120481928,0.19320388349514564,0.7332577777777746,0.8446258092148827,0.9052413852346974
18407,simple_matched_Q_anticapture,0.7951807228915663,0.3132530120481928,0.19320388349514564,0.7332577777777746,0.8446258092148827,0.9052413852346974
18407,simple_static_q084,0.7710843373493976,0.3373493975903614,0.2058252427184466,0.7169146666666628,0.84,0.84
18408,tdc_full,0.8148148148148148,0.345679012345679,0.22382324687800192,0.6798728888888851,0.8048448058647452,0.9027170519125797
18408,simple_matched_Q,0.8148148148148148,0.345679012345679,0.22382324687800192,0.6798728888888851,0.8048448058647452,0.9027170519125797
