seed,model,final_holdout_recall,final_holdout_violation_rate,trap_capture_rate,trajectory_value,anticapture_activation_rate,final_Q,composite
19200,PTVM,0.9642857142857143,0.16428571428571428,0.13043478260869565,0.7479535999999993,0.0,0.94,0.8717180491925465
19200,FULL,0.9285714285714286,0.2,0.09239130434782608,0.721967999999999,0.5368,0.94,0.8276467677018631
19200,PTVM_conditional_A,0.9642857142857143,0.16428571428571428,0.13043478260869565,0.7479535999999993,0.3692,0.94,0.8532580491925464
19201,PTVM,0.9307692307692308,0.3,0.16407355021216408,0.7224215999999992,0.0,0.94,0.8159003791883364
19201,FULL,0.9,0.3230769230769231,0.11386138613861387,0.6996919999999991,0.517,0.94,0.7805468920030463
19201,PTVM_conditional_A,0.9307692307692308,0.3,0.16407355021216408,0.7224215999999992,0.3454,0.94,0.7986303791883363
19202,PTVM,0.928,0.256,0.1418779986291981,0.7337071999999989,0.0,0.94,0.8327658402741602
19202,FULL,0.888,0.288,0.09732693625771076,0.7206455999999988,0.5412,0.94,0.7920037327484576
19202,PTVM_conditional_A,0.928,0.256,0.1418779986291981,0.7337071999999989,0.3796,0.94,0.8137858402741602
19203,PTVM,0.9338235294117647,0.29411764705882354,0.12526690391459075,0.7068719999999984,0.0,0.94,0.8229386662759051
19203,FULL,0.8676470588235294,0.3382352941176471,0.08754448398576513,0.6838135999999984,0.527,0.94,0.7686391173204937
19203,PTVM_conditional_A,0.9338235294117647,0.29411764705882354,0.12526690391459075,0.7068719999999984,0.371,0.94,0.804388666275905
19204,PTVM,0.9924242424242424,0.1590909090909091,0.15411436541143655,0.7474791999999987,0.0,0.94,0.8766275123722579
19204,FULL,0.9621212121212122,0.1893939393939394,0.10669456066945607,0.7250679999999987,0.5296,0.94,0.8384825666539872
19204,PTVM_conditional_A,0.9924242424242424,0.1590909090909091,0.15411436541143655,0.7474791999999987,0.3692,0.94,0.8581675123722579
19205,PTVM,0.9586776859504132,0.2396694214876033,0.1311813186813187,0.7090055999999981,0.0,0.94,0.8432508066769592
19205,FULL,0.9090909090909091,0.2727272727272727,0.0885989010989011,0.6885447999999981,0.5358,0.94,0.797744634325674
19205,PTVM_conditional_A,0.9586776859504132,0.2396694214876033,0.1311813186813187,0.7090055999999981,0.3752,0.94,0.8244908066769592
19206,PTVM,0.9496402877697842,0.26618705035971224,0.12844036697247707,0.7540855999999992,0.0,0.94,0.8434743703465117
19206,FULL,0.9280575539568345,0.28776978417266186,0.09386026817219478,0.739219199999999,0.5164,0.94,0.8097266065094457
19206,PTVM_conditional_A,0.9496402877697842,0.26618705035971224,0.12844036697247707,0.7540855999999992,0.361,0.94,0.8254243703465117
19207,PTVM,0.9338842975206612,0.2396694214876033,0.1388695045359386,0.719083999999999,0.0,0.94,0.8362908329771097
19207,FULL,0.8842975206611571,0.2809917355371901,0.09839497557571528,0.6970319999999987,0.54,0.94,0.7877687271989062
19207,PTVM_conditional_A,0.9338842975206612,0.2396694214876033,0.1388695045359386,0.719083999999999,0.3704,0.94,0.8177708329771096
19208,PTVM,0.946969696969697,0.23484848484848486,0.1190807799442897,0.7257007999999986,0.0,0.94,0.8467027918899297
19208,FULL,0.8939393939393939,0.26515151515151514,0.08565459610027855,0.7028975999999981,0.5298,0.94,0.7988525401738833
19208,PTVM_conditional_A,0.946969696969697,0.23484848484848486,0.1190807799442897,0.7257007999999986,0.3772,0.94,0.8278427918899296
