seed,model,trap_capture,false_consolidation,final_recall,final_false_alarm,final_violation,trajectory,integrated_score,final_quality
16700,simple_time_schedule,0.2590929501571621,0.0,0.9101796407185628,0.06666666666666667,0.2275449101796407,0.7266359999999987,0.868337337157638,0.92
16700,simple_anti_capture,0.22177777777777777,0.0,0.7619047619047619,0.122,0.39880952380952384,0.7346888888888875,0.7851881904761904,0.78
16700,simple_frozen_core,0.1952610794207986,0.0,0.7793103448275862,0.12666666666666668,0.36551724137931035,0.7346408888888875,0.7999387396090575,0.78
16700,tdc_evidence_validated,0.13901147396293026,0.0,0.879746835443038,0.043333333333333335,0.3037974683544304,0.7475111111111103,0.8658033950516595,0.9131586361475752
16701,simple_time_schedule,0.2580078982009653,0.0,0.8135593220338984,0.056666666666666664,0.3220338983050847,0.7126911111111106,0.8218475556454619,0.92
16701,simple_anti_capture,0.20293724966622162,0.0,0.6666666666666666,0.12933333333333333,0.48226950354609927,0.7313711111111105,0.7411097287819535,0.78
16701,simple_frozen_core,0.2217214961694457,0.0,0.8562091503267973,0.13066666666666665,0.3006535947712418,0.7304031111111094,0.8313871411245126,0.78
16701,tdc_evidence_validated,0.13359964491788726,0.0,0.8624338624338624,0.042666666666666665,0.30158730158730157,0.7679031111111091,0.8627448725686385,0.9129460199750995
16702,simple_time_schedule,0.26698606271777003,0.0,0.852760736196319,0.06,0.3128834355828221,0.6896022222222226,0.8326575738507324,0.92
16702,simple_anti_capture,0.21346830985915494,0.0,0.8209876543209876,0.12333333333333334,0.30864197530864196,0.7452919999999984,0.8222940178542861,0.78
16702,simple_frozen_core,0.18730442556995977,0.0,0.8181818181818182,0.12,0.3246753246753247,0.7440373333333319,0.8224583542730195,0.78
16702,tdc_evidence_validated,0.15019937970757644,0.0,0.8409090909090909,0.048666666666666664,0.32954545454545453,0.744761777777777,0.8463661943156866,0.9113298738679699
16703,simple_time_schedule,0.25466666666666665,0.0,0.82,0.084,0.3466666666666667,0.6965182222222219,0.8137540622222221,0.92
16703,simple_anti_capture,0.20316742081447964,0.0,0.7078651685393258,0.12333333333333334,0.4157303370786517,0.7327893333333316,0.7678816175653735,0.78
16703,simple_frozen_core,0.23032714412024757,0.0,0.8300653594771242,0.10066666666666667,0.3137254901960784,0.7290533333333321,0.8250708429604202,0.78
