model,phase2_core_accuracy,final_third_factor_volition,final_ethical_reliability,final_integration,final_ideal_alignment,final_H_self,phase2_reward_capture_rate,false_consolidation_rate,integrated_score,long_term_trajectory_value
ablate_core_constraint,0.5894903846153846,0.6466318268280744,0.9218821433518316,0.9458527008905229,0.8842857794829909,0.2984153243632547,0.2341658653846154,0.3109481088890077,0.7551256678329414,0.07503850360576902
ablate_ethicalsense,0.5519567307692308,0.5310584445707769,0.7017700091513203,0.8594847906217735,0.8795420361082431,0.34566051158626976,0.2548173076923077,0.22429767273012663,0.7303188683424231,0.04993179086538517
ablate_idealgap,0.6131778846153846,0.95,0.9395695643367115,0.95,0.95,0.10035436257463437,0.22040144230769232,0.16903091702686027,0.820778008718811,0.1711611538461544
ablate_shadow_validation,0.5756947115384615,0.697344381760023,0.8874748741834511,0.8857081208268955,0.9028516629572405,0.4124935695829327,0.24197115384615384,0.47872376581589016,0.7113081435041458,0.058146814903846135
full_loop,0.5852836538461539,0.547449262829777,0.9101644755580945,0.8884249793999706,0.9052666483555296,0.33028545734257225,0.2367043269230769,0.225738536414885,0.7530156687613041,0.07377860576923048
