seed,model,phase,Q,irreversible_recall,false_alarm_rate,violation_rate,trajectory
15800,static_quality,1,0.58,0.5833333333333334,0.19826224328593997,0.48484848484848486,0.6261295418641375
15800,static_quality,2,0.58,0.631578947368421,0.1895734597156398,0.518796992481203,0.6024075829383877
15800,static_quality,3,0.58,0.6842105263157895,0.17061611374407584,0.42105263157894735,0.6313301737756715
15800,static_quality,4,0.58,0.7387387387387387,0.22511848341232227,0.40540540540540543,0.7152132701421793
15800,static_quality,5,0.58,0.6343283582089553,0.18009478672985782,0.4552238805970149,0.6450110584518144
15800,static_quality,6,0.58,0.6564885496183206,0.2014218009478673,0.44274809160305345,0.6549636650868863
15800,linear_development,1,0.7893677393072065,0.8333333333333334,0.1287519747235387,0.2608695652173913,0.7832859399684052
15800,linear_development,2,0.8509781289204355,0.8625954198473282,0.07661927330173776,0.2748091603053435,0.7954218009478682
15800,linear_development,3,0.8813416768036111,0.8320610687022901,0.05608214849921011,0.31297709923664124,0.7746793048973161
15800,linear_development,4,0.9018489851772867,0.8931297709923665,0.04897314375987362,0.22900763358778625,0.8315924170616118
15800,linear_development,5,0.9053160351378384,0.8757763975155279,0.037914691943127965,0.2857142857142857,0.7533080568720399
15800,linear_development,6,0.9074235205557787,0.8650793650793651,0.044233807266982623,0.25396825396825395,0.8227109004739339
15800,interaction_development,1,0.7470412826563799,0.762962962962963,0.17061611374407584,0.362962962962963,0.707567140600316
15800,interaction_development,2,0.8573673659172723,0.856,0.10110584518167456,0.296,0.7842969984202217
15800,interaction_development,3,0.8963755715404917,0.859504132231405,0.06240126382306477,0.2396694214876033,0.8335197472353875
15800,interaction_development,4,0.9098457589155159,0.8688524590163934,0.03317535545023697,0.23770491803278687,0.8408372827804104
15800,interaction_development,5,0.9146191338561341,0.9019607843137255,0.04344391785150079,0.22875816993464052,0.8075387045813606
15800,interaction_development,6,0.9153427724814163,0.8984375,0.04344391785150079,0.234375,0.8327456556082157
15800,feedback_development,1,0.8265118554785598,0.8206896551724138,0.13744075829383887,0.3448275862068966,0.7096018957345971
15800,feedback_development,2,0.899269402040998,0.8866666666666667,0.04897314375987362,0.2733333333333333,0.7758830963665095
15800,feedback_development,3,0.9073472391948658,0.8296296296296296,0.03475513428120063,0.32592592592592595,0.7641611374407603
15800,feedback_development,4,0.9131999302350879,0.8827586206896552,0.045023696682464455,0.2413793103448276,0.807317535545025
15800,feedback_development,5,0.913794312882831,0.9172932330827067,0.04739336492890995,0.2706766917293233,0.8017630331753578
15800,feedback_development,6,0.9149514343880891,0.8767123287671232,0.04344391785150079,0.23972602739726026,0.807895734597158
15801,static_quality,1,0.58,0.6349206349206349,0.1943127962085308,0.4365079365079365,0.6720663507108992
15801,static_quality,2,0.58,0.6549295774647887,0.18088467614533965,0.43661971830985913,0.6394597156398097
15801,static_quality,3,0.58,0.6165413533834586,0.18878357030015797,0.48872180451127817,0.6225055292259071
