seed,model,trap_phase_capture_rate,trap_phase_false_consolidation_rate,post_trap_quality_damage,recovery_gain,final_holdout_recall,final_holdout_false_alarm,final_holdout_violation_rate,trajectory_value,integrated_score,final_quality
16450,simple_time_schedule,0.276298559580969,0.0,0.0,0.168529810298103,0.8482758620689655,0.08,0.27586206896551724,0.7186471111111102,0.8246775054097156,0.92
16450,simple_success_driven,0.25097868638538495,0.0,0.020859851174127142,0.0906778392937303,0.7647058823529411,0.14533333333333334,0.3315508021390374,0.7467808888888877,0.7825853806514459,0.718924771811794
16450,tdc_unvalidated,0.14752650176678445,0.12247727622862425,0.0,0.06452380952380954,0.838150289017341,0.06133333333333333,0.3179190751445087,0.7686008888888877,0.8146722594274924,0.8683624532595238
16450,tdc_evidence_validated,0.1348464619492657,0.0,0.0,0.06008751367401155,0.8690476190476191,0.052,0.26785714285714285,0.7861475555555533,0.8494115415003887,0.9140639834504873
16450,tdc_validated_with_reversal,0.14184081814139618,0.0,0.0,0.017875874125874214,0.8961038961038961,0.051333333333333335,0.24675324675324675,0.7772471111111097,0.8550982571507362,0.9146284721560014
16451,simple_time_schedule,0.2597228430934287,0.0,0.0,0.1066164604626143,0.8270676691729323,0.07733333333333334,0.2857142857142857,0.7333693333333324,0.8161972279768613,0.92
16451,simple_success_driven,0.2492099322799097,0.0,0.016908068646601104,0.23469387755102034,0.7608695652173914,0.15066666666666667,0.3333333333333333,0.747384444444443,0.7922835264481793,0.7296616229685903
16451,tdc_unvalidated,0.12409090909090909,0.1002460024600246,0.0,0.024270820142670235,0.8391608391608392,0.064,0.34265734265734266,0.7951919999999981,0.8138273777637631,0.8917854541218369
16451,tdc_evidence_validated,0.14814814814814814,0.0,0.0,0.0225627926777352,0.8625,0.05333333333333334,0.26875,0.7861511111111092,0.842601993784589,0.9144408274111986
16451,tdc_validated_with_reversal,0.14078768673607966,0.0,0.0,0.02590612002376702,0.8867924528301887,0.04466666666666667,0.2389937106918239,0.7777524444444426,0.8561369653246781,0.914131854754721
16452,simple_time_schedule,0.2635104957570344,0.0,0.0,0.076266089257789,0.8357142857142857,0.064,0.30714285714285716,0.725637333333332,0.8132810253536858,0.92
16452,simple_success_driven,0.25866666666666666,0.0,0.01319472396254906,0.10082631803545794,0.7023809523809523,0.13666666666666666,0.39285714285714285,0.7150875555555558,0.7564467505222017,0.7068691447973975
16452,tdc_unvalidated,0.1358574610244989,0.11084006708339686,0.0,-0.012123373150294103,0.8053691275167785,0.06933333333333333,0.2751677852348993,0.8059542222222198,0.8116125023718395,0.8684720798485146
16452,tdc_evidence_validated,0.13777777777777778,0.0,0.0,0.04413950829045177,0.8711656441717791,0.05266666666666667,0.294478527607362,0.7765679999999985,0.8429519447395823,0.9133656262077523
16452,tdc_validated_with_reversal,0.1381898454746137,0.0,0.0,-0.013374731311201371,0.8580645161290322,0.058666666666666666,0.3161290322580645,0.7780848888888866,0.8303524300820629,0.9126640654116144
16453,simple_time_schedule,0.26972234464521816,0.0,0.0,0.12290890496018703,0.8203592814371258,0.06933333333333333,0.32934131736526945,0.7056848888888888,0.8068104367878683,0.92
16453,simple_success_driven,0.25425246195165624,0.0,0.01943621527259476,0.18081435472739815,0.8164556962025317,0.13533333333333333,0.3037974683544304,0.751336444444443,0.8085357509342145,0.715609138187657
16453,tdc_unvalidated,0.16094516272848863,0.11708957505350046,0.0,0.11890397184514834,0.8309859154929577,0.062,0.3028169014084507,0.7918773333333308,0.8196139167573254,0.8851244753066665
16453,tdc_evidence_validated,0.15309734513274337,0.0,0.0,0.06419753086419755,0.8944099378881988,0.05266666666666667,0.21739130434782608,0.7566919999999989,0.8610711377944441,0.9148915949876686
16453,tdc_validated_with_reversal,0.1313220940550133,0.0,0.0,-0.044313725490196076,0.8650306748466258,0.04133333333333333,0.2085889570552147,0.8062146666666649,0.8537664118196672,0.9153234348253771
16454,simple_time_schedule,0.27377266696152147,0.0,0.0,0.020353830298866282,0.861271676300578,0.068,0.31213872832369943,0.7207253333333331,0.8117693775965025,0.92
16454,simple_success_driven,0.265359477124183,0.0,0.007635904794289439,0.0666987333654,0.7452229299363057,0.138,0.4394904458598726,0.7212862222222216,0.7547022436906716,0.7041406642836416
16454,tdc_unvalidated,0.14198071866783524,0.11566707466340269,0.0,0.12475891996142718,0.8048780487804879,0.06066666666666667,0.3170731707317073,0.7888995555555535,0.8141702405549741,0.8797459346202239
16454,tdc_evidence_validated,0.15045045045045044,0.0,0.0,0.04083333333333328,0.8903225806451613,0.06133333333333333,0.2129032258064516,0.7833591111111093,0.8590794734243922,0.915019964671242
16454,tdc_validated_with_reversal,0.13871543264942016,0.0,0.0,0.11990240501917049,0.8413793103448276,0.04733333333333333,0.296551724137931,0.7828586666666641,0.8424647693018792,0.913204013880819
16455,simple_time_schedule,0.2826475849731664,0.0,0.0,0.10010911074740858,0.8695652173913043,0.06533333333333333,0.2717391304347826,0.7233995555555548,0.8267033245480904,0.92
16455,simple_success_driven,0.2549363756033348,0.0,0.047380899269921284,0.03548680618744304,0.8053691275167785,0.146,0.348993288590604,0.7373248888888879,0.7837506461238023,0.7224845396787987
16455,tdc_unvalidated,0.13770347558293006,0.10832696715049656,0.0,0.046666666666666634,0.802547770700637,0.05533333333333333,0.3248407643312102,0.7671191111111099,0.8074271691933096,0.8831251604238115
16455,tdc_evidence_validated,0.13680494263018536,0.0,0.0,0.030551009274413565,0.7925531914893617,0.04666666666666667,0.3670212765957447,0.7789928888888875,0.8111333738328286,0.9108396832040139
16455,tdc_validated_with_reversal,0.143242029636282,0.0,0.0,0.10164141414141414,0.8486486486486486,0.06266666666666666,0.3027027027027027,0.7598208888888875,0.8376327870603116,0.9123562211502594
