seed,model,is_tdc,final_holdout_recall,final_holdout_false_alarm,final_holdout_violation_rate,trap_capture_rate,capture_resistance,core_protection,gross_trajectory,avg_information_cost,net_trajectory_after_info_cost,final_quality
17600,simple_q076_a008,False,0.7640449438202247,0.13333333333333333,0.38202247191011235,0.23273415326395458,0.7672658467360454,0.6179775280898876,0.6523528888888842,0.01782000000000037,0.6345328888888838,0.76
17600,simple_q084_a008,False,0.8131868131868132,0.07733333333333334,0.3626373626373626,0.1661721068249258,0.8338278931750742,0.6373626373626373,0.709583111111107,0.03718000000000375,0.6724031111111032,0.84
17600,simple_q090_a008,False,0.8414634146341463,0.05733333333333333,0.2926829268292683,0.1554907677356657,0.8445092322643343,0.7073170731707317,0.7191662222222192,0.05631999999999951,0.6628462222222197,0.9
17600,simple_q090_a016,False,0.868421052631579,0.06666666666666667,0.3026315789473684,0.12115384615384615,0.8788461538461538,0.6973684210526316,0.7403377777777749,0.05631999999999951,0.6840177777777754,0.9
17600,tdc_evidence_validated,True,0.775,0.06533333333333333,0.325,0.16977428851815504,0.830225711481845,0.675,0.7095724444444407,0.0145286806747745,0.6950437637696661,0.9075825350861548
17601,simple_q076_a008,False,0.7142857142857143,0.11466666666666667,0.4025974025974026,0.23210831721470018,0.7678916827852998,0.5974025974025974,0.6715857777777732,0.01782000000000037,0.6537657777777728,0.76
17601,simple_q084_a008,False,0.7746478873239436,0.09866666666666667,0.38028169014084506,0.18146718146718147,0.8185328185328186,0.619718309859155,0.7224319999999963,0.03718000000000375,0.6852519999999925,0.84
17601,simple_q090_a008,False,0.7525773195876289,0.06666666666666667,0.4639175257731959,0.12362911266201396,0.8763708873379861,0.5360824742268041,0.7336364444444419,0.05631999999999951,0.6773164444444424,0.9
17601,simple_q090_a016,False,0.8556701030927835,0.058666666666666666,0.31958762886597936,0.11493123772102161,0.8850687622789783,0.6804123711340206,0.7270293333333306,0.05631999999999951,0.6707093333333312,0.9
17601,tdc_evidence_validated,True,0.8404255319148937,0.03866666666666667,0.30851063829787234,0.1724470134874759,0.8275529865125241,0.6914893617021276,0.684483555555552,0.014763366603821267,0.6697201889517307,0.9096828927265626
17602,simple_q076_a008,False,0.6666666666666666,0.11066666666666666,0.3870967741935484,0.22015655577299412,0.7798434442270059,0.6129032258064516,0.6441146666666624,0.01782000000000037,0.626294666666662,0.76
17602,simple_q084_a008,False,0.7789473684210526,0.07066666666666667,0.3368421052631579,0.19107662463627545,0.8089233753637246,0.6631578947368422,0.6883724444444406,0.03718000000000375,0.6511924444444368,0.84
17602,simple_q090_a008,False,0.8850574712643678,0.05466666666666667,0.22988505747126436,0.12622309197651663,0.8737769080234834,0.7701149425287357,0.7371795555555524,0.05631999999999951,0.6808595555555529,0.9
17602,simple_q090_a016,False,0.8452380952380952,0.06133333333333333,0.32142857142857145,0.13043478260869565,0.8695652173913043,0.6785714285714286,0.6627324444444415,0.05631999999999951,0.606412444444442,0.9
17602,tdc_evidence_validated,True,0.8131868131868132,0.052,0.3516483516483517,0.18486590038314177,0.8151340996168582,0.6483516483516483,0.6951724444444408,0.014484833097384396,0.6806876113470565,0.9065566899461295
