seed,model,phase1_external_reward,phase2_external_reward,phase1_core_accuracy,phase2_core_accuracy,final_third_factor_volition,final_ethical_reliability,final_integration,final_ideal_alignment,final_H_self,phase2_reward_capture_rate,developmental_transfer_score,long_term_trajectory_value
12600,static_baseline,0.47041666666666665,0.52125,0.46541666666666665,0.45125,0.24,0.56,0.32,0.4,0.64,0.335,0.419875,-0.05529166666666606
12600,success_fed_thirdfactor,0.9675,1.0,0.8241666666666667,0.38416666666666666,0.95,0.6535000000000456,0.32,0.4,0.64,0.6158333333333333,0.37166666666666665,0.21829166666669078
12600,ethicalsense_plus_idealgap,0.55375,0.465,0.5895833333333333,0.62125,0.48191238781528384,0.94,0.8923629165609429,0.9151266249048482,0.30306586065888835,0.23041666666666666,0.7751276937729007,0.2185729166666728
12600,hybrid_reward_and_ethics,0.5308333333333334,0.4608333333333333,0.5566666666666666,0.5733333333333334,0.95,0.7345738430140771,0.8659173914698723,0.8913256523228852,0.31244956511807626,0.255,0.7456474566069844,0.12983750000000452
12601,static_baseline,0.455,0.50375,0.45,0.45375,0.24,0.56,0.32,0.4,0.64,0.3375,0.42037499999999994,-0.07443750000000145
12601,success_fed_thirdfactor,0.9645833333333333,1.0,0.7995833333333333,0.37625,0.95,0.6915000000000441,0.32,0.4,0.64,0.62375,0.3685,0.16977291666668612
12601,ethicalsense_plus_idealgap,0.55625,0.47,0.5779166666666666,0.6408333333333334,0.4875445845590899,0.94,0.8928148141904305,0.9155333327713883,0.30552044092720126,0.23125,0.7807432298918531,0.2212062500000055
12601,hybrid_reward_and_ethics,0.53875,0.48875,0.5741666666666667,0.5708333333333333,0.95,0.7345428585568307,0.8658569705120133,0.8912712734608126,0.3124858176927918,0.26625,0.743741339813687,0.1513437500000048
12602,static_baseline,0.4683333333333333,0.51,0.4558333333333333,0.4533333333333333,0.24,0.56,0.32,0.4,0.64,0.33791666666666664,0.4202083333333333,-0.06035416666666632
12602,success_fed_thirdfactor,0.9608333333333333,1.0,0.795,0.36541666666666667,0.95,0.6670000000000453,0.32,0.4,0.64,0.6345833333333334,0.36416666666666664,0.16682708333335142
12602,ethicalsense_plus_idealgap,0.5458333333333333,0.45625,0.5670833333333334,0.62875,0.48402250557170756,0.94,0.8924996308606296,0.9152496677745673,0.3040115480973502,0.21833333333333332,0.778502277567832,0.19211666666667165
12602,hybrid_reward_and_ethics,0.5166666666666667,0.49166666666666664,0.5470833333333334,0.5641666666666667,0.95,0.7345098923337603,0.8657808508592156,0.8912027657732934,0.31253148948446985,0.2725,0.741077138192496,0.09788125000000299
12603,static_baseline,0.47208333333333335,0.5191666666666667,0.45125,0.44416666666666665,0.24,0.56,0.32,0.4,0.64,0.34208333333333335,0.4170416666666667,-0.08954166666666852
12603,success_fed_thirdfactor,0.9625,1.0,0.8,0.3595833333333333,0.95,0.6125000000000452,0.32,0.4,0.64,0.6404166666666666,0.3618333333333333,0.16359166666668487
12603,ethicalsense_plus_idealgap,0.56375,0.46791666666666665,0.5895833333333333,0.6429166666666667,0.48194734150687424,0.9320186742443116,0.8930387209581025,0.9157348488622916,0.3025426939869549,0.22916666666666666,0.7821183856424836,0.24755000000000763
12603,hybrid_reward_and_ethics,0.5266666666666666,0.47291666666666665,0.5379166666666667,0.5716666666666667,0.95,0.7348443120897491,0.8665009336151303,0.8918508402536162,0.3120994398309212,0.25083333333333335,0.7458646474784586,0.1157916666666702
12604,static_baseline,0.47875,0.4875,0.4658333333333333,0.48041666666666666,0.24,0.56,0.32,0.4,0.64,0.3175,0.43037499999999995,-0.037874999999998944
12604,success_fed_thirdfactor,0.9633333333333334,1.0,0.8016666666666666,0.37583333333333335,0.95,0.7300000000000406,0.32,0.4,0.64,0.6241666666666666,0.36833333333333335,0.15837500000001734
12604,ethicalsense_plus_idealgap,0.54,0.47,0.5854166666666667,0.6408333333333334,0.48840081238595934,0.94,0.8925343712729505,0.9152809341456557,0.3061729091746195,0.21958333333333332,0.7816928380814778,0.20728750000000526
