model,final_A_TF,final_R_ethical,final_W_conf,final_H_self,decision_accuracy,high_stakes_accuracy,long_term_trajectory_value,external_capture_rate,epistemic_error_rate,normative_error_rate,independent_success_rate
protected_plus_error_attribution,0.95,0.9372109375,0.6289730096801972,0.10141484375000001,0.5471901041666667,0.5481998488718393,0.13441380208333115,0.32565619265581564,0.0703671875,0.16026302083333333,0.3159635416666667
protected_thirdfactor,0.95,0.9352031249999999,0.58,0.10179687500000001,0.55265625,0.551893249045716,0.14397371093749753,0.32256156259119073,0.07084375,0.1582421875,0.3187083333333333
punitive_v254_style,0.5020007964304372,0.5004586249899245,0.58,0.8951210937500003,0.46416666666666667,0.4636179991246683,-0.014890598958332817,0.534323508919911,0.07638802083333333,0.19801822916666667,0.14808854166666666
static_no_update,0.24,0.55,0.58,0.66,0.5087604166666667,0.5073867482061408,0.058506276041667665,0.3538022761502972,0.060265624999999996,0.19289583333333332,0.29340104166666664
