seed,model,phase,A_TF,R_ethical,W_conf,H_self,capture_resistance
12002,protected_plus_error_attribution,4,0.95,0.9378,0.6026979568240662,0.1,0.95
12002,protected_plus_error_attribution,5,0.95,0.94,0.6226202233707757,0.1,0.95
12002,protected_plus_error_attribution,6,0.95,0.9378,0.6901919963921952,0.1,0.95
12003,static_no_update,1,0.24,0.55,0.58,0.66,0.3
12003,static_no_update,2,0.24,0.55,0.58,0.66,0.3
12003,static_no_update,3,0.24,0.55,0.58,0.66,0.3
12003,static_no_update,4,0.24,0.55,0.58,0.66,0.3
12003,static_no_update,5,0.24,0.55,0.58,0.66,0.3
12003,static_no_update,6,0.24,0.55,0.58,0.66,0.3
12003,punitive_v254_style,1,0.5538037313900772,0.5,0.58,0.8955000000000002,0.9240000000000005
12003,punitive_v254_style,2,0.7576046445129373,0.5045093031972474,0.58,0.8930000000000001,0.95
12003,punitive_v254_style,3,0.9271345392888797,0.5,0.58,0.9,0.947
12003,punitive_v254_style,4,0.9011638982268912,0.5,0.58,0.8990000000000001,0.95
12003,punitive_v254_style,5,0.9218713565405795,0.5164461373352311,0.58,0.8860000000000002,0.95
12003,punitive_v254_style,6,0.94,0.5,0.58,0.897000000000001,0.947
12003,protected_thirdfactor,1,0.6907287613083606,0.5269826389701269,0.58,0.1,0.95
12003,protected_thirdfactor,2,0.95,0.8811465079945756,0.58,0.1,0.95
12003,protected_thirdfactor,3,0.95,0.9377,0.58,0.1,0.95
12003,protected_thirdfactor,4,0.95,0.94,0.58,0.1,0.95
12003,protected_thirdfactor,5,0.95,0.9377,0.58,0.1,0.95
12003,protected_thirdfactor,6,0.95,0.9257,0.58,0.10600000000000001,0.95
12003,protected_plus_error_attribution,1,0.6809073000809046,0.5654633290878023,0.5520299252396996,0.1306999999999997,0.95
12003,protected_plus_error_attribution,2,0.95,0.8501676809874535,0.6005191144351737,0.1039,0.95
12003,protected_plus_error_attribution,3,0.95,0.9347000000000001,0.6296975720772189,0.1039,0.95
12003,protected_plus_error_attribution,4,0.95,0.9356,0.6746075674291808,0.1,0.95
12003,protected_plus_error_attribution,5,0.95,0.9356,0.6930648076582299,0.1,0.95
12003,protected_plus_error_attribution,6,0.95,0.9280000000000006,0.6823427997907041,0.1039,0.95
12004,static_no_update,1,0.24,0.55,0.58,0.66,0.3
12004,static_no_update,2,0.24,0.55,0.58,0.66,0.3
12004,static_no_update,3,0.24,0.55,0.58,0.66,0.3
12004,static_no_update,4,0.24,0.55,0.58,0.66,0.3
12004,static_no_update,5,0.24,0.55,0.58,0.66,0.3
12004,static_no_update,6,0.24,0.55,0.58,0.66,0.3
12004,punitive_v254_style,1,0.369637337956557,0.5,0.58,0.9,0.8760000000000004
12004,punitive_v254_style,2,0.5466502680815488,0.5,0.58,0.9,0.95
12004,punitive_v254_style,3,0.5877040719004109,0.5034718494716596,0.58,0.8885000000000003,0.95
12004,punitive_v254_style,4,0.8251488710401911,0.5,0.58,0.9,0.95
12004,punitive_v254_style,5,0.8298597430151399,0.5,0.58,0.9,0.95
12004,punitive_v254_style,6,0.95,0.5,0.58,0.8850000000000003,0.95
12004,protected_thirdfactor,1,0.6590088088397565,0.5112941407898229,0.58,0.25399999999999967,0.95
12004,protected_thirdfactor,2,0.95,0.8037308424799552,0.58,0.10600000000000001,0.95
12004,protected_thirdfactor,3,0.95,0.9319999999999999,0.58,0.11200000000000002,0.95
12004,protected_thirdfactor,4,0.95,0.94,0.58,0.10600000000000001,0.95
12004,protected_thirdfactor,5,0.95,0.9325000000000001,0.58,0.10800000000000003,0.95
12004,protected_thirdfactor,6,0.95,0.9359999999999999,0.58,0.10600000000000001,0.95
12004,protected_plus_error_attribution,1,0.69223837583146,0.5413893038775242,0.6007719626061425,0.2531,0.95
12004,protected_plus_error_attribution,2,0.95,0.8948600278437708,0.6097224709147906,0.1039,0.95
12004,protected_plus_error_attribution,3,0.95,0.94,0.5783147127445223,0.1,0.95
12004,protected_plus_error_attribution,4,0.95,0.9378,0.5957201811183291,0.1,0.95
12004,protected_plus_error_attribution,5,0.95,0.9325000000000001,0.6176836130249554,0.1,0.95
12004,protected_plus_error_attribution,6,0.95,0.9378,0.6463465706120327,0.1039,0.95
12005,static_no_update,1,0.24,0.55,0.58,0.66,0.3
12005,static_no_update,2,0.24,0.55,0.58,0.66,0.3
12005,static_no_update,3,0.24,0.55,0.58,0.66,0.3
12005,static_no_update,4,0.24,0.55,0.58,0.66,0.3
12005,static_no_update,5,0.24,0.55,0.58,0.66,0.3
12005,static_no_update,6,0.24,0.55,0.58,0.66,0.3
12005,punitive_v254_style,1,0.34039353741212963,0.5,0.58,0.9,0.8250000000000004
12005,punitive_v254_style,2,0.43005633433610685,0.5025622457651691,0.58,0.8965000000000001,0.95
12005,punitive_v254_style,3,0.7298855592335461,0.5043611563537725,0.58,0.8940000000000007,0.95
12005,punitive_v254_style,4,0.9265770016218785,0.5055412625242804,0.58,0.8930000000000001,0.95
12005,punitive_v254_style,5,0.9410666719999999,0.5,0.58,0.8895000000000002,0.95
12005,punitive_v254_style,6,0.9467249815934726,0.5,0.58,0.9,0.95
12005,protected_thirdfactor,1,0.6905829277370071,0.5085336450833959,0.58,0.11200000000000002,0.95
12005,protected_thirdfactor,2,0.95,0.9224743123893747,0.58,0.1,0.95
12005,protected_thirdfactor,3,0.95,0.9394,0.58,0.10600000000000001,0.95
12005,protected_thirdfactor,4,0.95,0.94,0.58,0.1,0.95
12005,protected_thirdfactor,5,0.95,0.9297,0.58,0.1,0.95
12005,protected_thirdfactor,6,0.95,0.9359999999999999,0.58,0.1,0.95
12005,protected_plus_error_attribution,1,0.6428053832416731,0.50165683229945,0.5412628482947635,0.20189999999999977,0.95
12005,protected_plus_error_attribution,2,0.95,0.5941218966359872,0.5171646844154908,0.1,0.95
12005,protected_plus_error_attribution,3,0.95,0.9356,0.503726032,0.1,0.95
12005,protected_plus_error_attribution,4,0.95,0.9378,0.5251335640846053,0.1039,0.95
12005,protected_plus_error_attribution,5,0.95,0.94,0.5366552843688125,0.1,0.95
12005,protected_plus_error_attribution,6,0.95,0.94,0.5744606714587186,0.1039,0.95
12006,static_no_update,1,0.24,0.55,0.58,0.66,0.3
12006,static_no_update,2,0.24,0.55,0.58,0.66,0.3
12006,static_no_update,3,0.24,0.55,0.58,0.66,0.3
12006,static_no_update,4,0.24,0.55,0.58,0.66,0.3
12006,static_no_update,5,0.24,0.55,0.58,0.66,0.3
12006,static_no_update,6,0.24,0.55,0.58,0.66,0.3
12006,punitive_v254_style,1,0.1,0.5,0.58,0.9,0.1
12006,punitive_v254_style,2,0.1,0.5,0.58,0.9,0.1
12006,punitive_v254_style,3,0.1,0.5,0.58,0.8965000000000001,0.1
12006,punitive_v254_style,4,0.1,0.5,0.58,0.8895000000000002,0.1
12006,punitive_v254_style,5,0.1,0.5,0.58,0.8990000000000001,0.1
12006,punitive_v254_style,6,0.1,0.5,0.58,0.9,0.1
12006,protected_thirdfactor,1,0.6688416424944409,0.5679282683865567,0.58,0.14599999999999957,0.95
12006,protected_thirdfactor,2,0.95,0.9319999999999999,0.58,0.10600000000000001,0.95
12006,protected_thirdfactor,3,0.95,0.9359999999999999,0.58,0.1,0.95
12006,protected_thirdfactor,4,0.95,0.94,0.58,0.1,0.95
12006,protected_thirdfactor,5,0.95,0.94,0.58,0.1,0.95
12006,protected_thirdfactor,6,0.95,0.94,0.58,0.1,0.95
12006,protected_plus_error_attribution,1,0.6464984218422684,0.5271550737002795,0.507652310032731,0.1735999999999997,0.95
12006,protected_plus_error_attribution,2,0.95,0.7687197084685744,0.517007061462056,0.1,0.95
12006,protected_plus_error_attribution,3,0.95,0.94,0.52056155400215,0.1,0.95
12006,protected_plus_error_attribution,4,0.95,0.94,0.5640479658417981,0.1,0.95
12006,protected_plus_error_attribution,5,0.95,0.9378,0.6086634120279901,0.1,0.95
12006,protected_plus_error_attribution,6,0.95,0.94,0.6376413816750464,0.1,0.95
12007,static_no_update,1,0.24,0.55,0.58,0.66,0.3
12007,static_no_update,2,0.24,0.55,0.58,0.66,0.3
12007,static_no_update,3,0.24,0.55,0.58,0.66,0.3
12007,static_no_update,4,0.24,0.55,0.58,0.66,0.3
12007,static_no_update,5,0.24,0.55,0.58,0.66,0.3
12007,static_no_update,6,0.24,0.55,0.58,0.66,0.3
12007,punitive_v254_style,1,0.45994859794112014,0.5,0.58,0.8735000000000006,0.9300000000000005
12007,punitive_v254_style,2,0.7069275945186132,0.5,0.58,0.888500000000001,0.95
12007,punitive_v254_style,3,0.8691091248903562,0.5,0.58,0.8895000000000002,0.95
12007,punitive_v254_style,4,0.942068005222128,0.5,0.58,0.8965000000000001,0.95
12007,punitive_v254_style,5,0.920157065705105,0.505502744295436,0.58,0.8930000000000001,0.95
12007,punitive_v254_style,6,0.9123649270477878,0.5,0.58,0.8935000000000004,0.95
12007,protected_thirdfactor,1,0.653655916154382,0.5039219354969263,0.58,0.1899999999999996,0.95
12007,protected_thirdfactor,2,0.95,0.7961905671064075,0.58,0.10600000000000001,0.95
12007,protected_thirdfactor,3,0.95,0.9314,0.58,0.1,0.95
12007,protected_thirdfactor,4,0.95,0.94,0.58,0.1,0.95
12007,protected_thirdfactor,5,0.95,0.9359999999999999,0.58,0.1,0.95
12007,protected_thirdfactor,6,0.95,0.9257,0.58,0.1,0.95
12007,protected_plus_error_attribution,1,0.6655070626636262,0.5017930423759818,0.5677067722563395,0.1374999999999997,0.95
12007,protected_plus_error_attribution,2,0.95,0.6258196842470601,0.5143553919893858,0.1,0.95
12007,protected_plus_error_attribution,3,0.95,0.94,0.5985189052314699,0.1,0.95
12007,protected_plus_error_attribution,4,0.95,0.94,0.6023124652114462,0.1,0.95
12007,protected_plus_error_attribution,5,0.95,0.9373000000000002,0.6155958330851624,0.1039,0.95
12007,protected_plus_error_attribution,6,0.95,0.9307000000000003,0.6319393342333465,0.1,0.95
12008,static_no_update,1,0.24,0.55,0.58,0.66,0.3
12008,static_no_update,2,0.24,0.55,0.58,0.66,0.3
12008,static_no_update,3,0.24,0.55,0.58,0.66,0.3
12008,static_no_update,4,0.24,0.55,0.58,0.66,0.3
12008,static_no_update,5,0.24,0.55,0.58,0.66,0.3
12008,static_no_update,6,0.24,0.55,0.58,0.66,0.3
12008,punitive_v254_style,1,0.4349261828638794,0.5025733718144126,0.58,0.8930000000000001,0.8910000000000005
12008,punitive_v254_style,2,0.35042839958875294,0.5,0.58,0.9,0.95
12008,punitive_v254_style,3,0.45396636603605545,0.5,0.58,0.8965000000000001,0.947
12008,punitive_v254_style,4,0.6211313885944011,0.5,0.58,0.8910000000000003,0.95
12008,punitive_v254_style,5,0.8003614836715033,0.5,0.58,0.8965000000000001,0.95
12008,punitive_v254_style,6,0.8672037045478163,0.5,0.58,0.8830000000000019,0.95
12008,protected_thirdfactor,1,0.6710483367821519,0.5711791617706139,0.58,0.2859999999999997,0.95
12008,protected_thirdfactor,2,0.95,0.9022380966336895,0.58,0.10600000000000001,0.95
12008,protected_thirdfactor,3,0.95,0.9359999999999999,0.58,0.1,0.95
12008,protected_thirdfactor,4,0.95,0.9394,0.58,0.1,0.95
12008,protected_thirdfactor,5,0.95,0.94,0.58,0.1,0.95
12008,protected_thirdfactor,6,0.95,0.9359999999999999,0.58,0.10600000000000001,0.95
12008,protected_plus_error_attribution,1,0.7444114561431142,0.5803386607011367,0.5990100231951969,0.11189999999999971,0.95
12008,protected_plus_error_attribution,2,0.95,0.7972522648126892,0.602415379138861,0.1,0.95
12008,protected_plus_error_attribution,3,0.95,0.9386000000000003,0.6304050181063882,0.1039,0.95
12008,protected_plus_error_attribution,4,0.95,0.9378,0.6474191322329474,0.1,0.95
12008,protected_plus_error_attribution,5,0.95,0.9378,0.626063263706194,0.1,0.95
12008,protected_plus_error_attribution,6,0.95,0.9347000000000001,0.6491743173496655,0.1078,0.95
12009,static_no_update,1,0.24,0.55,0.58,0.66,0.3
12009,static_no_update,2,0.24,0.55,0.58,0.66,0.3
12009,static_no_update,3,0.24,0.55,0.58,0.66,0.3
12009,static_no_update,4,0.24,0.55,0.58,0.66,0.3
12009,static_no_update,5,0.24,0.55,0.58,0.66,0.3
12009,static_no_update,6,0.24,0.55,0.58,0.66,0.3
12009,punitive_v254_style,1,0.5834065735451994,0.5034641900195898,0.58,0.8930000000000001,0.9210000000000005
12009,punitive_v254_style,2,0.7180208549750773,0.5,0.58,0.8970000000000004,0.947
12009,punitive_v254_style,3,0.7583427594481109,0.5122702082714891,0.58,0.8745000000000005,0.95
12009,punitive_v254_style,4,0.8380415837319798,0.5,0.58,0.8840000000000005,0.95
12009,punitive_v254_style,5,0.9491355784364799,0.51131640608,0.58,0.8895000000000002,0.95
12009,punitive_v254_style,6,0.9252690210720561,0.5055334149234951,0.58,0.8965000000000001,0.947
12009,protected_thirdfactor,1,0.7093544312929608,0.5514493116788661,0.58,0.1759999999999996,0.95
12009,protected_thirdfactor,2,0.95,0.9359999999999999,0.58,0.1,0.95
12009,protected_thirdfactor,3,0.95,0.9257,0.58,0.1,0.95
12009,protected_thirdfactor,4,0.95,0.9314,0.58,0.10200000000000002,0.95
12009,protected_thirdfactor,5,0.95,0.94,0.58,0.1,0.95
12009,protected_thirdfactor,6,0.95,0.94,0.58,0.1,0.95
12009,protected_plus_error_attribution,1,0.6919572481808517,0.5280175903115427,0.5361738692378838,0.1,0.95
12009,protected_plus_error_attribution,2,0.95,0.6175462792830243,0.5067115408489516,0.1039,0.95
12009,protected_plus_error_attribution,3,0.95,0.8767462792830317,0.5468160056929297,0.1,0.95
12009,protected_plus_error_attribution,4,0.95,0.9356,0.5334918056579814,0.1,0.95
12009,protected_plus_error_attribution,5,0.95,0.9378,0.5411469956335029,0.1,0.95
12009,protected_plus_error_attribution,6,0.95,0.9334,0.5763733884529706,0.1,0.95
12010,static_no_update,1,0.24,0.55,0.58,0.66,0.3
12010,static_no_update,2,0.24,0.55,0.58,0.66,0.3
12010,static_no_update,3,0.24,0.55,0.58,0.66,0.3
12010,static_no_update,4,0.24,0.55,0.58,0.66,0.3
12010,static_no_update,5,0.24,0.55,0.58,0.66,0.3
12010,static_no_update,6,0.24,0.55,0.58,0.66,0.3
12010,punitive_v254_style,1,0.4301136893789356,0.5,0.58,0.8990000000000001,0.8790000000000004
12010,punitive_v254_style,2,0.5254926296839749,0.5,0.58,0.8780000000000018,0.95
12010,punitive_v254_style,3,0.39306344902555057,0.5023402964434813,0.58,0.8965000000000001,0.95
12010,punitive_v254_style,4,0.42872677379552365,0.5,0.58,0.9,0.95
12010,punitive_v254_style,5,0.5965520921934583,0.5,0.58,0.8965000000000001,0.95
12010,punitive_v254_style,6,0.6126863379798914,0.5,0.58,0.8965000000000001,0.947
12010,protected_thirdfactor,1,0.68472122451375,0.5003241231031992,0.58,0.10600000000000001,0.95
12010,protected_thirdfactor,2,0.95,0.7693897973294128,0.58,0.1,0.95
12010,protected_thirdfactor,3,0.95,0.94,0.58,0.1,0.95
12010,protected_thirdfactor,4,0.95,0.94,0.58,0.1,0.95
12010,protected_thirdfactor,5,0.95,0.94,0.58,0.1,0.95
12010,protected_thirdfactor,6,0.95,0.94,0.58,0.10600000000000001,0.95
12010,protected_plus_error_attribution,1,0.634332308168426,0.5026376701767746,0.5288828508447739,0.2692,0.95
12010,protected_plus_error_attribution,2,0.95,0.7485241572687018,0.5129100952644222,0.1078,0.95
12010,protected_plus_error_attribution,3,0.95,0.9378,0.547352247078985,0.1,0.95
12010,protected_plus_error_attribution,4,0.95,0.9378,0.5501222785089624,0.1,0.95
12010,protected_plus_error_attribution,5,0.95,0.9378,0.6090802775640277,0.1039,0.95
12010,protected_plus_error_attribution,6,0.95,0.94,0.6193548938799647,0.1,0.95
12011,static_no_update,1,0.24,0.55,0.58,0.66,0.3
12011,static_no_update,2,0.24,0.55,0.58,0.66,0.3
12011,static_no_update,3,0.24,0.55,0.58,0.66,0.3
12011,static_no_update,4,0.24,0.55,0.58,0.66,0.3
12011,static_no_update,5,0.24,0.55,0.58,0.66,0.3
12011,static_no_update,6,0.24,0.55,0.58,0.66,0.3
12011,punitive_v254_style,1,0.5033031884672244,0.5,0.58,0.9,0.8820000000000005
12011,punitive_v254_style,2,0.7411884808383948,0.5131576071974707,0.58,0.8720000000000004,0.95
12011,punitive_v254_style,3,0.9005005818216495,0.5,0.58,0.9,0.944
12011,punitive_v254_style,4,0.9384724108278353,0.5,0.58,0.8905000000000007,0.95
12011,punitive_v254_style,5,0.914621224631323,0.5,0.58,0.9,0.947
12011,punitive_v254_style,6,0.943,0.5,0.58,0.9,0.95
12011,protected_thirdfactor,1,0.7738604491543805,0.621482555855375,0.58,0.15399999999999958,0.95
12011,protected_thirdfactor,2,0.95,0.9308000000000001,0.58,0.10600000000000001,0.95
12011,protected_thirdfactor,3,0.95,0.94,0.58,0.1,0.95
12011,protected_thirdfactor,4,0.95,0.9359999999999999,0.58,0.1,0.95
12011,protected_thirdfactor,5,0.95,0.9354,0.58,0.1,0.95
12011,protected_thirdfactor,6,0.95,0.9319999999999999,0.58,0.1,0.95
12011,protected_plus_error_attribution,1,0.7068312867961705,0.5269556229889989,0.5407113700910584,0.1613999999999998,0.95
12011,protected_plus_error_attribution,2,0.95,0.6371675047114725,0.5229080700542215,0.1,0.95
12011,protected_plus_error_attribution,3,0.95,0.9243675047114804,0.5391699703703945,0.1,0.95
12011,protected_plus_error_attribution,4,0.95,0.9281000000000001,0.6237733945115632,0.1039,0.95
12011,protected_plus_error_attribution,5,0.95,0.9378,0.6485586117977188,0.1,0.95
