seed,dimension,tested_value,A_TF,I,C_T,R_C,H_self,geometric_maturity,joint_interaction,target_reliability,ethical_sensitivity,ethical_sense_reliability_realized,decision_accuracy,high_stakes_accuracy,long_term_trajectory_value,deep_path_activation_rate
11600,A_TF,0.75,0.75,0.86,0.84,0.84,0.18,0.8210818039912724,0.6564549022910223,0.9235057836806584,0.7957750000000001,0.920824295010846,0.855,0.8584229390681004,0.6849166666666766,0.7683333333333333
11600,A_TF,0.6,0.6,0.86,0.84,0.84,0.18,0.7852436357791666,0.5630196868536624,0.8778121229187882,0.7669000000000001,0.8834080717488789,0.815,0.8058608058608059,0.6011666666666727,0.7433333333333333
11600,A_TF,0.5,0.5,0.86,0.84,0.84,0.18,0.7571260274340416,0.5012174301613356,0.8467940056058884,0.74765,0.8549346016646849,0.7941666666666667,0.7783985102420856,0.5607916666666689,0.7008333333333333
11600,A_TF,0.4,0.4,0.86,0.84,0.84,0.18,0.7240793689926458,0.439516176978536,0.8149310807496614,0.7284,0.8170731707317073,0.7658333333333334,0.7573529411764706,0.5116666666666665,0.6833333333333333
11600,A_TF,0.3,0.3,0.86,0.84,0.84,0.18,0.68359428945225,0.377344047777642,0.7815314721680147,0.7091500000000001,0.7937743190661478,0.735,0.732824427480916,0.4695416666666647,0.6425
11600,A_TF,0.2,0.2,0.86,0.84,0.84,0.18,0.6303477025476499,0.31328280816618204,0.7450413658883734,0.6899000000000001,0.7490589711417817,0.725,0.7383512544802867,0.44845833333332963,0.6641666666666667
11600,I,0.75,0.86,0.75,0.84,0.84,0.18,0.8210818039912724,0.6654868021349263,0.9272991816150981,0.8169500000000001,0.9284940411700975,0.8591666666666666,0.8643122676579925,0.6990416666666772,0.7691666666666667
11600,I,0.6,0.86,0.6,0.84,0.84,0.18,0.7852436357791666,0.5834360213839208,0.8863869834214967,0.8169500000000001,0.9055793991416309,0.8491666666666666,0.8526119402985075,0.6786666666666766,0.7766666666666666
11600,I,0.5,0.86,0.5,0.84,0.84,0.18,0.7571260274340416,0.5284739671489611,0.8582417511406911,0.8169500000000001,0.8634361233480177,0.8166666666666667,0.8440366972477065,0.6371666666666734,0.7566666666666667
11600,I,0.4,0.86,0.4,0.84,0.84,0.18,0.7240793689926458,0.47282382795219774,0.8289202941585994,0.8169500000000001,0.8364434687156971,0.7966666666666666,0.7963302752293578,0.5737083333333369,0.7591666666666667
11600,I,0.3,0.86,0.3,0.84,0.84,0.18,0.68359428945225,0.41562532798696805,0.7976096098559315,0.8169500000000001,0.8143646408839779,0.775,0.7794970986460348,0.5472916666666703,0.7541666666666667
11600,I,0.2,0.86,0.2,0.84,0.84,0.18,0.6303477025476499,0.35488575653432697,0.7625146042029943,0.8169500000000001,0.7603121516164995,0.735,0.7105263157894737,0.4409583333333288,0.7475
11600,C_T,0.75,0.86,0.86,0.75,0.84,0.18,0.8249550033260091,0.7094613028603679,0.94,0.80705,0.9519650655021834,0.8733333333333333,0.8660714285714286,0.7101666666666779,0.7633333333333333
11600,C_T,0.6,0.86,0.86,0.6,0.84,0.18,0.7889477796451271,0.6784950904948094,0.9269785383439428,0.7905500000000001,0.9330306469920545,0.8625,0.8663194444444444,0.6974583333333421,0.7341666666666666
11600,C_T,0.5,0.86,0.86,0.5,0.84,0.18,0.760697535183348,0.6541998802576794,0.911689506041228,0.7795500000000001,0.8860335195530726,0.8175,0.8181818181818182,0.6202083333333394,0.7458333333333333
11600,C_T,0.4,0.86,0.86,0.4,0.84,0.18,0.7274949893567145,0.6256456908467746,0.8937202882398539,0.7685500000000001,0.905373831775701,0.83,0.82421875,0.6443333333333402,0.7133333333333334
11600,C_T,0.3,0.86,0.86,0.3,0.84,0.18,0.6868189339812918,0.590664283223911,0.8717064070706751,0.7575500000000001,0.8913308913308914,0.8091666666666667,0.7944954128440367,0.5883750000000035,0.6825
11600,C_T,0.2,0.86,0.86,0.2,0.84,0.18,0.6333211727795957,0.5446562085904523,0.8427534187083172,0.74655,0.8291517323775388,0.7666666666666667,0.7421150278293135,0.5001249999999999,0.6975
11600,R_C,0.75,0.86,0.86,0.84,0.75,0.18,0.8249550033260091,0.7094613028603679,0.94,0.809525,0.9201725997842503,0.8575,0.8598130841121495,0.6938750000000111,0.7725
