seed,model,critical_recall,critical_precision,f1_like,false_alarm_rate,miss_rate,review_trigger_rate,irreversible_core_violation_rate,net_vigilance_value,long_term_trajectory_value,final_threshold
14600,fixed_threshold,0.7253521126760564,0.4330005254860746,0.5422836459361632,0.17403225806451614,0.2746478873239437,0.30693548387096775,0.1267605633802817,0.6852664533605443,0.8929287096773959,0.58
14600,calibrated_score,0.3460837887067395,0.5663189269746647,0.4296212549462973,0.04693548387096774,0.6539162112932605,0.10822580645161291,0.1885245901639344,0.5914688177384635,0.8339687096774103,0.6
14600,structural_score,0.40921658986175113,0.37342304457527337,0.39050131926121373,0.12016129032258065,0.5907834101382489,0.1917741935483871,0.15668202764976957,0.5533625999465144,0.8645087096774061,0.17
14600,adaptive_detector,0.07896995708154507,0.6715328467153284,0.141321044546851,0.007258064516129033,0.9210300429184549,0.02209677419354839,0.28240343347639485,0.5115467798021527,0.7260777419354864,0.76
14601,fixed_threshold,0.7039777983348752,0.41179653679653677,0.5196312734721747,0.1753225806451613,0.2960222016651249,0.29806451612903223,0.13783533765032377,0.669202875130102,0.8868916129032024,0.58
14601,calibrated_score,0.34212840809146877,0.5621387283236994,0.4253690541279387,0.04887096774193549,0.6578715919085312,0.11161290322580646,0.18733509234828497,0.5886372500361199,0.8292761290322515,0.6
14601,structural_score,0.4380165289256198,0.395850622406639,0.4158674803836093,0.11741935483870967,0.5619834710743802,0.19435483870967743,0.1561065197428834,0.5711719282357653,0.865504838709665,0.17
14601,adaptive_detector,0.07196969696969698,0.6551724137931034,0.1296928327645051,0.0064516129032258064,0.928030303030303,0.01870967741935484,0.2897727272727273,0.5032718340243368,0.7450606451612929,0.76
14602,fixed_threshold,0.7030965391621129,0.41261357562800643,0.5200404176490401,0.17725806451612902,0.29690346083788705,0.3017741935483871,0.15391621129326047,0.6661754406376198,0.8701945161290086,0.58
14602,calibrated_score,0.35396687009590233,0.5742574257425742,0.4379719525350593,0.04854838709677419,0.6460331299040977,0.11403225806451613,0.18482999128160418,0.5969879815618877,0.8306293548387024,0.6
14602,structural_score,0.47058823529411764,0.4073455759599332,0.43668903803131986,0.11451612903225807,0.5294117647058824,0.1932258064516129,0.1523625843780135,0.5878893739542574,0.8751980645161149,0.17
14602,adaptive_detector,0.09276437847866419,0.7092198581560284,0.16406890894175552,0.0066129032258064515,0.9072356215213359,0.02274193548387097,0.27736549165120594,0.5282632228607422,0.751455806451614,0.76
14603,fixed_threshold,0.7269372693726938,0.41870350690754515,0.5313553607552258,0.1764516129032258,0.2730627306273063,0.3035483870967742,0.11992619926199262,0.6825236620912367,0.9032019354838459,0.58
14603,calibrated_score,0.345679012345679,0.5747800586510264,0.43171806167400884,0.0467741935483871,0.654320987654321,0.11,0.17372134038800705,0.5960816718128547,0.8426858064516063,0.6
14603,structural_score,0.434061135371179,0.42225998300764656,0.4280792420327304,0.10967741935483871,0.5659388646288209,0.18983870967741936,0.14148471615720523,0.5807965366141652,0.872761612903212,0.17
14603,adaptive_detector,0.06586270871985157,0.5590551181102362,0.11784232365145228,0.00903225806451613,0.9341372912801484,0.020483870967741936,0.274582560296846,0.47600424628530147,0.7532938709677449,0.76
14604,fixed_threshold,0.6991379310344827,0.43956639566395667,0.5397670549084859,0.1667741935483871,0.30086206896551726,0.29758064516129035,0.15086206896551724,0.6745937187058189,0.8664790322580422,0.58
14604,calibrated_score,0.3397548161120841,0.5817091454272864,0.42896627971254836,0.045,0.660245183887916,0.10758064516129032,0.15586690017513136,0.5989466868142111,0.8588809677419276,0.6
