seed,policy,long_term_trajectory_value,high_risk_accuracy,irreversible_violation_rate,deep_path_activation_rate,low_risk_opportunity_cost
9100,simple_principle,0.01316666666666725,0.5181102362204725,0.4818897637795276,0.0,0.0
9100,memoryless_long_horizon,0.01316666666666725,0.5181102362204725,0.4818897637795276,0.0,0.0
9100,simple_decay_memory,0.23316666666666946,0.6913385826771653,0.30866141732283464,0.0,0.0
9100,tdc_gen25_gated,0.3111666666666714,0.752755905511811,0.247244094488189,0.20533333333333334,0.0
9101,simple_principle,-0.04396666666666651,0.5007173601147776,0.49928263988522237,0.0,0.0
9101,memoryless_long_horizon,-0.04396666666666651,0.5007173601147776,0.49928263988522237,0.0,0.0
9101,simple_decay_memory,0.21403333333333383,0.6857962697274032,0.31420373027259685,0.0,0.0
9101,tdc_gen25_gated,0.3080333333333373,0.7532281205164992,0.2467718794835007,0.228,0.0
9102,simple_principle,-0.017733333333333004,0.5030487804878049,0.4969512195121951,0.0,0.0
9102,memoryless_long_horizon,-0.017733333333333004,0.5030487804878049,0.4969512195121951,0.0,0.0
9102,simple_decay_memory,0.2522666666666691,0.7088414634146342,0.29115853658536583,0.0,0.0
9102,tdc_gen25_gated,0.29826666666667045,0.7439024390243902,0.25609756097560976,0.228,0.0
9103,simple_principle,-0.0008666666666663323,0.5167173252279635,0.48328267477203646,0.0,0.0
9103,memoryless_long_horizon,-0.0008666666666663323,0.5167173252279635,0.48328267477203646,0.0,0.0
9103,simple_decay_memory,0.2551333333333354,0.7112462006079028,0.2887537993920973,0.0,0.0
9103,tdc_gen25_gated,0.29713333333333763,0.743161094224924,0.256838905775076,0.22,0.0
9104,simple_principle,-0.011699999999999626,0.4976303317535545,0.5023696682464455,0.0,0.0
9104,memoryless_long_horizon,-0.011699999999999626,0.4976303317535545,0.5023696682464455,0.0,0.0
9104,simple_decay_memory,0.26830000000000365,0.7187993680884676,0.2812006319115324,0.0,0.0
9104,tdc_gen25_gated,0.30230000000000373,0.7456556082148499,0.25434439178515006,0.212,0.0
9105,simple_principle,0.0014999999999999074,0.5131782945736434,0.4868217054263566,0.0,0.0
9105,memoryless_long_horizon,0.0014999999999999074,0.5131782945736434,0.4868217054263566,0.0,0.0
9105,simple_decay_memory,0.2275000000000011,0.6883720930232559,0.3116279069767442,0.0,0.0
9105,tdc_gen25_gated,0.28550000000000375,0.7333333333333333,0.26666666666666666,0.20733333333333334,0.0
9106,simple_principle,-0.029366666666665913,0.48833592534992226,0.5116640746500778,0.0,0.0
9106,memoryless_long_horizon,-0.029366666666665913,0.48833592534992226,0.5116640746500778,0.0,0.0
9106,simple_decay_memory,0.2286333333333336,0.6889580093312597,0.3110419906687403,0.0,0.0
9106,tdc_gen25_gated,0.27063333333333695,0.7216174183514774,0.27838258164852253,0.198,0.0
9107,simple_principle,-0.03216666666666631,0.5160839160839161,0.48391608391608393,0.0,0.0
