seed,policy,long_term_trajectory_value,decision_accuracy,high_stakes_accuracy,severe_error_rate,deep_path_activation_rate,mean_ethics_salience
10300,single_best_modality,0.08733333333333283,0.57,0.5731132075471698,0.4268867924528302,0.0,0.0
10300,simple_majority_vote,0.2578888888888898,0.6405555555555555,0.6615566037735849,0.3384433962264151,0.0,0.0
10300,flat_weighted_integrator,0.2578888888888898,0.6405555555555555,0.6615566037735849,0.3384433962264151,0.0,0.0
10300,ethical_sense_metaperception,0.20820000000000147,0.6405555555555555,0.6615566037735849,0.3384433962264151,0.6211111111111111,0.5592388888888872
10300,oracle_latent_audit_only,1.0,1.0,1.0,0.0,0.0,0.0
10301,single_best_modality,0.07399999999999982,0.5766666666666667,0.5701254275940707,0.4298745724059293,0.0,0.0
10301,simple_majority_vote,0.20200000000000015,0.6366666666666667,0.6282782212086659,0.3717217787913341,0.0,0.0
10301,flat_weighted_integrator,0.20200000000000015,0.6366666666666667,0.6282782212086659,0.3717217787913341,0.0,0.0
10301,ethical_sense_metaperception,0.15248888888888662,0.6366666666666667,0.6282782212086659,0.3717217787913341,0.6188888888888889,0.5646166666666642
10301,oracle_latent_audit_only,1.0,1.0,1.0,0.0,0.0,0.0
10302,single_best_modality,0.10922222222222146,0.5838888888888889,0.5898617511520737,0.41013824884792627,0.0,0.0
10302,simple_majority_vote,0.2528888888888901,0.6555555555555556,0.652073732718894,0.347926267281106,0.0,0.0
10302,flat_weighted_integrator,0.2528888888888901,0.6555555555555556,0.652073732718894,0.347926267281106,0.0,0.0
10302,ethical_sense_metaperception,0.2043555555555547,0.6555555555555556,0.652073732718894,0.347926267281106,0.6066666666666667,0.5560444444444433
10302,oracle_latent_audit_only,1.0,1.0,1.0,0.0,0.0,0.0
10303,single_best_modality,0.08999999999999932,0.5766666666666667,0.5644391408114559,0.43556085918854415,0.0,0.0
10303,simple_majority_vote,0.2402222222222237,0.6455555555555555,0.6372315035799523,0.3627684964200477,0.0,0.0
10303,flat_weighted_integrator,0.2402222222222237,0.6455555555555555,0.6372315035799523,0.3627684964200477,0.0,0.0
10303,ethical_sense_metaperception,0.19124444444444758,0.6455555555555555,0.6372315035799523,0.3627684964200477,0.6122222222222222,0.5517999999999988
10303,oracle_latent_audit_only,1.0,1.0,1.0,0.0,0.0,0.0
10304,single_best_modality,0.05444444444444454,0.5744444444444444,0.5573212258796821,0.4426787741203178,0.0,0.0
