policy,long_term_trajectory_value,trajectory_std,high_risk_accuracy,irreversible_violation_rate,deep_path_activation_rate,low_risk_opportunity_cost
ablate_channel_separation,0.15994618055555399,0.0270352182568217,0.6427445879671466,0.3572554120328533,0.21611111111111111,0.0
ablate_context_selection,0.21794618055555645,0.02722925171577516,0.6856366342133144,0.31436336578668556,0.3073402777777778,0.0
ablate_gate_always_deep,0.43247256944444845,0.018992081375296004,0.8768389234466974,0.12316107655330266,1.0,0.07999999999999872
full_tdc_gen25_gated,0.279258680555559,0.023118150002267218,0.7310199164129769,0.26898008358702313,0.21781944444444445,0.0
simple_decay_memory,0.2271545138888902,0.02738427777884383,0.692426012632124,0.307573987367876,0.0,0.0
