seed,policy,long_term_trajectory_value,high_risk_accuracy,irreversible_violation_rate,deep_path_activation_rate,low_risk_opportunity_cost
9300,simple_decay_memory,0.2888000000000029,0.7361111111111112,0.2638888888888889,0.0,0.0
9300,full_tdc_gen25_gated,0.32680000000000553,0.7654320987654321,0.2345679012345679,0.21533333333333332,0.0
9300,ablate_gate_always_deep,0.4313600000000041,0.8811728395061729,0.11882716049382716,1.0,0.07999999999999871
9300,ablate_context_selection,0.29280000000000383,0.7391975308641975,0.26080246913580246,0.29333333333333333,0.0
9300,ablate_channel_separation,0.22480000000000167,0.6867283950617284,0.3132716049382716,0.208,0.0
9301,simple_decay_memory,0.26786666666667014,0.7239884393063584,0.27601156069364163,0.0,0.0
9301,full_tdc_gen25_gated,0.34386666666667226,0.7789017341040463,0.22109826589595374,0.24733333333333332,0.0
9301,ablate_gate_always_deep,0.4707733333333369,0.9017341040462428,0.09826589595375723,1.0,0.07999999999999874
9301,ablate_context_selection,0.26986666666667,0.7254335260115607,0.2745664739884393,0.32666666666666666,0.0
9301,ablate_channel_separation,0.20786666666666664,0.680635838150289,0.319364161849711,0.24466666666666667,0.0
9302,simple_decay_memory,0.2353000000000031,0.6968325791855203,0.3031674208144796,0.0,0.0
9302,full_tdc_gen25_gated,0.29330000000000384,0.7405731523378583,0.2594268476621418,0.21,0.0
9302,ablate_gate_always_deep,0.42066000000000464,0.8702865761689291,0.1297134238310709,1.0,0.07999999999999872
9302,ablate_context_selection,0.21530000000000182,0.6817496229260935,0.31825037707390647,0.2986666666666667,0.0
9302,ablate_channel_separation,0.15329999999999805,0.6349924585218703,0.3650075414781297,0.20533333333333334,0.0
9303,simple_decay_memory,0.22606666666666755,0.6913946587537092,0.3086053412462908,0.0,0.0
9303,full_tdc_gen25_gated,0.2960666666666706,0.7433234421364985,0.25667655786350146,0.22,0.0
9303,ablate_gate_always_deep,0.42201333333333774,0.8694362017804155,0.13056379821958458,1.0,0.07999999999999872
9303,ablate_context_selection,0.23006666666666786,0.6943620178041543,0.3056379821958457,0.308,0.0
9303,ablate_channel_separation,0.15606666666666485,0.6394658753709199,0.36053412462908013,0.20733333333333334,0.0
9304,simple_decay_memory,0.23730000000000165,0.698340874811463,0.30165912518853694,0.0,0.0
9304,full_tdc_gen25_gated,0.2953000000000041,0.7420814479638009,0.2579185520361991,0.22533333333333333,0.0
9304,ablate_gate_always_deep,0.4446600000000031,0.8883861236802413,0.11161387631975868,1.0,0.07999999999999872
9304,ablate_context_selection,0.22530000000000178,0.6892911010558069,0.31070889894419307,0.30133333333333334,0.0
9304,ablate_channel_separation,0.1632999999999978,0.6425339366515838,0.3574660633484163,0.21066666666666667,0.0
9305,simple_decay_memory,0.24850000000000322,0.7081481481481482,0.29185185185185186,0.0,0.0
9305,full_tdc_gen25_gated,0.3185000000000053,0.76,0.24,0.23066666666666666,0.0
9305,ablate_gate_always_deep,0.44450000000000395,0.8859259259259259,0.11407407407407408,1.0,0.07999999999999872
9305,ablate_context_selection,0.27250000000000396,0.725925925925926,0.2740740740740741,0.312,0.0
9305,ablate_channel_separation,0.19450000000000003,0.6681481481481482,0.33185185185185184,0.21733333333333332,0.0
9306,simple_decay_memory,0.20286666666666664,0.6722054380664653,0.32779456193353473,0.0,0.0
9306,full_tdc_gen25_gated,0.2688666666666712,0.7220543806646526,0.27794561933534745,0.20533333333333334,0.0
9306,ablate_gate_always_deep,0.41017333333333705,0.8625377643504532,0.13746223564954682,1.0,0.07999999999999872
9306,ablate_context_selection,0.19486666666666685,0.6661631419939577,0.3338368580060423,0.3006666666666667,0.0
9306,ablate_channel_separation,0.13686666666666453,0.622356495468278,0.3776435045317221,0.20533333333333334,0.0
9307,simple_decay_memory,0.18836666666666627,0.669024045261669,0.33097595473833097,0.0,0.0
9307,full_tdc_gen25_gated,0.232366666666668,0.7001414427157001,0.29985855728429983,0.23,0.0
9307,ablate_gate_always_deep,0.4240733333333388,0.8656294200848657,0.13437057991513437,1.0,0.07999999999999874
9307,ablate_context_selection,0.19236666666666644,0.6718528995756718,0.32814710042432815,0.322,0.0
9307,ablate_channel_separation,0.15036666666666448,0.6421499292786421,0.3578500707213578,0.23133333333333334,0.0
9308,simple_decay_memory,0.2597333333333359,0.7153614457831325,0.28463855421686746,0.0,0.0
9308,full_tdc_gen25_gated,0.2857333333333371,0.7349397590361446,0.26506024096385544,0.21533333333333332,0.0
9308,ablate_gate_always_deep,0.4431466666666711,0.8870481927710844,0.11295180722891567,1.0,0.07999999999999872
9308,ablate_context_selection,0.24173333333333455,0.7018072289156626,0.29819277108433734,0.292,0.0
9308,ablate_channel_separation,0.19173333333333217,0.6641566265060241,0.3358433734939759,0.21666666666666667,0.0
9309,simple_decay_memory,0.28406666666667013,0.7344213649851632,0.2655786350148368,0.0,0.0
9309,full_tdc_gen25_gated,0.30806666666667076,0.7522255192878339,0.24777448071216618,0.22533333333333333,0.0
9309,ablate_gate_always_deep,0.42001333333333846,0.8679525222551929,0.13204747774480713,1.0,0.07999999999999872
9309,ablate_context_selection,0.2560666666666701,0.7136498516320475,0.28635014836795253,0.318,0.0
9309,ablate_channel_separation,0.16006666666666472,0.642433234421365,0.35756676557863504,0.22533333333333333,0.0
9310,simple_decay_memory,0.21436666666666698,0.678516228748068,0.321483771251932,0.0,0.0
9310,full_tdc_gen25_gated,0.28436666666667,0.732612055641422,0.26738794435857804,0.19933333333333333,0.0
9310,ablate_gate_always_deep,0.39687333333333813,0.8547140649149922,0.14528593508500773,1.0,0.07999999999999871
