discount,model,gross_trajectory,avg_base_info_cost,net_trajectory,final_recall,core_protection,capture_resistance,final_quality
0.25,simple_q090_a008,0.7278858793650763,0.05631999999999951,0.6715658793650768,0.8294792806574519,0.6762949349768405,0.8587846547038857,0.9
0.25,simple_q090_a016,0.7223509015872986,0.05631999999999951,0.6660309015872992,0.8303768206204792,0.6775106304316515,0.8836494823884974,0.9
0.25,tdc_evidence_validated,0.6963641714285679,0.04060523356763229,0.6862128630366598,0.8370847761088033,0.6852144582573805,0.8223878102586153,0.9084003406457951
0.5,simple_q090_a008,0.7278858793650763,0.05631999999999951,0.6715658793650768,0.8294792806574519,0.6762949349768405,0.8587846547038857,0.9
0.5,simple_q090_a016,0.7223509015872986,0.05631999999999951,0.6660309015872992,0.8303768206204792,0.6775106304316515,0.8836494823884974,0.9
0.5,tdc_evidence_validated,0.6963641714285679,0.04060523356763229,0.6760615546447518,0.8370847761088033,0.6852144582573805,0.8223878102586153,0.9084003406457951
0.75,simple_q090_a008,0.7278858793650763,0.05631999999999951,0.6715658793650768,0.8294792806574519,0.6762949349768405,0.8587846547038857,0.9
0.75,simple_q090_a016,0.7223509015872986,0.05631999999999951,0.6660309015872992,0.8303768206204792,0.6775106304316515,0.8836494823884974,0.9
0.75,tdc_evidence_validated,0.6963641714285679,0.04060523356763229,0.6659102462528437,0.8370847761088033,0.6852144582573805,0.8223878102586153,0.9084003406457951
1.0,simple_q090_a008,0.7278858793650763,0.05631999999999951,0.6715658793650768,0.8294792806574519,0.6762949349768405,0.8587846547038857,0.9
1.0,simple_q090_a016,0.7223509015872986,0.05631999999999951,0.6660309015872992,0.8303768206204792,0.6775106304316515,0.8836494823884974,0.9
1.0,tdc_evidence_validated,0.6963641714285679,0.04060523356763229,0.6557589378609356,0.8370847761088033,0.6852144582573805,0.8223878102586153,0.9084003406457951
1.25,simple_q090_a008,0.7278858793650763,0.05631999999999951,0.6715658793650768,0.8294792806574519,0.6762949349768405,0.8587846547038857,0.9
1.25,simple_q090_a016,0.7223509015872986,0.05631999999999951,0.6660309015872992,0.8303768206204792,0.6775106304316515,0.8836494823884974,0.9
1.25,tdc_evidence_validated,0.6963641714285679,0.04060523356763229,0.6456076294690275,0.8370847761088033,0.6852144582573805,0.8223878102586153,0.9084003406457951
