seed,discount,model,gross_trajectory,avg_base_info_cost,applied_discount,net_trajectory,final_recall,core_protection,capture_resistance,final_quality
18000,0.25,simple_q090_a008,0.720295999999997,0.05631999999999951,1.0,0.6639759999999976,0.8588235294117647,0.6941176470588235,0.8628795298726739,0.9
18000,0.25,simple_q090_a016,0.7265893333333305,0.05631999999999951,1.0,0.670269333333331,0.7466666666666667,0.5866666666666667,0.8781190019193859,0.9
18000,0.25,tdc_evidence_validated,0.6981982222222186,0.043790204010980424,0.25,0.6872506712194735,0.7623762376237624,0.6435643564356436,0.8354066985645933,0.9086249568121081
18000,0.5,simple_q090_a008,0.720295999999997,0.05631999999999951,1.0,0.6639759999999976,0.8588235294117647,0.6941176470588235,0.8628795298726739,0.9
18000,0.5,simple_q090_a016,0.7265893333333305,0.05631999999999951,1.0,0.670269333333331,0.7466666666666667,0.5866666666666667,0.8781190019193859,0.9
18000,0.5,tdc_evidence_validated,0.6981982222222186,0.043790204010980424,0.5,0.6763031202167284,0.7623762376237624,0.6435643564356436,0.8354066985645933,0.9086249568121081
18000,0.75,simple_q090_a008,0.720295999999997,0.05631999999999951,1.0,0.6639759999999976,0.8588235294117647,0.6941176470588235,0.8628795298726739,0.9
18000,0.75,simple_q090_a016,0.7265893333333305,0.05631999999999951,1.0,0.670269333333331,0.7466666666666667,0.5866666666666667,0.8781190019193859,0.9
18000,0.75,tdc_evidence_validated,0.6981982222222186,0.043790204010980424,0.75,0.6653555692139833,0.7623762376237624,0.6435643564356436,0.8354066985645933,0.9086249568121081
18000,1.0,simple_q090_a008,0.720295999999997,0.05631999999999951,1.0,0.6639759999999976,0.8588235294117647,0.6941176470588235,0.8628795298726739,0.9
18000,1.0,simple_q090_a016,0.7265893333333305,0.05631999999999951,1.0,0.670269333333331,0.7466666666666667,0.5866666666666667,0.8781190019193859,0.9
18000,1.0,tdc_evidence_validated,0.6981982222222186,0.043790204010980424,1.0,0.6544080182112382,0.7623762376237624,0.6435643564356436,0.8354066985645933,0.9086249568121081
18000,1.25,simple_q090_a008,0.720295999999997,0.05631999999999951,1.0,0.6639759999999976,0.8588235294117647,0.6941176470588235,0.8628795298726739,0.9
18000,1.25,simple_q090_a016,0.7265893333333305,0.05631999999999951,1.0,0.670269333333331,0.7466666666666667,0.5866666666666667,0.8781190019193859,0.9
18000,1.25,tdc_evidence_validated,0.6981982222222186,0.043790204010980424,1.25,0.643460467208493,0.7623762376237624,0.6435643564356436,0.8354066985645933,0.9086249568121081
18001,0.25,simple_q090_a008,0.757841777777775,0.05631999999999951,1.0,0.7015217777777755,0.918918918918919,0.7567567567567568,0.8634146341463415,0.9
18001,0.25,simple_q090_a016,0.7168746666666638,0.05631999999999951,1.0,0.6605546666666643,0.8266666666666667,0.7066666666666667,0.8885714285714286,0.9
18001,0.25,tdc_evidence_validated,0.7129395555555524,0.0428276874582807,0.25,0.7022326336909822,0.8295454545454546,0.75,0.8397312859884837,0.9111604038041763
18001,0.5,simple_q090_a008,0.757841777777775,0.05631999999999951,1.0,0.7015217777777755,0.918918918918919,0.7567567567567568,0.8634146341463415,0.9
18001,0.5,simple_q090_a016,0.7168746666666638,0.05631999999999951,1.0,0.6605546666666643,0.8266666666666667,0.7066666666666667,0.8885714285714286,0.9
18001,0.5,tdc_evidence_validated,0.7129395555555524,0.0428276874582807,0.5,0.6915257118264121,0.8295454545454546,0.75,0.8397312859884837,0.9111604038041763
18001,0.75,simple_q090_a008,0.757841777777775,0.05631999999999951,1.0,0.7015217777777755,0.918918918918919,0.7567567567567568,0.8634146341463415,0.9
