seed,model,final_A_TF,final_R_ethical,final_H_self,final_capture_resistance,decision_accuracy,high_stakes_accuracy,long_term_trajectory_value,external_capture_rate,early_R_gain,late_R_gain
11800,no_codevelopment,0.22,0.54,0.68,0.28,0.4866666666666667,0.4558011049723757,-0.005833333333333334,0.7003567181926278,0.0,0.0
11800,one_way_thirdfactor_to_ethicalsense,0.22,0.5,0.9,0.1,0.4975,0.4393530997304582,-0.0225,0.6774580335731415,-0.040000000000000036,0.0
11800,bidirectional_codevelopment,0.1,0.5,0.9,0.1,0.4791666666666667,0.4351851851851852,-0.029166666666666667,0.6989374262101535,-0.040000000000000036,0.0
11801,no_codevelopment,0.22,0.54,0.68,0.28,0.4970833333333333,0.47294776119402987,0.02625,0.6982968369829684,0.0,0.0
11801,one_way_thirdfactor_to_ethicalsense,0.22,0.5,0.9,0.1,0.5091666666666667,0.4583333333333333,0.0325,0.681437125748503,-0.040000000000000036,0.0
11801,bidirectional_codevelopment,0.1,0.5,0.9,0.1,0.47,0.4261992619926199,-0.04833333333333333,0.7109283196239718,-0.040000000000000036,0.0
11802,no_codevelopment,0.22,0.54,0.68,0.28,0.4875,0.45422222222222225,-0.024166666666666666,0.6777251184834123,0.0,0.0
11802,one_way_thirdfactor_to_ethicalsense,0.22,0.5,0.9,0.1,0.48291666666666666,0.4421831637372803,-0.019583333333333335,0.7165450121654501,-0.040000000000000036,0.0
11802,bidirectional_codevelopment,0.1,0.5,0.9,0.1,0.47791666666666666,0.4425925925925926,-0.02375,0.7268408551068883,-0.040000000000000036,0.0
11803,no_codevelopment,0.22,0.54,0.68,0.28,0.4945833333333333,0.4457831325301205,-0.00375,0.6826697892271663,0.0,0.0
11803,one_way_thirdfactor_to_ethicalsense,0.22,0.5,0.9,0.1,0.47125,0.42393320964749537,-0.04625,0.7101449275362319,-0.040000000000000036,0.0
11803,bidirectional_codevelopment,0.1,0.5,0.9,0.1,0.46541666666666665,0.43302752293577984,-0.04958333333333333,0.6685779816513762,-0.040000000000000036,0.0
11804,no_codevelopment,0.22,0.54,0.68,0.28,0.48333333333333334,0.4590780809031044,0.004166666666666667,0.7101449275362319,0.0,0.0
11804,one_way_thirdfactor_to_ethicalsense,0.22,0.5,0.9,0.1,0.4625,0.40130353817504655,-0.07333333333333333,0.719441210710128,-0.040000000000000036,0.0
11804,bidirectional_codevelopment,0.1,0.5,0.9,0.1,0.4875,0.435546875,0.005833333333333334,0.6750902527075813,-0.040000000000000036,0.0
11805,no_codevelopment,0.22,0.54,0.68,0.28,0.5083333333333333,0.47962085308056873,0.050833333333333335,0.6977025392986699,0.0,0.0
11805,one_way_thirdfactor_to_ethicalsense,0.22,0.5,0.9,0.1,0.47208333333333335,0.39660056657223797,-0.06041666666666667,0.706855791962175,-0.040000000000000036,0.0
11805,bidirectional_codevelopment,0.1,0.5,0.9,0.1,0.49083333333333334,0.4165898617511521,-0.03666666666666667,0.6927502876869965,-0.040000000000000036,0.0
11806,no_codevelopment,0.22,0.54,0.68,0.28,0.46708333333333335,0.43683702989392476,-0.019583333333333335,0.7040094339622641,0.0,0.0
11806,one_way_thirdfactor_to_ethicalsense,0.22,0.5,0.9,0.1,0.4891666666666667,0.4527777777777778,-0.0033333333333333335,0.6918671248568156,-0.040000000000000036,-0.0039599999999999635
11806,bidirectional_codevelopment,0.1,0.5,0.9,0.1,0.47708333333333336,0.42525533890436396,-0.03875,0.7129300118623962,-0.040000000000000036,0.0
11807,no_codevelopment,0.22,0.54,0.68,0.28,0.47375,0.43202979515828677,-0.034583333333333334,0.7442922374429224,0.0,0.0
11807,one_way_thirdfactor_to_ethicalsense,0.22,0.5,0.9,0.1,0.4925,0.46001881467544686,0.014166666666666666,0.6821983273596177,-0.040000000000000036,0.0
11807,bidirectional_codevelopment,0.1,0.5,0.9,0.1,0.49833333333333335,0.44434137291280146,-0.0008333333333333334,0.6859903381642513,-0.040000000000000036,0.0
11808,no_codevelopment,0.22,0.54,0.68,0.28,0.4891666666666667,0.44995408631772266,-0.01,0.7034482758620689,0.0,0.0
11808,one_way_thirdfactor_to_ethicalsense,0.22,0.5,0.9,0.1,0.48625,0.43864468864468864,-0.024583333333333332,0.6852731591448931,-0.040000000000000036,0.0
11808,bidirectional_codevelopment,0.1,0.5,0.9,0.1,0.4791666666666667,0.4250229990800368,-0.041666666666666664,0.7024390243902439,-0.040000000000000036,0.0
11809,no_codevelopment,0.22,0.54,0.68,0.28,0.48375,0.45161290322580644,-0.012083333333333333,0.7125140924464487,0.0,0.0
11809,one_way_thirdfactor_to_ethicalsense,0.22,0.5,0.9,0.1,0.5025,0.4604051565377532,0.014166666666666666,0.670263788968825,-0.040000000000000036,-0.0039599999999999635
11809,bidirectional_codevelopment,0.1,0.5,0.9,0.1,0.49,0.4481818181818182,-0.015833333333333335,0.6905311778290993,-0.040000000000000036,0.0
11810,no_codevelopment,0.22,0.54,0.68,0.28,0.51,0.4439295644114921,0.01,0.6864608076009501,0.0,0.0
11810,one_way_thirdfactor_to_ethicalsense,0.22,0.50396,0.9,0.1,0.46708333333333335,0.4172794117647059,-0.06125,0.720677146311971,-0.040000000000000036,0.0039599999999999635
11810,bidirectional_codevelopment,0.1,0.5,0.9,0.1,0.48291666666666666,0.4297224709042077,-0.04791666666666667,0.7380952380952381,-0.040000000000000036,0.0
11811,no_codevelopment,0.22,0.54,0.68,0.28,0.49875,0.47506799637352676,0.01625,0.7011764705882353,0.0,0.0
11811,one_way_thirdfactor_to_ethicalsense,0.22,0.50396,0.9,0.1,0.4666666666666667,0.4100378787878788,-0.0525,0.7080957810718358,-0.03604000000000007,0.0039599999999999635
11811,bidirectional_codevelopment,0.1,0.5,0.9,0.1,0.4895833333333333,0.4491682070240296,-0.007083333333333333,0.6757090012330457,-0.040000000000000036,0.0
11812,no_codevelopment,0.22,0.54,0.68,0.28,0.4895833333333333,0.44896115627822947,-0.01875,0.6981981981981982,0.0,0.0
11812,one_way_thirdfactor_to_ethicalsense,0.22,0.5,0.9,0.1,0.50125,0.44821264894592117,-0.0004166666666666667,0.6727493917274939,-0.040000000000000036,0.0
11812,bidirectional_codevelopment,0.1,0.5,0.9,0.1,0.47,0.4242135367016206,-0.03333333333333333,0.7367816091954023,-0.03820000000000001,-0.0018000000000000238
11813,no_codevelopment,0.22,0.54,0.68,0.28,0.48541666666666666,0.46591970121381887,0.00875,0.7082833133253301,0.0,0.0
11813,one_way_thirdfactor_to_ethicalsense,0.22,0.5,0.9,0.1,0.49875,0.4618874773139746,0.004583333333333333,0.6942355889724311,-0.040000000000000036,0.0
11813,bidirectional_codevelopment,0.1,0.5,0.9,0.1,0.46458333333333335,0.4070631970260223,-0.06708333333333333,0.7289940828402367,-0.040000000000000036,0.0
11814,no_codevelopment,0.22,0.54,0.68,0.28,0.4970833333333333,0.4874418604651163,0.03791666666666667,0.6765039727582293,0.0,0.0
