seed,model,phase,A_TF,R_ethical,H_self,capture_resistance,R_gain_in_phase
11803,bidirectional_codevelopment,5,0.1,0.5,0.9,0.1,0.0
11803,bidirectional_codevelopment,6,0.1,0.5,0.9,0.1,0.0
11804,no_codevelopment,1,0.22,0.54,0.68,0.28,0.0
11804,no_codevelopment,2,0.22,0.54,0.68,0.28,0.0
11804,no_codevelopment,3,0.22,0.54,0.68,0.28,0.0
11804,no_codevelopment,4,0.22,0.54,0.68,0.28,0.0
11804,no_codevelopment,5,0.22,0.54,0.68,0.28,0.0
11804,no_codevelopment,6,0.22,0.54,0.68,0.28,0.0
11804,one_way_thirdfactor_to_ethicalsense,1,0.22,0.5,0.9,0.1,-0.040000000000000036
11804,one_way_thirdfactor_to_ethicalsense,2,0.22,0.5,0.9,0.1,0.0
11804,one_way_thirdfactor_to_ethicalsense,3,0.22,0.5,0.9,0.1,0.0
11804,one_way_thirdfactor_to_ethicalsense,4,0.22,0.5,0.9,0.1,0.0
11804,one_way_thirdfactor_to_ethicalsense,5,0.22,0.5,0.9,0.1,0.0
11804,one_way_thirdfactor_to_ethicalsense,6,0.22,0.5,0.9,0.1,0.0
11804,bidirectional_codevelopment,1,0.1,0.5,0.9,0.1,-0.040000000000000036
11804,bidirectional_codevelopment,2,0.1,0.5,0.9,0.1,0.0
11804,bidirectional_codevelopment,3,0.1,0.5,0.9,0.1,0.0
11804,bidirectional_codevelopment,4,0.1,0.5,0.9,0.1,0.0
11804,bidirectional_codevelopment,5,0.1,0.5,0.9,0.1,0.0
11804,bidirectional_codevelopment,6,0.1,0.5,0.9,0.1,0.0
11805,no_codevelopment,1,0.22,0.54,0.68,0.28,0.0
11805,no_codevelopment,2,0.22,0.54,0.68,0.28,0.0
11805,no_codevelopment,3,0.22,0.54,0.68,0.28,0.0
11805,no_codevelopment,4,0.22,0.54,0.68,0.28,0.0
11805,no_codevelopment,5,0.22,0.54,0.68,0.28,0.0
11805,no_codevelopment,6,0.22,0.54,0.68,0.28,0.0
11805,one_way_thirdfactor_to_ethicalsense,1,0.22,0.5,0.9,0.1,-0.040000000000000036
11805,one_way_thirdfactor_to_ethicalsense,2,0.22,0.5,0.9,0.1,0.0
11805,one_way_thirdfactor_to_ethicalsense,3,0.22,0.50396,0.9,0.1,0.0039599999999999635
11805,one_way_thirdfactor_to_ethicalsense,4,0.22,0.5,0.9,0.1,-0.0039599999999999635
11805,one_way_thirdfactor_to_ethicalsense,5,0.22,0.5,0.9,0.1,0.0
11805,one_way_thirdfactor_to_ethicalsense,6,0.22,0.5,0.9,0.1,0.0
11805,bidirectional_codevelopment,1,0.1,0.5,0.9,0.1,-0.040000000000000036
11805,bidirectional_codevelopment,2,0.1,0.5,0.9,0.1,0.0
11805,bidirectional_codevelopment,3,0.1,0.5,0.9,0.1,0.0
11805,bidirectional_codevelopment,4,0.1,0.5,0.9,0.1,0.0
11805,bidirectional_codevelopment,5,0.1,0.5,0.9,0.1,0.0
11805,bidirectional_codevelopment,6,0.1,0.5,0.9,0.1,0.0
11806,no_codevelopment,1,0.22,0.54,0.68,0.28,0.0
11806,no_codevelopment,2,0.22,0.54,0.68,0.28,0.0
11806,no_codevelopment,3,0.22,0.54,0.68,0.28,0.0
11806,no_codevelopment,4,0.22,0.54,0.68,0.28,0.0
11806,no_codevelopment,5,0.22,0.54,0.68,0.28,0.0
11806,no_codevelopment,6,0.22,0.54,0.68,0.28,0.0
11806,one_way_thirdfactor_to_ethicalsense,1,0.22,0.5,0.9,0.1,-0.040000000000000036
11806,one_way_thirdfactor_to_ethicalsense,2,0.22,0.5,0.9,0.1,0.0
11806,one_way_thirdfactor_to_ethicalsense,3,0.22,0.5,0.9,0.1,0.0
11806,one_way_thirdfactor_to_ethicalsense,4,0.22,0.50396,0.9,0.1,0.0039599999999999635
11806,one_way_thirdfactor_to_ethicalsense,5,0.22,0.5,0.9,0.1,-0.0039599999999999635
11806,one_way_thirdfactor_to_ethicalsense,6,0.22,0.5,0.9,0.1,0.0
11806,bidirectional_codevelopment,1,0.1,0.5,0.9,0.1,-0.040000000000000036
11806,bidirectional_codevelopment,2,0.1,0.5,0.9,0.1,0.0
11806,bidirectional_codevelopment,3,0.1,0.5,0.9,0.1,0.0
11806,bidirectional_codevelopment,4,0.1,0.5,0.9,0.1,0.0
11806,bidirectional_codevelopment,5,0.1,0.5018,0.9,0.1,0.0018000000000000238
11806,bidirectional_codevelopment,6,0.1,0.5,0.9,0.1,-0.0018000000000000238
11807,no_codevelopment,1,0.22,0.54,0.68,0.28,0.0
11807,no_codevelopment,2,0.22,0.54,0.68,0.28,0.0
11807,no_codevelopment,3,0.22,0.54,0.68,0.28,0.0
11807,no_codevelopment,4,0.22,0.54,0.68,0.28,0.0
11807,no_codevelopment,5,0.22,0.54,0.68,0.28,0.0
11807,no_codevelopment,6,0.22,0.54,0.68,0.28,0.0
11807,one_way_thirdfactor_to_ethicalsense,1,0.22,0.50396,0.9,0.1,-0.03604000000000007
11807,one_way_thirdfactor_to_ethicalsense,2,0.22,0.5,0.9,0.1,-0.0039599999999999635
11807,one_way_thirdfactor_to_ethicalsense,3,0.22,0.5,0.9,0.1,0.0
11807,one_way_thirdfactor_to_ethicalsense,4,0.22,0.5,0.9,0.1,0.0
11807,one_way_thirdfactor_to_ethicalsense,5,0.22,0.5,0.9,0.1,0.0
11807,one_way_thirdfactor_to_ethicalsense,6,0.22,0.5,0.9,0.1,0.0
11807,bidirectional_codevelopment,1,0.1,0.5018,0.9,0.1,-0.03820000000000001
11807,bidirectional_codevelopment,2,0.1,0.5,0.9,0.1,-0.0018000000000000238
11807,bidirectional_codevelopment,3,0.1,0.5,0.9,0.1,0.0
11807,bidirectional_codevelopment,4,0.1,0.5,0.9,0.1,0.0
11807,bidirectional_codevelopment,5,0.1,0.5,0.9,0.1,0.0
11807,bidirectional_codevelopment,6,0.1,0.5,0.9,0.1,0.0
11808,no_codevelopment,1,0.22,0.54,0.68,0.28,0.0
11808,no_codevelopment,2,0.22,0.54,0.68,0.28,0.0
11808,no_codevelopment,3,0.22,0.54,0.68,0.28,0.0
11808,no_codevelopment,4,0.22,0.54,0.68,0.28,0.0
11808,no_codevelopment,5,0.22,0.54,0.68,0.28,0.0
11808,no_codevelopment,6,0.22,0.54,0.68,0.28,0.0
