seed,model,phase,A_TF,R_ethical,H_self,capture_resistance,R_gain_in_phase
11816,bidirectional_codevelopment,2,0.1,0.5,0.9,0.1,0.0
11816,bidirectional_codevelopment,3,0.1,0.5,0.9,0.1,0.0
11816,bidirectional_codevelopment,4,0.1,0.5,0.9,0.1,0.0
11816,bidirectional_codevelopment,5,0.1,0.5,0.9,0.1,0.0
11816,bidirectional_codevelopment,6,0.1,0.5,0.9,0.1,0.0
11817,no_codevelopment,1,0.22,0.54,0.68,0.28,0.0
11817,no_codevelopment,2,0.22,0.54,0.68,0.28,0.0
11817,no_codevelopment,3,0.22,0.54,0.68,0.28,0.0
11817,no_codevelopment,4,0.22,0.54,0.68,0.28,0.0
11817,no_codevelopment,5,0.22,0.54,0.68,0.28,0.0
11817,no_codevelopment,6,0.22,0.54,0.68,0.28,0.0
11817,one_way_thirdfactor_to_ethicalsense,1,0.22,0.5,0.9,0.1,-0.040000000000000036
11817,one_way_thirdfactor_to_ethicalsense,2,0.22,0.5,0.9,0.1,0.0
11817,one_way_thirdfactor_to_ethicalsense,3,0.22,0.5,0.9,0.1,0.0
11817,one_way_thirdfactor_to_ethicalsense,4,0.22,0.5,0.9,0.1,0.0
11817,one_way_thirdfactor_to_ethicalsense,5,0.22,0.5,0.9,0.1,0.0
11817,one_way_thirdfactor_to_ethicalsense,6,0.22,0.5,0.9,0.1,0.0
11817,bidirectional_codevelopment,1,0.1,0.5,0.9,0.1,-0.040000000000000036
11817,bidirectional_codevelopment,2,0.1,0.5018,0.9,0.1,0.0018000000000000238
11817,bidirectional_codevelopment,3,0.1,0.5,0.9,0.1,-0.0018000000000000238
11817,bidirectional_codevelopment,4,0.1,0.5,0.9,0.1,0.0
11817,bidirectional_codevelopment,5,0.1,0.5,0.9,0.1,0.0
11817,bidirectional_codevelopment,6,0.1,0.5,0.9,0.1,0.0
11818,no_codevelopment,1,0.22,0.54,0.68,0.28,0.0
11818,no_codevelopment,2,0.22,0.54,0.68,0.28,0.0
11818,no_codevelopment,3,0.22,0.54,0.68,0.28,0.0
11818,no_codevelopment,4,0.22,0.54,0.68,0.28,0.0
11818,no_codevelopment,5,0.22,0.54,0.68,0.28,0.0
11818,no_codevelopment,6,0.22,0.54,0.68,0.28,0.0
11818,one_way_thirdfactor_to_ethicalsense,1,0.22,0.5,0.9,0.1,-0.040000000000000036
11818,one_way_thirdfactor_to_ethicalsense,2,0.22,0.5,0.9,0.1,0.0
11818,one_way_thirdfactor_to_ethicalsense,3,0.22,0.5,0.9,0.1,0.0
11818,one_way_thirdfactor_to_ethicalsense,4,0.22,0.5,0.9,0.1,0.0
11818,one_way_thirdfactor_to_ethicalsense,5,0.22,0.5,0.9,0.1,0.0
11818,one_way_thirdfactor_to_ethicalsense,6,0.22,0.5,0.9,0.1,0.0
11818,bidirectional_codevelopment,1,0.1,0.5,0.9,0.1,-0.040000000000000036
11818,bidirectional_codevelopment,2,0.1,0.5,0.9,0.1,0.0
11818,bidirectional_codevelopment,3,0.1,0.5,0.9,0.1,0.0
11818,bidirectional_codevelopment,4,0.1,0.5018,0.9,0.1,0.0018000000000000238
11818,bidirectional_codevelopment,5,0.1,0.5018,0.9,0.1,0.0
11818,bidirectional_codevelopment,6,0.1,0.5,0.9,0.1,-0.0018000000000000238
11819,no_codevelopment,1,0.22,0.54,0.68,0.28,0.0
11819,no_codevelopment,2,0.22,0.54,0.68,0.28,0.0
11819,no_codevelopment,3,0.22,0.54,0.68,0.28,0.0
11819,no_codevelopment,4,0.22,0.54,0.68,0.28,0.0
11819,no_codevelopment,5,0.22,0.54,0.68,0.28,0.0
11819,no_codevelopment,6,0.22,0.54,0.68,0.28,0.0
11819,one_way_thirdfactor_to_ethicalsense,1,0.22,0.5,0.9,0.1,-0.040000000000000036
