experiment,metric,value
v411,pairwise_auc,0.7475144095147509
v411,flip15_error,0.161
v411,two_stage_error,0.15003333333333332
v411,error_improvement,0.01096666666666668
v411,corrected_given_probe,0.11955555555555555
v411,harmful_given_probe,0.09911111111111111
v411,net_corrective_minus_harmful,0.020444444444444446
K5,SCALAR_TRUST_TRANSFER:capture_rate,0.04591666666666667
K5,SCALAR_TRUST_TRANSFER:truthful_factual_acceptance,0.9713500874599417
K5,SCALAR_TRUST_TRANSFER:truthful_normative_acceptance,0.9720758877450353
K5,SCALAR_TRUST_TRANSFER:median_normative_recovery,999.0
K5,SCALAR_TRUST_TRANSFER:mean_epistemic_drop_after_strategic_manipulation,0.0
K5,GLOBAL_REOPEN:capture_rate,0.013833333333333333
K5,GLOBAL_REOPEN:truthful_factual_acceptance,0.8329640773076712
K5,GLOBAL_REOPEN:truthful_normative_acceptance,0.8357735090929778
K5,GLOBAL_REOPEN:median_normative_recovery,999.0
K5,GLOBAL_REOPEN:mean_epistemic_drop_after_strategic_manipulation,0.0
K5,MULTIDIMENSIONAL_TRUST:capture_rate,0.0042499999999999994
K5,MULTIDIMENSIONAL_TRUST:truthful_factual_acceptance,0.9160043576715008
K5,MULTIDIMENSIONAL_TRUST:truthful_normative_acceptance,0.6675020871434094
K5,MULTIDIMENSIONAL_TRUST:median_normative_recovery,0.0
K5,MULTIDIMENSIONAL_TRUST:mean_epistemic_drop_after_strategic_manipulation,0.6544262462794039
