condition,scale,seed,scale_hat,credit_mae_vs_oracle,premature_recharge_error,missed_recharge_error,authority_mae_vs_oracle,normalized_short_response,normalized_long_response,normalized_discrimination_ratio,reversal_recovery,peak_saturation_rate,transfer_stability,dependency_precision,dependency_recall,composite
ESTIMATED_SCALE_NORMALIZED,0.5,26511.5,0.49419869502179187,0.03851944544214916,0.014856305644347726,0.006113402085499372,0.002363535950522422,0.2948563056443478,0.9810992636815993,3.3495998588946954,1.0,0.0,0.9496816543207228,1.0,1.0,0.9457918560505548
ESTIMATED_SCALE_NORMALIZED,1.0,26511.5,1.0254475259772595,0.026083271796345547,0.005500742374069536,0.006592182345057263,0.00193032880447719,0.28550074237406964,0.9789243696013452,3.4328772201757203,1.0,0.0,0.9347107973104167,1.0,1.0,0.9630763192889198
ESTIMATED_SCALE_NORMALIZED,2.0,26511.5,1.982209865141255,0.02773942301203106,0.008049323884728085,0.004899968970165934,0.0018375662614599209,0.28804932388472815,0.9815182150829928,3.4166472563978356,1.0,0.0,0.9310201365092391,1.0,1.0,0.9605571282961577
ESTIMATED_SCALE_NORMALIZED,4.0,26511.5,4.246454572721492,0.02744674515441911,0.004706338308847547,0.008927477732500426,0.002150568217090956,0.2847063383088476,0.9759593336676002,3.432386579382754,1.0,0.0,0.9357903947571301,1.0,1.0,0.9609523318963388
FIXED_TAU12,0.5,26511.5,1.0,0.10573412141917621,0.0,0.13130486477897974,0.015453946863334856,0.28000000000000014,0.8513655696658154,3.0405913202350536,1.0,0.0,0.8765146001744065,1.0,1.0,0.8006940376080435
FIXED_TAU12,1.0,26511.5,1.0,0.0,0.0,0.0,2.2756468330637224e-05,0.28000000000000014,0.9826704344447951,3.509537265874267,1.0,0.0,0.936410938794149,1.0,1.0,0.9955260092472599
FIXED_TAU12,2.0,26511.5,1.0,0.19566327534709102,0.23721894069162042,0.0,0.002349716072430763,0.5172189406916203,0.9995549385875436,1.9325567181490841,1.0,0.0,0.9937266105123178,1.0,1.0,0.6833820997679361
FIXED_TAU12,4.0,26511.5,1.0,0.3212346895989585,0.5087240520049569,0.0,0.0023437334707615038,0.7887240520049569,0.9999994151852976,1.2678698115561118,1.0,0.0,0.9919582797996093,1.0,1.0,0.6405631682257065
NO_REPLENISH,0.5,26511.5,1.0,0.3228077631453597,0.0,0.7026704344447952,0.2798272176684969,0.28000000000000014,0.2800000000000001,0.9999999999999997,0.9973327741978841,0.0,0.9980517345962173,1.0,1.0,0.4538292686111956
NO_REPLENISH,1.0,26511.5,1.0,0.3228077631453597,0.0,0.7026704344447952,0.27976096849730153,0.28000000000000014,0.2800000000000001,0.9999999999999997,0.9973855459263293,0.0,0.9979830412751105,1.0,1.0,0.4538307926861316
NO_REPLENISH,2.0,26511.5,1.0,0.3228077631453597,0.0,0.7026704344447952,0.2798887637536877,0.28000000000000014,0.2800000000000001,0.9999999999999997,0.9989808588106164,0.0,0.9979313893334392,1.0,1.0,0.45401861459632903
NO_REPLENISH,4.0,26511.5,1.0,0.3228077631453597,0.0,0.7026704344447952,0.27977324666991926,0.28000000000000014,0.2800000000000001,0.9999999999999997,0.9976535153976324,0.0,0.9975038541376874,1.0,1.0,0.45382940592306836
ORACLE_SCALE_NORMALIZED,0.5,26511.5,0.5,0.0,0.0,0.0,2.7326463240533287e-05,0.28000000000000014,0.9826704344447951,3.509537265874267,1.0,0.0,0.9453770966703648,1.0,1.0,0.996149070303685
ORACLE_SCALE_NORMALIZED,1.0,26511.5,1.0,0.0,0.0,0.0,2.740532717401967e-05,0.28000000000000014,0.9826704344447951,3.509537265874267,1.0,0.0,0.936410938794149,1.0,1.0,0.9955213603884165
ORACLE_SCALE_NORMALIZED,2.0,26511.5,2.0,0.0,0.0,0.0,2.6280393790092022e-05,0.28000000000000014,0.9826704344447951,3.509537265874267,1.0,0.0,0.9360397374515775,1.0,1.0,0.9954965012278204
ORACLE_SCALE_NORMALIZED,4.0,26511.5,4.0,0.0,0.0,0.0,2.435169170710248e-05,0.28000000000000014,0.9826704344447951,3.509537265874267,1.0,0.0,0.9327898940398183,1.0,1.0,0.9952709408910803
