condition,seed,final_common_good_goal,goal_shift,unjustified_self_privilege_gap,symmetric_harm_rate,justified_asymmetry_accuracy,overcorrection_rate,self_continuity_accuracy,role_swap_consistency,overall_harm_rate,common_good,reward_efficiency,composite
CONTEXTUAL_ASYMMETRY_REVISABLE,21239.5,0.7508607066633075,0.5908607066633074,0.0,0.0721993049478572,0.7666239181882115,0.6498874661769796,0.3501125338230203,1.0,0.0609347826086956,0.6797415760869419,0.8037582393216589,0.7701581817465869
CONTEXTUAL_PLUS_PERSPECTIVE_REVISABLE,21239.5,0.8992699461622632,0.7392699461622632,0.0,0.0721993049478572,0.7640216344805528,0.6606753091055777,0.3393246908944223,1.0,0.0609347826086956,0.6800279891304202,0.8033347937404505,0.7672368118497039
PURE_ROLE_SYMMETRY,21239.5,0.3620386154550296,0.2020386154550296,0.0,0.0721993049478572,0.7602626474619465,0.6762490230889939,0.3237509769110062,1.0,0.0609347826086956,0.6804476902173766,0.8027236154612185,0.7630193526581535
SELF_PRIVILEGE_BASE,21239.5,0.16,0.0,0.6200000000000041,0.7194928917801573,0.4529612985695365,0.0,1.0,0.0,0.6058749999999999,-0.2430720108695625,0.964986106287685,0.4675144891367369
