capacity,delta_mean,ci95_low,ci95_high,n
1,-0.0793436620601645,-0.1162274953732254,-0.0424598287471035,28
2,0.0829442264943495,0.0317008159551794,0.1341876370335196,28
3,0.0798275437281269,0.0307386611939566,0.1289164262622972,28
4,0.0435110545538759,0.0138787247465276,0.0731433843612242,28
5,0.0531454219203226,0.0204306775400293,0.0858601663006159,28
6,0.0115718996086519,0.0010973221874381,0.0220464770298657,28
