policy,overall_error,shift_error,recent_strong_error,probe_rate,net_metric,corrected_given_probe,harmed_given_probe
NO_PROBE_V395,0.09199042792792793,0.10646219135802469,0.21705729166666668,0.0,0.09199042792792793,0.0,0.0
V401_AMBIGUITY_GATE,0.08713400900900901,0.10131172839506172,0.19674479166666667,0.6657657657657657,0.09046283783783785,0.019790257104194856,0.012495771312584574
V404_TOP15_DECISION_FLIP,0.08474099099099099,0.10017361111111112,0.187109375,0.15,0.08549099099099099,0.11936936936936937,0.0710397897897898
ALWAYS_PROBE,0.08778153153153154,0.10360725308641976,0.190234375,1.0,0.09278153153153154,0.018538851351351353,0.014329954954954954
ORACLE_HELPFUL_PROBE,0.07345157657657658,0.08817515432098766,0.180859375,0.018538851351351353,0.07354427083333334,1.0,0.0
