P,G,R,cell,seed,goal_shift,final_goal_weight,unresolved_residual,new_consequence_discovery_rate,harm_rate,common_good,reward_efficiency,self_other_asymmetry,composite
0,0,0,P0G0R0,20839.5,0.0,0.22,0.0,0.4566811006585209,0.2147118055555555,0.4136192708333233,0.8417496437533624,0.7799999999999795,0.4319116650435214
0,0,1,P0G0R1,20839.5,0.0,0.22,0.5135163529994259,0.5058546420821134,0.2200659722222222,0.4107536458333237,0.8417496437533624,0.7799999999999794,0.4391762566664348
0,1,0,P0G1R0,20839.5,0.4175648223421823,0.6375648223421823,0.0,0.504142924452322,0.0596805555555555,0.7299442708333337,0.7675690720080244,0.4873210055828272,0.6410539240553642
0,1,1,P0G1R1,20839.5,0.4410488669069475,0.6610488669069474,0.0031763209472431,0.5114518220025641,0.04965625,0.7533312500000026,0.761303172435541,0.451565494112118,0.6566099811185547
1,0,0,P1G0R0,20839.5,0.0,0.22,0.0,0.4566811006585209,0.1045520833333333,0.620332812499987,0.7978370426146627,0.6399999999999884,0.5001334640006845
1,0,1,P1G0R1,20839.5,0.0,0.22,0.0471944867784111,0.4618385125591117,0.10496875,0.6202203124999869,0.7978370426146627,0.6399999999999884,0.5009582148094575
1,1,0,P1G1R0,20839.5,0.7799983051713776,0.9999983051713774,0.0,0.5721477561048663,0.0024375,0.8647890625000116,0.7315875867512435,0.02914809086462,0.810455955314547
1,1,1,P1G1R1,20839.5,0.7799983169070915,0.9999983169070916,0.0,0.572280206849834,0.0023958333333333,0.8648953125000116,0.7315618754327405,0.0289061999613036,0.8105285080177629
