model,seed,goal_shift,final_goal_weight,unresolved_residual,new_consequence_discovery_rate,harm_rate,common_good,reward_efficiency,self_other_asymmetry,composite
FIXED_GOALS,20729.5,0.0,0.22,0.0,0.45894882380640817,0.21463020833333332,0.41349843749999415,0.8419063298234897,0.7799999999999804,0.4323323316340294
FULL_LOOP,20729.5,0.7799925503984734,0.9999925503984735,0.0,0.5727273663221063,0.002572916666666667,0.8644859375000067,0.7316514641173401,0.03299427137008169,0.8101000554901419
RESIDUAL_NO_PERSPECTIVE,20729.5,0.43005250034823883,0.6500525003482388,0.007470694103646448,0.51107486505052,0.05454166666666667,0.742554687499997,0.764085678991043,0.4681546516941342,0.6498651486319352
REVISABLE_NO_RESIDUAL,20729.5,0.7430639020894462,0.9630639020894461,0.0,0.5467961192075569,0.012484374999999999,0.8400882812500053,0.7379431795824518,0.16646881813259376,0.7783058571096316
