condition,seed,credit_mae_vs_oracle,sparse_credit_mae,decision_error_rate,boundary_decision_error_rate,probe_bundles_per_process,probe_decision_change_rate,probe_helpful_rate,probe_harmful_rate,net_decision_value,transfer_stability,composite,oracle_gap
BOUNDARY_GATED,27207.5,0.04861358035921839,0.07631880305698806,0.0546875,0.0694202184061303,1.6640625,0.11739588536463537,0.06030193764568764,0.05709394771894772,0.9444458007812501,0.5843098958333334,0.5983956684492353,0.19474979658288127
COUNTERFACTUAL_SWITCH_GATED,27207.5,0.04912139218969237,0.07759513940746851,0.054524739583333336,0.06914054657626485,1.109375,0.2577651515151515,0.14652777777777778,0.11123737373737373,0.9448974609375,0.5891927083333334,0.6406154982143095,0.15252996681780706
EXPECTED_CORRECTIVE_FLIP_GATED,27207.5,0.04890475631182718,0.07643125586271049,0.05452473958333333,0.0689293425858329,0.9921875,0.2376488095238095,0.1398313492063492,0.09781746031746032,0.94495849609375,0.5826822916666667,0.64097077060667,0.15217469442544662
NO_PROBE,27207.5,0.0568313087062513,0.10268211655571438,0.06298828125,0.08033522751864162,0.0,0.0,0.0,0.0,0.93701171875,0.4625651041666667,0.5704428915432801,0.22270257348883649
ORACLE_HELPFUL_GATED,27207.5,0.049531861025760855,0.07929794131885369,0.04443359375,0.0567181712021595,0.2578125,0.9375,0.9375,0.0,0.95543212890625,0.6484375,0.7931454650321166,0.0
UNCERTAINTY_GATED,27207.5,0.049606780665570484,0.07588520100702363,0.057779947916666664,0.0733659347666122,0.75,0.09375,0.041666666666666664,0.05208333333333333,0.9418294270833334,0.5859375,0.6090578899666991,0.1840875750654175
