score,auc,average_precision,top20_precision,top20_recall,stationary_fp,recent_shift_recall,early4_recall,early8_recall,weak_shift_recall,strong_shift_recall
MAGNITUDE_4,0.7374013251133786,0.7702097966363004,0.8690476190476191,0.3476190476190476,0.05238095238095238,0.41388888888888886,0.45,0.40208333333333335,0.14642857142857144,0.5785714285714286
MAX_HORIZON,0.8574649234693877,0.8858881153368301,0.9851190476190477,0.39404761904761904,0.005952380952380952,0.3263888888888889,0.16458333333333333,0.32083333333333336,0.08035714285714286,0.7455357142857143
SIGNED_MULTISCALE,0.8536181972789115,0.8815063730391574,0.9784226190476191,0.3913690476190476,0.008630952380952382,0.325,0.13333333333333333,0.3375,0.09017857142857143,0.7125
ADAPTIVE_HORIZON,0.8456850552721088,0.8702320529117424,0.9665178571428571,0.38660714285714287,0.013392857142857142,0.3819444444444444,0.26458333333333334,0.38333333333333336,0.0875,0.7375
