shift_offset,current_segment_length,estimator,relative_scale_mae,decision_error,fast_authority
0.55,48,CHAINED_CONTINUITY,0.10862816149228852,0.1125,1.0
0.55,48,FAST_ONLY_6,0.18806535147456666,0.19046875,1.0
0.55,48,FAST_SLOW_BLEND,0.23469278107442432,0.213125,0.415038417648596
0.8,4,GLOBAL_HISTORY,0.8580702180265097,0.398125,0.0
0.8,4,FIXED_RECENCY_32,0.7666246672190911,0.386875,1.0
0.8,4,EXPONENTIAL_RECENCY_HL16,0.7262735208123338,0.38296875,1.0
0.8,4,CHAINED_CONTINUITY,0.6735008642306314,0.365,1.0
0.8,4,FAST_ONLY_6,0.309804072513878,0.24515625,1.0
0.8,4,FAST_SLOW_BLEND,0.43110172186478535,0.296875,0.6389192490476356
0.8,8,GLOBAL_HISTORY,0.8155858976049302,0.39515625,0.0
0.8,8,FIXED_RECENCY_32,0.6148212331437211,0.36484375,1.0
0.8,8,EXPONENTIAL_RECENCY_HL16,0.5793165711365506,0.360625,1.0
0.8,8,CHAINED_CONTINUITY,0.3837662890665664,0.27859375,1.0
0.8,8,FAST_ONLY_6,0.2064462891742347,0.21234375,1.0
0.8,8,FAST_SLOW_BLEND,0.2645407218479483,0.25125,0.8305700685806497
0.8,12,GLOBAL_HISTORY,0.7954279160113501,0.39171875,0.0
0.8,12,FIXED_RECENCY_32,0.5272641187230708,0.34109375,1.0
0.8,12,EXPONENTIAL_RECENCY_HL16,0.5000414951442138,0.3325,1.0
0.8,12,CHAINED_CONTINUITY,0.18368776004443066,0.1809375,1.0
0.8,12,FAST_ONLY_6,0.20689843517301348,0.2028125,1.0
0.8,12,FAST_SLOW_BLEND,0.27612513707959624,0.24265625,0.7959285936738987
0.8,20,GLOBAL_HISTORY,0.7243167824951693,0.38484375,0.0
0.8,20,FIXED_RECENCY_32,0.3213936739369667,0.25359375,1.0
0.8,20,EXPONENTIAL_RECENCY_HL16,0.3537869666137222,0.27359375,1.0
0.8,20,CHAINED_CONTINUITY,0.14644291790832226,0.1371875,1.0
0.8,20,FAST_ONLY_6,0.21490543477463392,0.19609375,1.0
0.8,20,FAST_SLOW_BLEND,0.29535934198049657,0.23453125,0.747064161144215
0.8,32,GLOBAL_HISTORY,0.6339454900367653,0.375,0.0
0.8,32,FIXED_RECENCY_32,0.09285155162670594,0.10578125,1.0
