condition,seed,conflict_recall,conflict_precision,admissibility_error_rate,resolution_error_rate,probe_rate,probe_precision,transform_rate,forced_violation_rate,protective_delay_rate,unnecessary_delay_rate,reward_efficiency,common_good,composite
DECOMPOSED_CONFIDENCE,22614.5,0.8917311815140523,1.0,0.21745333333333333,0.24216000000000001,0.0,0.0,0.0,0.0,0.6375333333333334,0.0009760767068653988,0.72359785181919,0.28977560000000524,0.7430138933287992
DECOMPOSED_PLUS_PROTECTIVE_DELAY,22614.5,0.8917311815140523,1.0,0.21745333333333333,0.24216000000000001,0.5010133333333333,0.7477499104313011,0.19732,0.0,0.5199466666666667,0.0009760767068653988,0.7130042291860144,0.5012222666666777,0.7792907288383635
DECOMPOSED_PLUS_SELECTIVE_PROBE,22614.5,0.8917311815140523,1.0,0.21745333333333333,0.24216000000000001,0.5010133333333333,0.7477499104313011,0.0,0.0,0.6324799999999999,0.0009760767068653988,0.7250071963856953,0.28632626666667166,0.760361365371681
DECOMPOSED_PLUS_TRANSFORM,22614.5,0.8917311815140523,1.0,0.21745333333333333,0.24216000000000001,0.5010133333333333,0.7477499104313011,0.19732,0.0,0.5199466666666667,0.0009760767068653988,0.7130042291860144,0.5012222666666777,0.7792907288383635
MONOLITHIC_CONFIDENCE,22614.5,0.7628850928718537,0.7738837298186306,0.21745333333333333,0.24216000000000001,0.8049866666666666,0.5699827468443904,0.0,0.0,0.6460133333333334,0.0,0.7217848154230203,0.294480933333339,0.6967566145193995
