condition,seed,supported_authority,challenged_authority,ambiguous_authority,authority_discrimination,false_reaffirmation_rate,false_rejection_rate,reflective_reappropriation_rate,unknown_calibration,role_swap_consistency,long_horizon_consistency,transfer_stability,final_authority,composite
BIDIRECTIONAL_COMBINED,24907.5,0.21094534279537197,0.20114497104915718,0.20216529139719555,0.0098003717462148,0.0,1.0,0.0,0.0,0.8692361111111111,0.9211111111111111,0.9716666666666667,0.20583030001748343,0.38999028562545546
BIDIRECTIONAL_COMBINED_UNKNOWN,24907.5,0.2089905357122697,0.20049232352452057,0.20132262557890465,0.008498212187749134,0.0,1.0,0.0,0.0,0.8692361111111111,0.9211111111111111,0.9716666666666667,0.20457580560905633,0.3895735945667464
BIDIRECTIONAL_RAW,24907.5,0.9342126795298189,0.9165691491826262,0.9253530870142033,0.017643530347192606,1.0,0.0,1.0,0.0,0.5736111111111111,0.8828472222222222,0.9266666666666666,0.9260381777208067,0.47156676304443496
UNIDIRECTIONAL,24907.5,0.2008924697550658,0.19999999999999998,0.2000513482162513,0.0008924697550658379,0.0,1.0,0.0,0.0,0.8690277777777777,0.9209027777777777,0.9716666666666667,0.20015750000000002,0.38711475698828773
