condition,seed,goal_revision_rate,reward_capture_rate,identity_consistency,relevant_asymmetry_accuracy,transform_precision,high_stakes_protection_rate,temporal_context_accuracy,probe_rate,residual_retention,meta_calibration_error,reward_efficiency,common_good,composite
FULL_TDC,23419.5,0.9759736842105264,0.0,0.2180993595525831,1.0,1.0,0.9975354186325408,0.4799241761002545,0.3214605263157895,0.9999999999999998,0.2137048842662287,0.800068364831357,0.6208978947368596,0.8080068315803508
MINIMAL_PLUS_MEMORY,23419.5,0.952921052631579,0.0,0.3188912650561394,1.0,1.0,0.9975354186325408,0.5559982649869873,0.0,0.0,0.2184726491341354,0.7976793348550416,0.632791052631597,0.78858017787724
MINIMAL_PLUS_META,23419.5,0.952921052631579,0.0,0.3188512009535753,1.0,1.0,0.9975354186325408,0.5557392873726439,0.0,0.0,0.2146559222832994,0.7976815462404313,0.6327593421052812,0.7887823634969235
MINIMAL_PLUS_PROBE,23419.5,0.9759736842105264,0.0,0.2181394236551472,1.0,1.0,0.9975354186325408,0.4795233510050727,0.3214605263157895,0.0,0.2172183985624055,0.8000661534459674,0.6208703947368596,0.7577659097603427
MINIMAL_PLUS_RESIDUAL,23419.5,0.952921052631579,0.0,0.3188912650561394,1.0,1.0,0.9975354186325408,0.5557392873726439,0.0,0.9999999999999998,0.2184726491341354,0.7976793348550416,0.6327673684210706,0.8385578017733557
MINIMAL_TDC,23419.5,0.952921052631579,0.0,0.3188912650561394,1.0,1.0,0.9975354186325408,0.5557392873726439,0.0,0.0,0.2184726491341354,0.7976793348550416,0.6327673684210706,0.7885578017733557
