delta,L,detector,balanced_accuracy,tpr,tnr,auc
0.3,36,MAGNITUDE_4,0.575,0.3,0.85,0.5440625
0.3,36,MAX_HORIZON,0.5625,0.2625,0.8625,0.65375
0.3,36,ORACLE_LLR,0.59375,0.525,0.6625,0.66046875
0.3,48,MAGNITUDE_4,0.5875,0.325,0.85,0.58578125
0.3,48,MAX_HORIZON,0.54375,0.275,0.8125,0.67390625
0.3,48,ORACLE_LLR,0.7749999999999999,0.7875,0.7625,0.83125
0.4,2,MAGNITUDE_4,0.49375,0.2125,0.775,0.50796875
0.4,2,MAX_HORIZON,0.51875,0.1625,0.875,0.47453125
0.4,2,ORACLE_LLR,0.58125,0.4,0.7625,0.54625
0.4,4,MAGNITUDE_4,0.65,0.4375,0.8625,0.73453125
0.4,4,MAX_HORIZON,0.64375,0.3875,0.9,0.69875
0.4,4,ORACLE_LLR,0.60625,0.5125,0.7,0.60703125
0.4,6,MAGNITUDE_4,0.6125,0.3625,0.8625,0.59359375
0.4,6,MAX_HORIZON,0.58125,0.325,0.8375,0.59625
0.4,6,ORACLE_LLR,0.5875,0.525,0.65,0.64296875
0.4,8,MAGNITUDE_4,0.5875,0.3875,0.7875,0.5934375
0.4,8,MAX_HORIZON,0.61875,0.45,0.7875,0.6634375
0.4,8,ORACLE_LLR,0.63125,0.575,0.6875,0.65609375
0.4,12,MAGNITUDE_4,0.6125,0.4375,0.7875,0.661875
0.4,12,MAX_HORIZON,0.75625,0.625,0.8875,0.8284375
0.4,12,ORACLE_LLR,0.68125,0.675,0.6875,0.74796875
0.4,18,MAGNITUDE_4,0.5875,0.3875,0.7875,0.61078125
0.4,18,MAX_HORIZON,0.81875,0.7625,0.875,0.89609375
0.4,18,ORACLE_LLR,0.6625,0.6625,0.6625,0.7403125
0.4,24,MAGNITUDE_4,0.6,0.375,0.825,0.67359375
0.4,24,MAX_HORIZON,0.8125,0.7125,0.9125,0.89296875
0.4,24,ORACLE_LLR,0.7625,0.7125,0.8125,0.8553125
0.4,36,MAGNITUDE_4,0.625,0.3375,0.9125,0.6615625
0.4,36,MAX_HORIZON,0.73125,0.5625,0.9,0.8525
0.4,36,ORACLE_LLR,0.76875,0.7125,0.825,0.84515625
0.4,48,MAGNITUDE_4,0.59375,0.3625,0.825,0.61640625
0.4,48,MAX_HORIZON,0.71875,0.5375,0.9,0.80078125
0.4,48,ORACLE_LLR,0.78125,0.7,0.8625,0.83890625
0.5,2,MAGNITUDE_4,0.55625,0.2375,0.875,0.52125
0.5,2,MAX_HORIZON,0.56875,0.2375,0.9,0.57140625
0.5,2,ORACLE_LLR,0.55625,0.375,0.7375,0.555
0.5,4,MAGNITUDE_4,0.675,0.5125,0.8375,0.730625
0.5,4,MAX_HORIZON,0.65625,0.375,0.9375,0.70765625
0.5,4,ORACLE_LLR,0.6000000000000001,0.4625,0.7375,0.6275
0.5,6,MAGNITUDE_4,0.6812499999999999,0.6375,0.725,0.74734375
0.5,6,MAX_HORIZON,0.69375,0.575,0.8125,0.7503125
0.5,6,ORACLE_LLR,0.6937500000000001,0.6125,0.775,0.72421875
0.5,8,MAGNITUDE_4,0.68125,0.5875,0.775,0.73390625
0.5,8,MAX_HORIZON,0.7875,0.6875,0.8875,0.8375
0.5,8,ORACLE_LLR,0.75,0.75,0.75,0.8175
0.5,12,MAGNITUDE_4,0.7375,0.6,0.875,0.7721875
0.5,12,MAX_HORIZON,0.88125,0.85,0.9125,0.925625
0.5,12,ORACLE_LLR,0.69375,0.6875,0.7,0.780625
0.5,18,MAGNITUDE_4,0.71875,0.5875,0.85,0.74171875
0.5,18,MAX_HORIZON,0.8875,0.9,0.875,0.95703125
0.5,18,ORACLE_LLR,0.7875,0.725,0.85,0.88203125
0.5,24,MAGNITUDE_4,0.675,0.5125,0.8375,0.711875
0.5,24,MAX_HORIZON,0.8125,0.775,0.85,0.8953125
0.5,24,ORACLE_LLR,0.8125,0.7375,0.8875,0.87984375
0.5,36,MAGNITUDE_4,0.58125,0.4,0.7625,0.61828125
0.5,36,MAX_HORIZON,0.86875,0.8125,0.925,0.9178125
0.5,36,ORACLE_LLR,0.825,0.7875,0.8625,0.89390625
0.5,48,MAGNITUDE_4,0.53125,0.3625,0.7,0.5728125
0.5,48,MAX_HORIZON,0.71875,0.65,0.7875,0.79453125
0.5,48,ORACLE_LLR,0.85,0.825,0.875,0.929375
0.6,2,MAGNITUDE_4,0.5875,0.3875,0.7875,0.656875
0.6,2,MAX_HORIZON,0.5625,0.3,0.825,0.6115625
0.6,2,ORACLE_LLR,0.60625,0.5,0.7125,0.6321875
0.6,4,MAGNITUDE_4,0.7375,0.7125,0.7625,0.81046875
0.6,4,MAX_HORIZON,0.7625,0.6625,0.8625,0.80109375
0.6,4,ORACLE_LLR,0.65625,0.6125,0.7,0.71296875
0.6,6,MAGNITUDE_4,0.8125,0.8125,0.8125,0.88203125
0.6,6,MAX_HORIZON,0.825,0.7625,0.8875,0.916875
0.6,6,ORACLE_LLR,0.75625,0.75,0.7625,0.84296875
0.6,8,MAGNITUDE_4,0.725,0.6875,0.7625,0.79609375
