condition,seed,representation_mse,critical_feature_mse,goal_revision_accuracy,identity_swap_consistency,relevant_asymmetry_accuracy,transform_success_rate,irreversibility_protection_rate,common_good,attention_intensity_mean,attention_entropy,composite
FIXED_SCRAMBLED,23807.5,0.147409591358155,0.1562555921263992,0.3773958333333333,0.823522206079492,0.8175758576561359,0.0,0.0,0.0190260416666666,1.0,1.0,0.3432998336217927
LEARNED_CHANNELING,23807.5,0.005990341422148,0.0061140009493101,0.92015625,0.967525469876104,1.0,0.9996565934065934,0.3572869235975323,0.5157140624999985,1.0,0.9555418327450752,0.847053481745129
LEARNED_INTENSITY,23807.5,0.0068550802825484,0.0073550754168536,0.91890625,0.9734147524784414,1.0,0.9033747415232716,0.3808185937667925,0.4257609374999989,1.5367085129022595,1.0,0.8295680919681326
LEARNED_INTENSITY_CHANNELING,23807.5,0.0062590605521108,0.0064424051379319,0.9153645833333334,0.9858858084207912,1.0,0.9971738061506518,0.323269203069235,0.4905010416666654,1.5515440933406353,0.9531943321228028,0.8415696377039346
LEARNED_UNIFORM,23807.5,0.0073053895321208,0.0078876163170207,0.92328125,0.9911507175659392,1.0,0.8629923450393814,0.333886917081275,0.379300520833333,1.0,1.0,0.816074710141848
ORACLE_CANONICAL,23807.5,0.0,0.0,1.0,1.0,1.0,0.9947595008689772,0.9477186112903536,0.6853218749999972,1.0,1.0,0.9693442480738994
