condition,seed,recoverability_threshold,recoverability_mae,goal_revision_accuracy,identity_swap_consistency,relevant_asymmetry_accuracy,transform_success_rate,irreversibility_protection_rate,false_protective_intervention_rate,common_good,attention_entropy,composite
LEARNED_CHANNELING,24007.5,0.8831340409815311,0.2269919626414775,0.930125,0.9795275131519812,1.0,0.9984344384055556,0.0024675372006895,0.0,0.4840424999999978,0.9660388723015784,0.6713838431110337
LEARNED_CHANNELING_RECOVERABILITY,24007.5,0.8831340409815311,0.0315083973109722,0.9218333333333332,0.9815166866352624,1.0,0.9994646460014672,0.0013736263736263,0.0,0.4474808333333316,0.9616942219436168,0.73274611274021
LEARNED_FORWARD_ONLY,24007.5,0.8831340409815311,0.2261980008333921,0.9287083333333334,0.9910219211965404,1.0,0.9339776606835593,0.0,0.0,0.4085145833333323,1.0,0.6575138578520832
LEARNED_RECOVERABILITY,24007.5,0.8831340409815311,0.0307418949669227,0.9219166666666666,0.9942231428225126,1.0,0.9299223343900928,0.0006906077348066,0.0,0.3736616666666662,1.0,0.7190132900344185
ORACLE_CANONICAL,24007.5,0.8831340409815311,0.0,1.0,1.0,1.0,0.9841874741971208,0.8244305396691671,0.0,0.6450483333333306,1.0,0.9342762209880968
